target,imp
ACTA2,1222.2461986226924
ACTG2,618.9526507503548
ACTR3B,913.7138203866051
ADGRL4,545.2247519316556
AGR2,193.01732209039065
AHR,544.6019832545453
AIF1,583.9429458546828
AKT1,814.2026674443321
ALDH1A3,1112.7164790075174
ANLN,612.2274333392919
AP1M2,644.4713284156566
APOC1,742.2426100977663
APOE,841.8833231512125
AR,1014.514195104695
AURKA,766.0411450760039
AZGP1,295.43179314264194
B2M,2135.308423516539
BAG1,1259.3537491790216
BANK1,367.5299054058422
BCL2,1249.329069335384
BGN,1529.7138849714088
BICC1,220.15020370464828
BIRC5,331.2503087115261
BLVRA,1091.2933455727791
BRAF,716.9041652489849
C1QA,1189.310946185378
C1QB,1160.8258924020897
CALCRL,787.5011231989179
CAPN13,574.6686512755965
CCL2,228.11339554269372
CCL3,928.5478352364275
CCL4,429.92103270108055
CCL5,507.6386372403566
CCNB1,935.4183579169502
CCND1,3722.414083860045
CCNE1,377.8554387517724
CCNE2,384.7412145049236
CD14,434.24632555279845
CD163,916.2201444462496
CD19,303.002389175452
CD2,541.0386258657936
CD24,4806.729210835011
CD274,363.9681417433996
CD34,1037.951978242037
CD36,1337.1109268123632
CD38,311.74882743306483
CD3D,359.1543613841361
CD3E,558.1420527027169
CD3G,470.6375196093649
CD4,678.7131467651448
CD40,696.9015011394041
CD40LG,371.47737295392983
CD44,497.9587282297956
CD5,275.6693707614266
CD63,1215.3140633354924
CD68,514.9525631627953
CD69,500.3012511314304
CD7,345.6785948388621
CD74,2021.7775422284872
CD79A,271.6593346020495
CD79B,269.1059686364564
CD8A,491.4385637180519
CD9,540.0980507078737
CD96,319.790530331335
CDC20,740.8784098774248
CDC6,487.47059495537513
CDH1,3590.536444256298
CDH11,569.666562960602
CDH3,245.2673614120014
CDK4,1008.0848569331782
CDK6,621.5309888100368
CDK7,620.9777691759073
CDKN2A,702.0760441246379
CEACAM1,738.266864536395
CENPF,1091.1909959972597
CEP55,778.0168680778042
CLDN4,287.32695901301906
CLU,724.6873983428318
COBL,383.5009036080206
COL1A1,882.2774034671615
COL1A2,1107.418045377785
COL3A1,1093.666741626965
COL4A1,1511.5583173335983
COL4A2,1434.6955427631124
COL4A5,421.1970279099413
CR2,231.43290932831843
CRABP2,285.5490261658966
CSRP2,938.4869885191517
CST3,924.5553017815114
CSTB,425.055400757769
CTCF,1555.7570124202894
CTLA4,189.3066833355503
CTSL,645.612698510784
CXCR5,270.09574809486446
CXXC5,746.815774831043
DCN,422.8280164872335
DERL3,483.7803286004626
EFNA5,222.98496975783846
EGFR,1257.490325472629
EIF3E,850.5204854388389
ELF5,505.70768167669917
EPCAM,2149.810828244985
ERBB2,504.667881611775
ERBB3,157.3562378274005
ERBB4,592.4752728012705
ESR1,237.34056560538215
FABP7,445.1953526110316
FAP,429.0448465123234
FASN,7618.285229541136
FAT1,664.2370051660605
FCGR3A,788.8534910528808
FCN1,424.4270019312323
FCRL5,749.4940788410207
FGFR1,5738.930401473535
FGFR2,331.99594503541925
FGFR4,303.2354128757639
FN1,1480.593140986609
FOS,700.0693452183751
FOXC1,844.6419003946136
FOXP3,1015.7679087482544
FXYD3,696.0746730467267
GATA3,6335.21656005748
GNG11,592.94034855281
GNLY,491.6340354400613
GPNMB,387.6905949734984
GPR160,587.5584028235008
GRB7,429.37193823232417
GSN,804.6923477372361
GZMB,427.25917792278364
HIF1A,1249.8282368761513
HLA.A,1501.3747786549095
HLA.B,2184.4344360441314
HLA.C,1726.8494178791477
HLA.DPA1,1062.8240964384452
HLA.DRA,1424.5953554057103
HLA.DRB1,628.87829139743906
HLA.DRB5,399.29594237242
HLA.E,2112.2241856067335
HSPB1,2534.9112259294393
HSPG2,688.4333340214739
ICAM1,525.8916233948485
ICOS,193.98610954241448
IFITM3,1428.174480067492
IGF1R,1174.7383649973149
IGFBP5,1291.333893847704
IL2RA,773.8113973528611
IL32,801.0695321569967
IL3RA,397.18956398367067
IL7R,315.467475325378
ISG15,1418.462910870062
ISG20,576.9785635988642
ITGA6,1040.893797048371
ITGAX,492.9771701512411
JUN,4214.000878417943
JUNB,1033.7807845661505
KIF23,737.9894556308548
KIT,573.3760595195786
KRAS,758.0405228637991
KRT10,448.69215072336124
KRT14,161.4550450604788
KRT15,313.8538756240811
KRT17,174.62152512216073
KRT18,2026.3174829677832
KRT19,7114.926133940137
KRT5,287.64459234847857
KRT7,300.0004755046832
KRT8,2375.926887469812
LAG3,454.57117552009834
LAMA1,302.8123981043372
LAMC1,1119.2675808719785
LDB2,1337.324856829421
LGALS1,1395.8446305900932
LGALS2,291.22611942754577
LGMN,1137.0432946992933
LILRB1,610.2690565899153
LRP2,2757.667709794642
LST1,505.39750420572136
LTF,444.95709215097736
LUM,452.0861792065653
LYPD6B,404.3490828228408
LYZ,723.9317596475973
MAPK13,2715.7969991639957
MAPK3,593.003754683003
