target,imp
ACTA2,53.396465563111505
ACTG2,26.59234560374627
ACTR3B,29.223128387093706
ADGRL4,82.36399793391969
AGR2,31.683497338888824
AHR,31.647428927754866
AIF1,41.27017244477608
AKT1,43.376105560370696
ALDH1A3,17.850951060705153
ANLN,74.77884123155839
AP1M2,22.278853304948402
APOC1,56.14768430139039
APOE,54.758865002121595
AR,36.020432235129704
AURKA,38.84839825800741
AZGP1,29.85198505950156
B2M,19.684921343904936
BAG1,33.158600544642894
BANK1,19.6925861397255
BCL2,79.49068717993754
BGN,28.873679392297632
BICC1,27.426116907313713
BIRC5,57.44261394098832
BLVRA,24.51065829078725
BRAF,26.534591729589167
C1QA,37.238228600615116
C1QB,25.11909558152455
CALCRL,27.62054216781343
CAPN13,19.162472853266888
CCL2,47.24296905694885
CCL3,34.45784261025203
CCL4,61.08013771968091
CCL5,27.986263061531726
CCNB1,56.37618829329112
CCND1,38.722174492536105
CCNE1,22.55769532134212
CCNE2,30.86852499731796
CD14,38.3186041377271
CD163,32.96592384187978
CD19,58.00926696996989
CD2,28.62856440163067
CD24,16.715085744968956
CD274,39.32270468055483
CD34,18.620496275702322
CD36,41.8670564960348
CD38,23.41381530553705
CD3D,29.09315982998211
CD3E,39.757520088200735
CD3G,24.11683891149988
CD4,26.895923830538468
CD40,20.842166273867047
CD40LG,22.322064768968627
CD44,207.91112507673964
CD5,25.733481362499933
CD63,23.78736223601649
CD68,50.407515289899386
CD69,36.71138493608446
CD7,35.38821529734477
CD74,27.727981907003954
CD79A,25.800890223575756
CD79B,32.79507048725633
CD8A,44.90966758643571
CD9,20.782688522790217
CD96,50.770672548327596
CDC20,19.710598090305137
CDC6,34.682386141529406
CDH1,28.460855806204844
CDH11,22.77960401627547
CDH3,32.126413012966225
CDK4,24.317301114072023
CDK6,24.395724537693045
CDK7,17.029857267151222
CDKN2A,17.435351433276036
CEACAM1,29.953706488829166
CENPF,35.77161475551955
CEP55,28.86249400049516
CLDN4,34.159099927329095
CLU,21.17937269649299
COBL,18.19150027873202
COL1A1,49.463589324235635
COL1A2,15.16190393872967
COL3A1,15.555431724343048
COL4A1,33.430008763553936
COL4A2,40.81258252546035
COL4A5,31.955313106472282
CR2,32.76849580284315
CRABP2,25.46765585290828
CSRP2,17.48480123597124
CST3,27.66604200437376
CSTB,25.73192046248218
CTCF,41.0712270161644
CTLA4,30.399658762717085
CTSL,27.680470605888246
CXCR5,63.60925750254323
CXXC5,22.66075444895383
DCN,37.31224003305393
DERL3,140.2964681995837
EFNA5,49.37344152699754
EGFR,13.546320089476358
EIF3E,44.726955400981794
ELF5,33.3787853536264
EPCAM,19.915806032702537
ERBB2,32.09000925259446
ERBB3,20.18690983793298
ERBB4,22.650526601914347
ESR1,28.933524779172917
FABP7,47.491295680412804
FAP,55.21126386655982
FASN,26.3128027688376
FAT1,37.46211142962283
FCGR3A,23.29733069705399
FCN1,23.07862173330719
FCRL5,32.21839938415413
FGFR1,15.518282259036964
FGFR2,25.643289179834333
FGFR4,27.03725065040586
FN1,26.38352948024695
FOS,32.071887719109604
FOXA1,20.04741592349232
FOXC1,21.884979800042828
FOXP3,24.873259050297992
FXYD3,24.724297296545853
GATA3,24.63651132646207
GNG11,42.57817108108943
GNLY,47.784579617431454
GPNMB,37.16982305535359
GPR160,37.70204170769798
GRB7,20.80701695103179
GSN,36.231508982409316
GZMB,35.93423393968103
HIF1A,19.811608605177483
HLA.A,23.56604304052802
HLA.B,30.953068874242405
HLA.C,23.445363709287243
HLA.DPA1,33.13432457705685
HLA.DRA,26.502918259500884
HLA.DRB1,63.38992779513586
HLA.DRB5,21.636418275290033
HLA.E,40.27212562159549
HSPB1,20.93422708349284
HSPG2,25.1618513982994
ICAM1,20.670967027954056
ICOS,20.27865163004124
IFITM3,32.70319792568699
IGF1R,30.759551076301474
IL2RA,29.106652310192857
IL32,22.01072967224905
IL3RA,23.260433242472832
IL7R,29.805609791812934
ISG15,25.267510586763613
ISG20,16.542705756133206
ITGA6,21.7340973945738
ITGAX,23.527440723238293
JUN,23.397462303005018
JUNB,32.052852021595164
KIF23,53.61097137929093
KIT,23.80902835653248
KRAS,22.01219337780047
KRT10,19.194480759901253
KRT14,32.87685262421951
KRT15,35.39239931264618
KRT17,21.913050908946616
KRT18,37.08008100800801
KRT19,36.70033882724462
KRT5,35.82425897064552
KRT7,36.318074018017974
KRT8,23.52499605349938
LAG3,40.14344572760044
LAMA1,45.72451059023338
LAMC1,20.74291571100488
LDB2,26.71307364591249
LGALS1,32.306610821252725
LGALS2,68.60245256064039
LGMN,31.179103677130424
LILRB1,25.075532177921765
LRP2,24.993733392350318
LST1,28.824376528033994
LTF,35.26286511282372
LUM,19.07560716796451
LYPD6B,59.078574455769974
LYZ,43.06536719874223
MAPK13,50.239018575784186
MAPK3,28.93398715266879
MDM2,23.787677558898324
MELK,49.696319750613114
MIA,25.28933935752498
MKI67,37.81287533696451
MLPH,21.860852402163314
MMP11,28.452560644736817
MMP12,20.56734890770866
MMP9,20.640340318924082
MS4A1,21.393298949496767
MSR1,22.376635487856174
MT2A,36.619237435791206
MUC1,21.89947048133047
MYB,24.5752057812736
MYBL2,27.729399017087673
MYC,50.35737096484799
MYL6,34.7023430631162
MYL9,35.56169932687987
MYLK,22.899652382165993
MYO10,20.526927538642227
MYO5B,51.093294095769096
MZB1,33.29598337690297
"NAT1",24.293252244765156
NCAM1,22.426724036318838
NDC80,27.92513907957872
NDRG2,22.648271683481617
NF1,16.848599992083283
NFKBIA,16.684923530159384
NKG7,31.62213854742044
NOTCH1,18.693346546680388
NR3C1,18.13467340577109
NUF2,55.29765343410909
OBP2B,50.981274681834954
ORC6,27.893189711479728
PABPC1,21.146569867187733
PBK,37.38419074288627
PDCD1,34.73315561358445
PDPN,25.504415628811135
PDZK1IP1,35.90696995111672
PECAM1,54.577690845005485
PGR,43.20601451564564
PHGDH,28.480660286400607
PI3,26.549099736961125
PIK3CA,24.762349595783284
PLEK,39.488041326314416
PLVAP,26.24082820768006
POU2AF1,31.873570534429064
PRLR,19.347905521892226
PTEN,26.69480181407284
PTPRB,34.46163739615205
PTPRC,15.976028790062346
PTTG1,79.71077915562341
RAMP2,22.034840066240815
RB1,37.421125318206215
RPL13,33.219077910547504
RPL18,66.19668695776556
RPSA,28.828889599003546
RRM2,22.264174515060567
S100A14,22.364678734913642
S100A4,34.41853906249789
S100A8,14.719174645792236
S100A9,19.610213152745494
SDC1,22.182765259252882
SFRP1,23.768904924308032
SIAH2,26.95219214455493
SKAP1,22.968983011352847
SLC2A1,36.58783666205421
SLC39A6,44.24396561904531
SLPI,21.908035610429092
SNAI2,31.98698147595402
SOX10,18.896470806268965
SOX18,21.10504692916702
SOX4,57.999984526568404
SPDEF,27.22819542327446
SPP1,54.7967868384957
STAT5A,19.159456097004764
STMN1,33.657410840666714
SULF1,19.129905173578546
TAGLN,36.919273383001446
TBX21,42.97872804797011
TCF4,37.040411746327884
TCL1A,23.298018836226557
TFEC,37.32260821527745
TFF1,78.6723180986823
TFF2,31.909010683008255
TFF3,31.306693392008874
TFRC,24.071034364015244
THEMIS,34.53125374312631
THY1,25.74753803158213
TIMP1,38.797368151969756
TMEM45B,72.37006803152633
TMSB10,36.11398133135771
TP53,37.755122381525226
TPM2,23.016614543972402
TRAC,48.77644769329609
TRDC,43.63876246236164
TSPAN1,31.861715895511463
TTC6,14.802262197865751
TTYH1,35.52658353011581
TYMS,34.68363208246374
UBE2C,32.92593298697605
UBE2T,48.696543813464785
VIM,18.27071127205032
VSIR,24.84248395728886
XBP1,19.95604499407554
XCL1,32.51468808807222
ZEB1,42.87018096808775
ZNF571,18.767897135216888
