target,imp
ACTA2,16.020334414887554
ACTG2,13.888622168902009
ACTR3B,13.93262202994898
ADGRL4,11.220679320058869
AGR2,12.68686472965094
AHR,16.725733753963446
AIF1,17.76541989404456
AKT1,12.2629598948862
ALDH1A3,12.011355005182832
ANLN,12.061283972875062
AP1M2,12.505264423525878
APOC1,13.341481104647624
APOE,12.176891469571858
AR,11.991369816752425
AURKA,11.76540796468538
AZGP1,10.073091004291925
B2M,10.511851294910052
BAG1,10.203995553146353
BANK1,11.29736103140148
BCL2,11.861532582663042
BGN,12.767754518659626
BICC1,10.522651500837583
BIRC5,13.024073365037747
BLVRA,11.647863935528383
BRAF,12.56920767850061
C1QA,13.030864092091074
C1QB,13.004129620572273
CALCRL,12.535590046672075
CAPN13,14.073223767546494
CCL2,14.673226508694839
CCL3,12.895511843736902
CCL4,12.6963655591827
CCL5,13.45590137934573
CCNB1,10.019318629707712
CCND1,15.054085326118052
CCNE1,14.272098282332696
CCNE2,11.94004598588878
CD14,12.934981181905366
CD163,11.767712104753107
CD19,15.079123971633186
CD2,11.709025255712964
CD24,8.705405014114499
CD274,14.294925869680435
CD34,10.714282010472859
CD36,10.954058044968658
CD38,15.001578311329874
CD3D,11.902429881558641
CD3E,12.2001131796976
CD3G,13.173390338083534
CD4,15.135044358488678
CD40,9.596288156276755
CD40LG,10.406402055904564
CD44,9.529402912021714
CD5,19.11530585308716
CD63,13.789843883756921
CD68,11.776477312186483
CD69,16.536524869854706
CD7,11.381353170833837
CD74,11.817263649292345
CD79A,12.853531928919383
CD79B,15.002099279249343
CD8A,13.200980535359436
CD9,18.188031064974624
CD96,12.343418733198657
CDC20,11.423089546718032
CDC6,13.061925131860697
CDH1,9.777025059337454
CDH11,12.940992460598569
CDH3,14.804980186878197
CDK4,9.522945882049875
CDK6,11.3559248449735
CDK7,12.175032329595965
CDKN2A,11.601192544932545
CEACAM1,14.226077357383845
CENPF,9.654884016214032
CEP55,13.759818770310883
CLDN4,11.199297231352215
CLU,15.309610584812258
COBL,11.972974207463698
COL1A1,15.444989851952165
COL1A2,14.665508115805137
COL3A1,12.963747208224138
COL4A1,13.126727140421304
COL4A2,11.66639098361831
COL4A5,12.327660851374437
CR2,13.79614871180787
CRABP2,17.91183681639
CSRP2,12.135493732012664
CST3,10.078577262595582
CSTB,11.866408612749817
CTCF,10.769016357570347
CTLA4,12.207255322926201
CTSL,11.618576983883749
CXCR5,11.874314193200698
CXXC5,11.001798561052038
DCN,13.846879056228579
DERL3,12.412957690173492
EFNA5,16.349125498675175
EGFR,10.63610928928435
EIF3E,20.282876244592813
ELF5,12.75838243120048
EPCAM,11.123752987239197
ERBB2,13.84241918148348
ERBB3,13.785482753243
ERBB4,13.981440488214298
ESR1,10.967713354648764
FABP7,16.40831226615511
FAP,11.986855009717642
FASN,12.020244301528255
FAT1,15.364946104615132
FCGR3A,11.832516549584376
FCN1,14.060394313305869
FCRL5,11.844925635860688
FGFR1,10.255457248825753
FGFR2,30.179852139173423
FGFR4,11.337082968629195
FN1,15.445706058624985
FOS,15.32267033041767
FOXA1,8.92474591840239
FOXC1,10.952328317659473
FOXP3,12.251854210637159
FXYD3,12.257737114280602
GATA3,9.311992047782148
GNG11,12.284709087491485
GNLY,12.979869686807277
GPNMB,16.763517710354993
GPR160,16.201197791691243
GRB7,11.893148366444107
GSN,16.927755192538726
GZMB,13.303376631678749
HIF1A,13.431763156663349
HLA.A,9.318411422422074
HLA.B,10.1058448812136
HLA.C,11.167779580525
HLA.DPA1,12.792114882659668
HLA.DRA,12.037451273302917
HLA.DRB1,10.620591016903168
HLA.DRB5,13.979257517549206
HLA.E,7.983935854409143
HSPB1,10.161387040204687
HSPG2,15.489254114042456
ICAM1,14.10957657248613
ICOS,13.269275253603869
IFITM3,13.130658846867481
IGF1R,13.33206193986771
IGFBP5,13.494378838053471
IL2RA,13.729871675041636
IL32,14.502871883517027
IL3RA,11.177397064301326
IL7R,11.873202621925138
ISG15,11.009112542319077
ISG20,15.583446890155974
ITGA6,11.719452006293439
ITGAX,10.35649368554118
JUN,8.871396962565319
JUNB,11.665131501322149
KIF23,11.652502763447085
KIT,10.504310307748883
KRAS,11.523774462580832
KRT10,11.751805009918533
KRT14,11.522489634136265
KRT15,12.033242617707149
KRT17,10.585850035259593
KRT18,9.204721327819637
KRT19,11.393032800741052
KRT5,11.869775886660426
KRT7,13.669554845989596
KRT8,12.508225756365029
LAG3,17.696491307984306
LAMA1,13.935305181319821
LDB2,9.599334613238073
LGALS1,12.073690012784374
LGALS2,12.00989654018407
LGMN,10.000214373701514
LILRB1,9.666570961848045
LRP2,10.504290605177026
LST1,12.874364255954566
LTF,15.52341860391594
LUM,11.76935514956229
LYPD6B,10.033455458613968
LYZ,11.965668511966944
MAPK13,10.375148837334285
MAPK3,15.973156891342105
MDM2,14.36892774733139
MELK,11.138021808233423
MIA,11.634085546704794
MKI67,15.574076854517077
MLPH,13.721981299562426
MMP11,12.799772717024393
MMP12,10.437401480667525
MMP9,11.364580114595604
MS4A1,14.401393578023633
MSR1,11.401623164486654
MT2A,11.932389966849827
MUC1,12.899254304661536
MYB,15.733791724064922
MYBL2,13.203311147035299
MYC,12.761235412269691
MYL6,11.194194797020943
MYL9,13.244077421401915
MYLK,14.635212053290957
MYO10,14.078626081718708
MYO5B,13.792918723954202
MZB1,11.11136512538273
NAT1,12.299298477440916
NCAM1,12.256067766138043
NDC80,12.296282283796
NDRG2,14.601595760977336
NF1,11.495947852788268
NFKBIA,12.703727927628798
NKG7,10.87644418621334
NOTCH1,11.23104440795197
NR3C1,12.216078493284407
NUF2,10.465107111380187
OBP2B,12.020173023696342
ORC6,14.428578150881842
PABPC1,10.96612449239873
PBK,12.706492377315701
PDCD1,13.012866338011497
PDPN,12.332949981127006
PDZK1IP1,10.635940237344611
PECAM1,14.140754632274406
PGR,15.373512507474354
PHGDH,15.714232905708588
PI3,12.516579973647872
PIK3CA,14.096202623997653
PLEK,9.637088421885245
PLVAP,12.545617016628205
POU2AF1,10.95814598655995
PRLR,12.550466210514717
PTEN,14.0870447102086
PTPRB,13.707927078494956
PTPRC,12.01984662499549
PTTG1,12.361225961248358
RAMP2,14.037592586237738
RB1,11.137184250821809
RPL13,10.95272600125512
RPL18,13.746867116547016
RPSA,9.621637458926012
RRM2,16.489117313581108
S100A14,11.947093346471899
S100A4,13.918245661469335
S100A8,13.964914195461883
S100A9,17.927281215009423
SDC1,11.17939654421339
SFRP1,11.850204035428979
SIAH2,12.595117004037082
SKAP1,10.471717314278155
SLC2A1,15.072758957405833
SLC39A6,13.214696063594277
SLPI,13.370001254024528
SNAI2,12.999718600645892
SOX10,12.153291094763574
SOX18,12.621618527224388
SOX4,11.28839069347123
SPDEF,11.916704065473166
SPP1,11.283073896124495
STAT5A,12.927773908782605
STMN1,11.371653803227025
SULF1,15.090838565183956
TAGLN,12.861089472994225
TBX21,14.250953592632127
TCF4,14.259304223893105
TCL1A,11.150640443285631
TFEC,10.070835971263229
TFF1,11.305825943777123
TFF2,13.013254634908654
TFF3,10.927167857316249
TFRC,11.804518875430324
THEMIS,13.296901391781077
THY1,9.43633128417193
TIMP1,14.555529014324815
TMEM45B,12.357024322018148
TMSB10,10.395097592078377
TP53,12.024425076031417
TPM2,13.061064431477476
TRAC,12.095487650415675
TRDC,13.324033032235823
TSPAN1,13.254758338283004
TTC6,10.313219407122395
TTYH1,13.350084733931501
TYMS,11.143948411707806
UBE2C,13.205734048470994
UBE2T,14.379456130238836
VIM,12.544277262174328
VSIR,14.274557657193531
XBP1,9.913559675630525
XCL1,12.064404772904304
ZEB1,11.336496718225705
ZNF571,11.073426148363232
