target,imp
ACTA2,45.29687078103912
ACTG2,40.94395846528751
ACTR3B,45.07740982924995
ADGRL4,38.98177494647764
AGR2,36.817381332091365
AHR,51.78468392701981
AIF1,22.915468130504927
AKT1,37.044578256836814
ALDH1A3,56.92185868067882
ANLN,23.75893021887984
AP1M2,35.6288839081683
APOC1,62.32616556101838
APOE,34.318286922870485
AR,37.324006631327784
AURKA,29.81468092402164
AZGP1,31.063752353609072
B2M,27.398281377866805
BAG1,32.50468091768572
BANK1,57.236417197963675
BCL2,38.021115462678985
BGN,36.93002329055738
BICC1,40.309617202476865
BIRC5,48.82577042105543
BLVRA,22.63053978526943
BRAF,33.904403035489345
C1QA,38.81876908858605
C1QB,30.414807828134077
CALCRL,39.359201817069945
CAPN13,43.299790607592776
CCL2,45.21338357803773
CCL3,24.886033691379485
CCL4,27.237056775131773
CCL5,34.281605191837514
CCNB1,32.4417383345872
CCND1,18.938641798468094
CCNE1,45.147413437212535
CCNE2,44.5164819071848
CD14,46.074287883265825
CD163,29.37024568501845
CD19,52.89419528801776
CD2,37.53977559410197
CD24,51.30333800537931
CD274,29.102027264719833
CD34,36.64839120268796
CD36,33.518891035211624
CD38,46.72462682155142
CD3D,39.27890749166108
CD3E,44.44198676572768
CD3G,32.771708368031184
CD4,53.152306108829855
CD40,40.50663498241496
CD40LG,51.72720155583956
CD44,32.60146307797048
CD5,36.48169748967214
CD63,31.288473629249484
CD68,28.214275460967926
CD69,22.089528405131865
CD7,53.94942059083247
CD74,19.682598979688336
CD79A,41.70409955480847
CD79B,50.42851063643413
CD8A,43.34017780001318
CD9,49.71597962136274
CD96,42.843643223181935
CDC20,24.539554080503695
CDC6,42.365005231339545
CDH1,42.5134587594332
CDH11,50.537812010611596
CDH3,39.45811377525907
CDK4,56.38819939851048
CDK6,59.03798502370709
CDK7,33.27457420950132
CDKN2A,29.940908795191056
CEACAM1,31.903187877795226
CENPF,23.99069656626986
CEP55,36.16854773472281
CLDN4,39.561269471757015
CLU,40.760838250703635
COBL,31.916162796970493
COL1A1,39.54162905714445
COL1A2,33.20705630027067
COL3A1,18.942311640810534
COL4A1,39.02140976387565
COL4A2,41.02948856276947
COL4A5,48.50600078835696
CR2,48.33135805275313
CRABP2,82.03050707320405
