target,imp
ACTA2,41.285378565719796
ACTG2,11.099047600336794
ACTR3B,24.051753538136577
ADGRL4,61.39026997570061
AGR2,7.966013584941806
AHR,26.93931072548459
AIF1,19.46882725598073
AKT1,42.054954972742365
ALDH1A3,16.024144263678547
ANLN,34.96372670197664
AP1M2,28.791291225539545
APOC1,10.128628764562992
APOE,11.921544370647055
AR,34.697681597917374
AURKA,31.85006866953815
AZGP1,22.993511834531247
B2M,119.62474051590725
BAG1,37.86845474368185
BANK1,13.06328145186963
BCL2,37.02478216031162
BGN,50.10129536905867
BICC1,13.640429559392976
BIRC5,14.093883504135766
BLVRA,33.19698027480056
BRAF,42.964188614386984
C1QA,25.99127411061089
C1QB,11.359343416841439
CALCRL,78.58936505359151
CAPN13,18.105693203934724
CCL2,45.91795278705792
CCL3,44.48474169333034
CCL4,5.342669260743106
CCL5,21.17729440275791
CCNB1,33.124933224015614
CCND1,115.91184758844143
CCNE1,9.382914621510762
CCNE2,15.837007372784253
CD14,10.244789104472689
CD163,15.627513939067889
CD19,53.63785781524222
CD2,12.944661004625253
CD24,93.61331359760975
CD274,15.4766572503997
CD34,122.12952336792945
CD36,60.975090478649605
CD38,18.146927729446432
CD3D,7.895306742458212
CD3E,18.083316784413025
CD3G,37.930073017974806
CD4,18.72778245953496
CD40,53.92834726615973
CD40LG,0.7762931229396102
CD44,39.47999844236145
CD5,14.081924396692955
CD63,51.656046214179675
CD68,9.119874990280282
CD69,14.411434592399523
CD7,17.880451757281374
CD74,67.38781415133
CD79A,15.114401900503447
CD79B,16.64899049478635
CD8A,27.3047187647162
CD9,47.80214356387765
CD96,42.82166741195206
CDC20,13.464582022647855
CDC6,26.379851868649524
CDH1,42.79747237495843
CDH11,29.561658785166404
CDH3,19.115465034256356
CDK4,35.957684369605275
CDK6,15.359203113213319
CDK7,72.07105088376944
CDKN2A,44.17960734358489
CEACAM1,54.143903049450145
CENPF,39.573854946534375
CEP55,23.851701135460676
CLDN4,20.07267564677905
CLU,37.450079424099584
COBL,16.622760802029763
COL1A1,24.916663811637115
COL1A2,26.1662042737848
COL3A1,29.594906209578024
COL4A1,132.78064190367894
COL4A2,80.94579435069782
COL4A5,32.07248879389933
CR2,14.787869117273813
CRABP2,28.686392249838526
CSRP2,28.22284256085833
CST3,49.716705021830776
CSTB,27.578271571583453
CTCF,74.99998936498416
CTLA4,8.54543584419809
CTSL,25.701349718231498
CXCR5,2.3556445810340176
CXXC5,25.319910824753933
DCN,27.765180370205712
DERL3,25.08218897458076
EFNA5,17.904753673815865
EGFR,43.3645354170966
EIF3E,35.11639669780231
ELF5,41.665565772718864
EPCAM,56.28260373536733
ERBB2,9.672628605577083
ERBB3,6.671988163173157
ERBB4,24.01123617189911
ESR1,7.44273545494497
FABP7,14.971547711068881
FAP,50.85599602653234
FASN,47.79118801164698
