target,imp
ACTA2,88.04689949512209
ACTG2,77.23236572968393
ACTR3B,79.54198030280564
ADGRL4,76.20645674663656
AGR2,78.99725431220068
AHR,78.60162098911337
AIF1,100.05329593515535
AKT1,68.4766413481197
ALDH1A3,115.40477847177482
ANLN,49.44830529540902
AP1M2,77.18464620558754
APOC1,77.00219296464857
APOE,67.88916025202936
AR,68.41147111185998
AURKA,55.18940369637958
AZGP1,57.97299014434664
B2M,45.86134002713528
BAG1,58.705378757476375
BANK1,73.60304077044577
BCL2,68.69208499288389
BGN,47.06948290950717
BICC1,62.472620841509944
BIRC5,93.35747287018681
BLVRA,53.112241043689295
BRAF,55.527102224379796
C1QA,113.51422059550768
C1QB,76.67503197916865
CALCRL,68.18114063138277
CAPN13,68.87462019215164
CCL2,88.86152639185221
CCL3,58.85582345572765
CCL4,82.4297161553556
CCL5,85.45772511039186
CCNB1,49.20664134743021
CCND1,57.729668178999425
CCNE1,73.07431843675353
CCNE2,82.75717888504187
CD14,73.20269044351883
CD163,59.42411227500146
CD19,91.19732868645953
CD2,78.72225245507846
CD24,65.82302834041562
CD274,49.87701204496967
CD34,58.11829135728346
CD36,88.76173138486652
CD38,65.37278906150264
CD3D,54.06396448421984
CD3E,77.60361781485877
CD3G,72.4520999462226
CD4,76.01686846689368
CD40,48.73392832864924
CD40LG,58.41550423261704
CD44,87.39324116824132
CD5,70.47481576350162
CD63,63.46554459605632
CD68,55.045495841398015
CD69,88.18206667579389
CD7,62.47579150129889
CD74,61.10062442065721
CD79A,101.86448488159775
CD79B,70.54518276822238
CD8A,145.64347502494135
CD9,81.25949935034157
CD96,66.31127803427118
CDC20,57.96356673372569
CDC6,70.6482889006845
CDH1,62.260275765774914
CDH11,68.52142588910712
CDH3,84.06864186443316
CDK4,77.27070655620786
CDK6,57.58293832602263
CDK7,58.298297044342135
CDKN2A,58.1789955992095
CEACAM1,70.04927743818631
CENPF,74.56907135168625
CEP55,64.13818993680731
CLDN4,64.22314090314818
CLU,74.21939755522517
COBL,54.50400531862971
COL1A1,63.135859947523315
COL1A2,47.282425549254164
COL3A1,56.016817582218046
COL4A1,52.30282314672317
COL4A2,47.9662329593102
COL4A5,79.932661238044
CR2,83.81773416954627
CRABP2,88.8999873056879
CSRP2,66.22264985392209
CST3,85.12677630335628
CSTB,117.98286230851707
CTCF,35.47031458153731
CTLA4,61.53958091412198
CTSL,61.24026472586821
CXCR5,69.02080446224767
CXXC5,73.48897686382747
DCN,85.60295188758657
DERL3,61.22339398038911
EFNA5,61.6271578008503
EGFR,64.079797162937
EIF3E,58.18759557961199
ELF5,88.5614744388898
EPCAM,36.24488737680174
ERBB2,66.40731335124087
ERBB3,79.56430580721829
ERBB4,86.53636017247642
ESR1,77.31528530568316
FABP7,80.49405667831451
FAP,82.85472298371654
FASN,48.49910240767035
FAT1,76.48906040633027
FCGR3A,67.18262007406044
FCN1,62.78587851327449
FCRL5,106.29380275924143
FGFR1,51.3706694045268
FGFR2,82.1107326310843
FGFR4,79.04307053967831
FN1,51.32400481443227
FOS,83.5721042862607
FOXA1,44.378272401094875
FOXC1,63.41377617355134
FOXP3,90.21146015163548
FXYD3,68.68568510488413
GATA3,31.094174467897837
GNG11,76.28441630110848
GNLY,81.39723013315464
GPNMB,71.94341707301157
GPR160,62.38563523976453
GRB7,66.3978685478464
GSN,80.71955301676991
GZMB,51.14144738229532
HIF1A,44.232699037172615
HLA.A,53.530848383490394
HLA.B,59.64033074381869
HLA.C,66.96741965258215
HLA.DPA1,68.3469732268789
HLA.DRA,76.31774272484618
HLA.DRB1,65.05581284342351
HLA.DRB5,75.24102729070681
HLA.E,52.87165046995197
HSPB1,71.67689101650836
HSPG2,75.29917887791856
ICAM1,90.00045649589303
ICOS,87.24973252188197
IFITM3,76.6457159301399
IGF1R,58.178428784735395
IGFBP5,86.37462148852057
IL2RA,74.59778372242475
IL32,90.10318328623333
IL3RA,68.64195816889226
IL7R,94.20656107318284
ISG15,74.70138351935216
ISG20,85.84748827936919
ITGA6,58.28606313029658
ITGAX,80.64670301452486
JUN,48.17489769852074
JUNB,61.40199893542999
KIF23,58.46200579712639
KIT,74.4641810486527
KRAS,72.39006345282357
KRT10,72.53832692058495
KRT14,117.35418474082272
KRT15,80.32228010356326
KRT17,61.25147739232964
KRT18,50.03531790838069
KRT19,49.13410475384074
KRT5,80.94592287910099
KRT7,76.55506176783737
KRT8,51.95246653517361
LAG3,113.61096020856225
LAMA1,82.76626985459313
LAMC1,49.58739768300519
LDB2,57.34674782869286
LGALS1,55.435558198260814
