target,imp
ACTA2,23.266966484391734
ACTG2,12.268803317212157
ACTR3B,20.662071983299438
ADGRL4,9.067751102492284
AGR2,6.123274088815355
AHR,14.32772614812565
AIF1,18.130627104404294
AKT1,17.714327806008484
ALDH1A3,18.93854414181971
ANLN,20.27509515583958
AP1M2,12.842687688651202
APOC1,22.94482042819993
APOE,26.864531450503183
AR,20.964145471929285
AURKA,20.51369069213144
AZGP1,8.90501011199466
B2M,84.17937403279382
BAG1,29.55991413147096
BANK1,16.492731385412277
BCL2,22.174367451346527
BGN,29.412277622256426
BICC1,3.4573074991765997
BIRC5,6.549946324808877
BLVRA,34.9715195114601
BRAF,13.854893615250402
C1QA,8.805259248240409
C1QB,24.476536161005424
CALCRL,25.258932132000847
CAPN13,6.586636282254031
CCL2,7.498682900386289
CCL3,21.874665926271327
CCL4,17.70244038961903
CCL5,35.008641694028896
CCNB1,24.533534982634574
CCND1,67.13332535564228
CCNE1,25.376297142406653
CCNE2,15.040203320266876
CD14,13.729289991789482
CD163,13.744585343843298
CD19,10.841333366127634
CD2,14.546514681927942
CD24,54.84657758779121
CD274,0.02730546883343069
CD34,14.493149477214784
CD36,21.920172454570707
CD38,11.62384781892006
CD3D,4.6294532384671
CD3E,12.162390176916796
CD3G,5.144950624344128
CD4,19.03503540452385
CD40,22.163364567581798
CD40LG,0.7665383846212146
CD44,16.099343564233667
CD5,29.505853898802876
CD63,22.287281579572895
CD68,7.87763112777983
CD69,19.49030376232989
CD7,16.070951067786023
CD74,40.95912889865159
CD79A,0
CD79B,18.42658620804316
CD8A,24.525227379417856
CD9,23.683083832033457
CD96,3.6326742589152907
CDC20,10.78135701860385
CDC6,15.523036707989423
CDH1,38.4006237384316
CDH11,19.11569768366332
CDH3,0
CDK4,20.612127556726932
CDK6,20.458668238145325
CDK7,23.683148765049232
CDKN2A,31.06579048253554
CEACAM1,29.04148694779004
CENPF,20.441018985977724
CEP55,21.759202502749485
CLDN4,2.8695308643808706
CLU,11.665727365499125
COBL,16.324804801880976
COL1A1,15.262378996278432
COL1A2,19.168857139450154
COL3A1,26.945708012890947
COL4A1,37.67759477115894
COL4A2,33.757896319914565
COL4A5,21.80497533942717
CR2,14.67408194803121
CRABP2,31.297475621203986
CSRP2,19.74683704920061
CST3,19.294215470585552
CSTB,13.694333953232398
CTCF,39.222680759031554
CTLA4,9.535457794776027
CTSL,26.201678182474367
CXCR5,2.756566999241455
CXXC5,16.658634810091673
DCN,6.362044032825993
DERL3,18.292346445603584
EFNA5,9.131301343857455
EGFR,30.60991186197145
EIF3E,22.670872321084236
ELF5,13.09209274566736
EPCAM,21.435736258680894
ERBB2,24.09082945315393
ERBB3,7.262929500963794
ERBB4,23.024985487998638
ESR1,5.364534206173013
FABP7,16.67286537942061
FAP,27.312784497415265
FASN,42.58662393072828
FAT1,14.728866466499444
FCGR3A,21.583155612471906
FCN1,1.2404770283134485
FCRL5,0.7603144677247977
FGFR1,65.12503121413432
FGFR2,5.187803626659397
FGFR4,33.92515866516546
FN1,43.355519572552595
FOS,20.669560865902223
FOXA1,51.90954292317491
FOXC1,23.370510603659646
FOXP3,9.380248440181981
FXYD3,27.037427415116102
GATA3,49.541475328530844
GNG11,6.775398291805525
GNLY,9.10258030151977
GPNMB,10.828020604688376
GPR160,11.933831440180747
GRB7,6.790177431530636
GSN,19.51841670183754
GZMB,0.6777298690767151
HIF1A,42.62139974445081
HLA.A,27.866429033467334
HLA.B,68.17541455093163
HLA.C,39.307952031144474
HLA.DPA1,13.188836359018323
HLA.DRA,19.310635241276376
HLA.DRB1,18.932937577953908
HLA.DRB5,7.711570761215494
HLA.E,40.93884418947615
HSPB1,42.66403947953579
HSPG2,18.11559180982732
ICAM1,8.530296012737729
ICOS,0.7928596810685655
IFITM3,11.882142118139363
IGF1R,19.977847824979435
IGFBP5,19.155665878005397
IL2RA,20.500432912054794
IL32,7.818372956609514
IL3RA,2.1196529831524957
IL7R,3.2568082397668867
ISG15,35.079288970917176
ISG20,18.94331082913314
ITGA6,22.008393166925302
ITGAX,4.147641361551659
JUN,44.74296759166477
JUNB,28.456874415673678
KIF23,28.62428352668172
KIT,16.683102842312465
KRAS,23.79413272076927
KRT10,3.982589310880211
KRT14,25.13199211488578
KRT15,8.419772943116211
KRT17,0.5640286768023672
KRT18,28.559007084200772
KRT19,40.24843451094855
KRT5,3.723015159041667
KRT7,5.920876526855412
KRT8,20.326306659847884
LAG3,21.360600093127005
LAMA1,8.452087593818868
LAMC1,28.552532071089487
LDB2,33.61085371564256
LGALS1,18.192339485402258
LGALS2,5.689103285505286
LGMN,19.18459895113563
LILRB1,13.314501386749647
LRP2,51.691347408304146
LST1,4.590092435146268
LTF,31.87120359034387
LUM,12.614046639501773
LYPD6B,12.763361449897058
LYZ,18.45676749601565
MAPK13,16.03425442570115
MAPK3,12.333624199717024
MDM2,19.108275800045032
MELK,13.970172991399698
MIA,4.6631657811163345
MKI67,8.531201768396969
MLPH,10.163935541943625
MMP11,5.3429236241147064
MMP12,0
MMP9,20.043559473067862
MS4A1,0
MSR1,21.07115498726013
MT2A,0
MUC1,11.2366413954438
MYB,20.444443125973127
MYBL2,14.890491910274324
MYC,19.17763843673847
MYL6,72.45656766638311
MYL9,29.115968247638115
MYLK,27.652324717437455
MYO10,35.5587449241593
MYO5B,13.135605071058565
MZB1,24.89524184183011
"NAT1",18.714079668874007
NCAM1,15.587508145330599
NDC80,15.386958567806316
NDRG2,22.977062323417623
NF1,43.891107622943515
NFKBIA,17.49909364966737
NKG7,9.679019712992336
NOTCH1,27.023301325535048
NR3C1,29.215678263190046
NUF2,19.449909375803177
OBP2B,8.435905205030897
ORC6,34.08221411902967
PABPC1,78.88576226560458
PBK,12.220346968083627
PDCD1,4.8524088654392195
PDPN,3.8391224305085183
PDZK1IP1,11.791517162286544
PECAM1,19.493951287019687
PGR,15.359666831821592
PHGDH,14.431072906953311
PI3,8.538220651688386
PIK3CA,31.26325626409394
PLEK,14.993392568417796
PLVAP,16.85688569034639
POU2AF1,1.6479643679913667
PRLR,37.301616437198454
PTEN,24.303984816120398
PTPRB,22.634749193615143
PTPRC,11.769109162584009
PTTG1,10.515764199853244
RAMP2,12.57846738465264
RB1,25.593884652832784
RPL13,28.025129561058606
RPL18,13.683698990291855
RPSA,45.07058184860038
RRM2,3.1987907455185507
S100A14,0.21028098512284213
S100A4,23.36923740193648
S100A8,0
S100A9,12.771714308734499
SDC1,32.743858959193844
SFRP1,2.6123034981660833
SIAH2,24.545483975977582
SKAP1,26.772170215387945
SLC2A1,19.458150667811452
SLC39A6,37.43263057349772
SLPI,19.247592119527734
SNAI2,29.147810996087298
SOX10,7.0277015775755105
SOX18,3.0506489859849224
SOX4,25.72399561857601
SPDEF,20.80844604590647
SPP1,13.519712143826212
STAT5A,7.6710841147743425
STMN1,29.172680705622405
SULF1,9.8177398731862109
TAGLN,23.24668121895444
TBX21,10.641146605872553
TCF4,24.09281192512894
TCL1A,0
TFEC,2.803957636427711
TFF1,11.996360534262603
TFF2,1.557420990866389
TFF3,5.913336146473273
TFRC,25.994748470864902
THEMIS,6.200461437153065
THY1,7.30292210834639
TIMP1,22.077064758148854
TMEM45B,0
TMSB10,32.97424966739265
TP53,23.382212582854105
TPM2,20.007076130086443
TRAC,4.8392688214835005
TRDC,14.872239991790712
TSPAN1,1.7937081231000094
TTC6,48.09821504901883
TTYH1,14.510902797462009
TYMS,15.635148042393178
UBE2C,16.147939361486383
UBE2T,36.99634638044691
VIM,56.497406894798644
VSIR,13.640097201951344
XBP1,39.50297527646022
ZEB1,36.803921502291566
ZNF571,34.3021476042467
