target,imp
ACTA2,49.23666077499212
ACTG2,50.58142336304462
ACTR3B,54.04704058630108
ADGRL4,55.273903195391256
AGR2,89.7951174681299
AHR,54.80973148160476
AIF1,52.31096733857187
AKT1,55.24505345569752
ALDH1A3,62.91430447159154
ANLN,36.94843951930452
AP1M2,52.993850104186
APOC1,54.06211621034199
APOE,63.41881958126438
AR,49.91626204955377
AURKA,59.58257827631658
AZGP1,46.83675409624454
B2M,41.4266745942673
BAG1,52.9019531316577
BANK1,83.00271311544839
BCL2,57.14228253244732
BGN,47.30208838012744
BICC1,59.281657243354154
BIRC5,82.24576448723752
BLVRA,54.38399839901211
BRAF,42.025917473847684
C1QA,72.2831489486966
C1QB,71.33008330551647
CALCRL,53.3003329724024
CAPN13,48.575477357753364
CCL2,60.97226732825083
CCL3,73.04390803983726
CCL4,67.52905042398905
CCL5,55.1427500097347
CCNB1,60.34971697490827
CCND1,40.94069180103073
CCNE1,54.28629343779775
CCNE2,80.25465507723176
CD14,71.25228285927837
CD163,54.783171424623376
CD19,67.13012024367666
CD2,68.79028246013823
CD24,52.52291380447536
CD274,78.21937693522734
CD34,50.732250601853615
CD36,36.54734690353659
CD38,72.20977571848215
CD3D,61.517634344143474
CD3E,58.992542455387905
CD3G,68.01912360997225
CD4,51.96585063271689
CD40,39.46527435048217
CD40LG,53.59046134249869
CD44,57.232721829709625
CD5,67.80962971358252
CD63,50.94700165682502
CD68,62.644252586613476
CD69,67.54171541643876
CD7,75.27363374694727
CD74,52.33818308707861
CD79A,71.48627447637148
CD79B,72.25589747051605
CD8A,59.89220794171333
CD9,43.59716326775806
CD96,49.17963204982435
CDC20,63.88709110642263
CDC6,54.64618319646229
CDH1,49.55460438099775
CDH11,78.35467122026293
CDH3,42.16825997542829
CDK4,42.28307972745466
CDK6,49.646179134834554
CDK7,63.18698524047415
CDKN2A,38.939939227758444
CEACAM1,50.79448587710733
CENPF,84.03530710551489
CEP55,64.27044818973648
CLDN4,62.437557470159284
CLU,58.033058470152156
COL1A1,50.23823802924775
COL1A2,68.98635621858278
COL3A1,48.39528727857993
COL4A1,47.66758898924741
COL4A2,51.602417793875766
COL4A5,54.10534442231077
CR2,85.1603874265515
CRABP2,71.788728865837
CSRP2,45.10646028943725
CST3,31.38448141968061
CSTB,68.26917248626069
CTCF,57.27482254467671
CTLA4,68.04980229029955
CTSL,48.95173511517873
CXCR5,63.83228869183008
CXXC5,48.073862633664184
DCN,73.32070393306768
DERL3,69.16676767052813
EFNA5,51.86069457574149
EGFR,42.10503402826437
EIF3E,64.55457157021229
ELF5,75.0159609006419
EPCAM,39.84383449086079
ERBB2,54.1149247310376
ERBB3,36.75013475295112
ERBB4,100.44780009674952
ESR1,71.93442477607927
FABP7,64.06985304596003
