target,imp
ACTA2,367.24843287448783
ACTG2,383.8328087698823
ACTR3B,403.25495421943015
ADGRL4,363.81050771675683
AGR2,367.2396325239554
AHR,421.5534131418371
AIF1,376.6464463897821
AKT1,352.6106007038558
ALDH1A3,429.9642174885185
ANLN,364.75409746963413
AP1M2,396.9585368024237
APOC1,346.6788451892138
APOE,374.96927431868033
AR,315.73965241430653
AURKA,392.7688909943192
AZGP1,340.6463614370114
B2M,268.88657777663536
BAG1,383.9429740864939
BANK1,364.39115778682867
BCL2,341.67606615122975
BGN,323.10333736493914
BICC1,373.4207556618071
BIRC5,481.15892294737006
BLVRA,364.3170763124067
BRAF,333.4951142032576
C1QA,384.30852041276535
C1QB,371.38537561226747
CALCRL,381.5258227905422
CAPN13,387.32675947807996
CCL2,384.818695964226
CCL3,390.51640455900997
CCL4,461.3213533756561
CCL5,374.8032776976181
CCNB1,365.1269276057926
CCND1,274.444565490969
CCNE1,393.3306141951248
CCNE2,410.03535751957065
CD14,521.8993253078901
CD163,425.52449715243
CD19,399.76352115251194
CD2,409.99975263884926
CD24,295.08070698260826
CD274,458.0847624975249
CD34,311.19407278815106
CD36,399.23622512374374
CD38,444.21536118223673
CD3D,407.2935906890605
CD3E,433.5131947313281
CD3G,362.7194707086392
CD4,400.526574477221
CD40,503.96407266778914
CD40LG,367.0485538853003
CD44,456.24057240798203
CD5,506.33220208171855
CD63,385.66114899419654
CD68,452.4033932855468
CD69,376.9818887955695
CD7,375.6782527974074
CD74,308.2723452107051
CD79A,424.84528137020845
CD79B,453.8932219927457
CD8A,381.4002161342412
CD9,348.18465640248445
CD96,373.8682684735445
CDC20,381.5934891557135
CDC6,379.8184999313538
CDH1,273.0593810373128
CDH11,365.48526283007845
CDH3,451.9964863629784
CDK4,385.30335919794993
CDK6,406.8913549577313
CDK7,378.84588091215176
CDKN2A,361.8195121837348
CEACAM1,337.88106673771176
CENPF,381.35376865653876
CEP55,447.67674995071206
CLDN4,442.40614458346596
CLU,343.50544936691153
COBL,324.41312967150884
COL1A1,407.1816692287623
COL1A2,336.8157180485994
COL3A1,349.4585319508785
COL4A1,337.57359038881987
COL4A2,346.55761912339767
COL4A5,392.61784819192405
CR2,383.77644965119106
CRABP2,415.4605360527044
CSRP2,377.41980512571615
CST3,274.2325899067283
CSTB,404.4911076094871
CTCF,301.4032720229872
CTLA4,386.93006429773976
CTSL,387.8245136066716
CXCR5,329.47850748722425
CXXC5,350.7547431674834
DCN,435.9366261355985
DERL3,415.2464777482903
EFNA5,399.7260645014861
EGFR,342.9030297957223
EIF3E,419.3183492714692
ELF5,447.62825555916794
EPCAM,341.20387949568453
ERBB2,423.4299304007354
ERBB3,347.54679055136296
ERBB4,342.9143373718863
ESR1,375.0706709550487
FABP7,442.6869167312166
FAP,371.5125266672951
FASN,319.92268379858047
FAT1,348.818558254209
FCGR3A,449.49246050849774
FCN1,387.8156558996432
FCRL5,443.295983689661
FGFR1,258.98885112819255
FGFR2,416.44572535021354
FGFR4,388.7419742211286
FN1,339.8723309281016
FOS,362.21158612056877
FOXA1,248.23484256942965
FOXC1,432.2935898965024
FOXP3,355.70608252295904
FXYD3,364.5491379006284
GATA3,249.7575282394083
GNG11,402.18108046899465
GNLY,430.01574679053454
GPNMB,428.3010667121167
GPR160,388.4451940983738
GRB7,382.22024576593026
GSN,439.18045360152047
GZMB,469.930769820979
HIF1A,337.14545742599336
HLA.A,308.15487804841155
HLA.B,257.4610043862645
HLA.C,306.2505922978991
HLA.DPA1,380.91097876331276
HLA.DRA,324.0434222314383
HLA.DRB1,427.24947393160716
HLA.DRB5,381.9941974412778
HLA.E,296.8057742207724
HSPB1,296.2331148367906
HSPG2,388.6016961190624
ICAM1,398.3562292271641
ICOS,439.6901432966034
IFITM3,400.4687807962732
IGF1R,371.68456902657175
IGFBP5,334.7904517422305
IL2RA,416.5787935476928
IL32,399.8490770057813
IL3RA,384.1761207599258
IL7R,401.2576716135328
ISG20,521.0260539655984
ITGA6,370.5854783181736
ITGAX,359.25657526736205
JUN,281.154268643127
JUNB,340.4097585874242
KIF23,394.9864871835076
KIT,291.3804918234976
KRAS,358.2460973927633
KRT10,369.31625897363796
KRT14,410.91469071455924
KRT15,390.64789104778686
KRT17,361.0156775986303
KRT18,313.98865239119493
KRT19,284.23007495043163
KRT5,367.39078311430626
KRT7,396.69360390105925
KRT8,284.6551082076635
LAG3,398.7929044595494
LAMA1,505.1979497745067
LAMC1,332.62087485493083
LDB2,382.51547495866487
LGALS1,317.5942281620002
LGALS2,362.6187631593478
LGMN,372.17207047128255
LILRB1,403.25094341162344
LRP2,270.5430001783919
LST1,478.9197196265483
LTF,414.17839917108427
LUM,330.6705171457133
LYPD6B,391.1937545300979
LYZ,429.52642142779945
MAPK13,260.8991011850618
MAPK3,386.4706247719242
MDM2,376.79186615589236
MELK,330.8515182995197
MIA,367.0221049480092
MKI67,334.13748330593904
MLPH,331.1604683472134
MMP11,396.002616659001
