target,imp
ACTA2,410.2093551493576
ACTG2,215.3563432788079
ACTR3B,453.8701441106608
ADGRL4,210.68731898120154
AGR2,99.57718884562013
AHR,236.4992227765817
AIF1,200.01184932525274
AKT1,326.8864565165704
ALDH1A3,394.1510777214369
ANLN,202.28849237176132
AP1M2,200.21847761415978
APOC1,107.08684257180299
APOE,189.60323351813088
AR,433.8012911912212
AURKA,444.23624466924724
AZGP1,176.15628692317154
B2M,1138.6677153159676
BAG1,414.6375298474839
BANK1,103.58014845542215
BCL2,568.0917854234334
BGN,545.0376206336603
BICC1,135.520731147111
BIRC5,177.91007535791448
BLVRA,404.84216513465765
BRAF,428.3369348640814
C1QA,282.6483661309261
C1QB,286.72201378874036
CALCRL,229.34927701181837
CAPN13,193.43402300467355
CCL2,110.40027231667233
CCL3,278.46547747480747
CCL4,106.4765260449099
CCL5,218.80626760103246
CCNB1,323.08268655611846
CCND1,928.8940814712872
CCNE1,189.56639068675676
CCNE2,175.90469167766557
CD14,129.44566319633327
CD163,270.0199317149659
CD19,79.93049941002512
CD2,171.82667702877126
CD24,742.354404818775
CD274,129.21011101600953
CD34,426.37309089182605
CD36,439.563606262852
CD38,145.92182720199332
CD3D,100.60428163921507
CD3E,166.41061444772592
CD3G,240.77849476283788
CD4,323.4078165850537
CD40,264.825451731271
CD40LG,143.1804857349019
CD44,262.19381278872777
CD5,124.78104702547664
CD63,536.4656685846871
CD68,154.51209681373416
CD69,232.7098967968134
CD7,154.68721615143986
CD74,817.66752494054
CD79A,87.42160408840974
CD79B,109.56598329609214
CD8A,190.49530113417208
CD9,190.61723768394987
CD96,137.45890571377853
CDC20,239.4009525235797
CDC6,258.3299933797232
CDH1,528.6598016355439
CDH11,302.0464945027224
CDH3,114.26483916985178
CDK4,459.90982661035343
CDK6,152.3282264439802
CDK7,296.3121751214283
CDKN2A,380.7501802638511
CEACAM1,451.1004909323833
CENPF,319.1699966651139
CEP55,201.2606096893796
CLDN4,122.18132860707479
CLU,414.9763626925311
COBL,128.11294469930223
COL1A1,343.4434035927258
COL1A2,425.2098946212346
COL3A1,339.3317003486783
COL4A1,559.0748563478924
COL4A2,525.9286203326728
COL4A5,171.47550172059164
CR2,91.98529302277576
CRABP2,144.0489523271389
CSRP2,320.2115319390513
CST3,465.6376946175473
CSTB,207.47982524053972
CTCF,583.4469609683678
CTLA4,100.13881629533039
CTSL,243.47747131864602
CXCR5,38.62008457676233
CXXC5,336.75632956470986
DCN,185.7212629187535
DERL3,240.79645775457277
EFNA5,151.45271550076072
EGFR,573.3121714585028
EIF3E,293.53052238689617
ELF5,143.39560020244267
EPCAM,562.7916436841901
ERBB2,219.33296367153773
ERBB3,69.23526345375947
ERBB4,247.57576765228325
ESR1,75.03329425967621
FABP7,169.7695535818363
FAP,144.37204729323682
FASN,640.4261865481668
FAT1,448.7431185145095
FCGR3A,279.48647436097275
FCN1,126.22928947043633
FCRL5,119.43401321393367
FGFR1,809.0219850441352
FGFR2,86.84137731571654
FGFR4,176.930942142197
FN1,573.3562694917366
FOS,179.12161398250248
FOXA1,746.4096600726377
FOXC1,316.7138914203942
FOXP3,275.154814952534
FXYD3,307.8726770142224
GATA3,777.9088655687268
GNG11,218.3591368195379
GNLY,177.22985549207985
GPNMB,175.18922449337876
GPR160,219.74069889558376
GRB7,119.44705669294177
GSN,233.63350935400223
GZMB,200.85802079716254
HIF1A,604.1959630659896
HLA.A,696.3089833516066
HLA.B,884.0466316632514
HLA.C,607.8938323773942
HLA.DPA1,281.62705813115844
HLA.DRA,493.32493532323247
HLA.DRB1,264.96593685343834
HLA.DRB5,175.88848088072427
HLA.E,831.7780016327961
HSPB1,747.7532108029366
HSPG2,224.3955125061155
ICAM1,164.95478459517116
ICOS,59.915867896075234
IFITM3,325.3982017908535
IGF1R,492.6851881370328
IGFBP5,396.82052802945725
IL2RA,271.27719515330114
IL32,244.64036045288864
IL3RA,188.47947389789445
IL7R,136.6479363308123
ISG15,602.8527050282911
ISG20,232.40626253428508
ITGA6,362.2841603029529
ITGAX,158.4048264732359
JUN,785.3819621921616
JUNB,405.11836367006623
KIF23,249.78995257149663
KIT,366.19773089909825
KRAS,413.3096946786172
KRT10,119.6042749528637
KRT14,22.516178074511572
KRT15,181.53600541883847
KRT17,45.556047326555074
KRT18,593.091433934978
KRT19,744.9078894971126
KRT5,82.35157427716857
KRT7,134.13916030821719
KRT8,643.7258886876514
LAG3,214.04582649462213
LAMA1,152.05807852072903
LAMC1,615.1019288822673
LDB2,434.9787719614667
LGALS1,417.09063881761756
LGALS2,110.65608739348738
LILRB1,174.57833265776992
LRP2,595.8757404109822
LST1,118.89929287222722
LTF,152.5526274563166
LUM,81.83462443121306
LYPD6B,169.0598710572784
LYZ,179.33970412101954
MAPK13,523.2983577503717
MAPK3,250.64844051961893
MDM2,402.6427581206488
MELK,225.76612640045977
MIA,84.48788580456845
MKI67,199.1349754443389
MLPH,336.3780830282748
MMP11,224.92123204109802
MMP12,74.35779632881571
MMP9,74.12845944411497
MS4A1,152.4723915357517
MSR1,104.03626807396877
MT2A,156.3650013188208
MUC1,161.40957941953752
MYB,163.7106126691757
MYBL2,297.86014973458487
MYC,452.12448204972003
MYL6,807.6768810267171
MYL9,533.2215141194436
MYLK,452.47155303396687
MYO10,284.1093676442642
MYO5B,192.42166832886133
MZB1,77.29092315120268
"NAT1",204.4179582445503
NCAM1,449.20867475970044
NDC80,215.4254175296757
NDRG2,584.9564489842326
NF1,770.7769412168581
NFKBIA,368.7937141170324
NKG7,163.49596278724934
NOTCH1,422.6565144319079
NR3C1,502.19554131893545
NUF2,158.89773494385446
OBP2B,68.37906088178482
ORC6,317.03710948435275
PABPC1,951.5159849833312
PBK,171.10347173083863
PDCD1,103.86845757289264
PDPN,107.85692752794652
PDZK1IP1,212.7818084807403
PECAM1,241.26374861250667
PGR,106.58322211195815
PHGDH,157.97748228724421
PI3,105.20646134749774
PIK3CA,595.1415508007569
PLEK,250.8455382774133
PLVAP,287.16204587695375
POU2AF1,114.85799857121062
PRLR,456.6737340434183
PTEN,450.8631483413379
PTPRB,231.68484425822191
PTPRC,206.0650032260173
PTTG1,180.73904624008696
RAMP2,210.7696767884462
RB1,661.96697677987
RPL13,476.2248792103572
RPL18,178.7307781030868
RPSA,626.6668763405946
RRM2,146.685067713937
S100A14,57.189629423289205
S100A4,139.13310761286215
S100A8,41.834760322333956
S100A9,53.00576658827121
SDC1,354.8851382576649
SFRP1,97.12378944380721
SIAH2,342.5716550784539
SKAP1,549.7428132230948
SLC2A1,125.3429481589512
SLC39A6,474.930511857018
SLPI,138.77924889949318
SNAI2,430.2425325042214
SOX10,55.2890165454497
SOX18,122.04135012569702
SOX4,508.71674895855
SPDEF,399.23990594310663
SPP1,78.98946870711524
STAT5A,247.4607607074264
STMN1,499.6379682923638
SULF1,276.4667313042354
TAGLN,323.71631698396806
TBX21,228.7842562808434
TCF4,458.0172805976492
TCL1A,71.08455068270575
TFEC,123.51996624525881
TFF1,276.7107357919165
TFF2,95.67755639732599
TFF3,180.63581485481666
TFRC,416.62088115290845
THEMIS,121.82273118895593
THY1,229.76245479868834
TIMP1,249.4871197800942
TMEM45B,68.71054957629576
TMSB10,567.5785270594592
TP53,605.8737795949207
TPM2,381.6607034476313
TRAC,138.94048681704092
TRDC,139.1245646559122
TSPAN1,154.95798643042679
TTC6,740.1393116175936
TTYH1,134.4909851354161
TYMS,327.0804981005499
UBE2C,153.2687215530958
UBE2T,294.38060687613665
VIM,768.4967773789723
VSIR,317.42375136113424
XBP1,717.6750900298169
XCL1,142.29894506366216
ZEB1,662.4076248194291
ZNF571,262.2422875116386
