target,imp
ACTA2,67.20459700081052
ACTG2,27.483557077669232
ACTR3B,94.20052956732296
ADGRL4,27.894329059873392
AGR2,24.186169600084373
AHR,42.37054921211444
AIF1,30.480040944385934
AKT1,51.50980684189368
ALDH1A3,53.750039940553215
ANLN,38.575510851448136
AP1M2,63.198909341221736
APOC1,38.12569999139145
APOE,30.649391536359786
AR,57.85429574745515
AURKA,63.22593935861332
AZGP1,31.66939128441594
B2M,226.01353902701442
BAG1,61.91481080302033
BANK1,16.01345152352949
BCL2,81.99535273853242
BGN,86.57655800022165
BICC1,27.003100294557548
BIRC5,34.588964949169565
BLVRA,53.19508685256459
BRAF,75.71978146625949
C1QA,41.51462221384204
C1QB,48.51563190127205
CALCRL,51.83852309994738
CAPN13,60.45651625815638
CCL2,34.994740894341255
CCL3,57.591586909001926
CCL4,45.197445889839074
CCL5,52.40501823100651
CCNB1,70.37273683624313
CCND1,141.90460510879677
CCNE1,48.41708590297272
CCNE2,24.262790098914977
CD14,38.927264086787964
CD163,37.26010153721095
CD19,33.09701951484685
CD2,62.05478648246881
CD24,130.0600351993349
CD274,27.722130479882996
CD34,65.8995475689111
CD36,88.58281568776025
CD38,49.94967641711774
CD3D,38.93620985981049
CD3E,64.63233292075697
CD3G,70.12058399580337
CD4,36.41920328809113
CD40,73.37363717110594
CD40LG,23.841393215177845
CD44,36.51723172476177
CD5,34.05425208828619
CD63,88.92451259527051
CD68,34.64123116109105
CD69,49.378028033515
CD7,51.079940532605654
CD74,122.89204475554888
CD79A,16.351754274987865
CD79B,33.244704043769886
CD8A,40.23972262747113
CD9,37.50524830038956
CD96,46.47626858995895
CDC20,18.210313445882168
CDC6,46.91478425349123
CDH1,76.7464656080787
CDH11,45.73878389072897
CDH3,45.49580038696663
CDK4,79.66382837680763
CDK6,56.56253860337396
CDK7,91.43062780580112
CDKN2A,107.27587650026557
CEACAM1,97.7094740556205
CENPF,59.76199822157255
CEP55,46.69250799327097
CLDN4,45.21790018893405
CLU,49.609735450746584
COBL,58.9715985059339
COL1A1,50.07699814545407
COL1A2,78.68220544649301
COL3A1,66.71236085604494
COL4A1,99.44527216455498
COL4A2,114.91268936945548
COL4A5,50.69621751346527
CR2,16.356759965741027
CRABP2,6.501678850750405
CSRP2,56.060216745789965
CST3,53.95902114494077
CSTB,24.006344088928564
CTCF,106.14960971836004
CTLA4,13.702145747357543
CTSL,104.87136024870637
CXCR5,14.245140507943495
CXXC5,67.4686837122535
DCN,34.33031402468998
DERL3,82.82018713672718
EFNA5,44.85659446308043
EGFR,69.46858775206252
EIF3E,79.65301124975282
ELF5,76.52160282086892
EPCAM,79.16163367221318
ERBB2,73.52328467722859
ERBB3,12.129678588507604
ERBB4,66.90249364803346
ESR1,19.084285243682007
FABP7,33.01411474883224
FAP,39.157823940101565
FASN,109.85108594867987
FAT1,50.09823750511204
FCGR3A,56.28093444629406
FCN1,40.95881962107857
FCRL5,25.9738447945699
FGFR1,125.02589826064528
FGFR2,7.396559893990713
FGFR4,78.49509469410111
FN1,95.8854969288543
FOS,49.18533796024713
FOXA1,122.75728536816592
FOXC1,50.105893984226384
FOXP3,38.379851139416644
FXYD3,48.88497703389561
GATA3,133.73387710478534
GNG11,61.55521265496726
GNLY,38.473995802020816
GPNMB,38.805074008711976
GPR160,66.82034921449318
GRB7,12.348686504955971
GSN,45.88392362370667
GZMB,58.06702250523932
HIF1A,113.28733534077641
HLA.A,85.12030023527942
HLA.B,175.7730564776008
HLA.C,105.50440967403148
HLA.DPA1,35.69540210576958
HLA.DRA,75.30351790747392
HLA.DRB1,33.27222000977301
HLA.DRB5,26.978141780095402
HLA.E,139.0222240111288
HSPB1,139.9651772116182
HSPG2,38.09675409651891
ICAM1,98.87438344756234
ICOS,7.722814996323397
IFITM3,64.45279800691159
IGF1R,117.57352396344291
IGFBP5,59.85134657358188
IL2RA,54.106439956664744
IL32,66.85724958273472
IL3RA,20.62631587893885
IL7R,39.918324881055725
ISG15,82.25876964096832
ISG20,51.78442549536742
ITGA6,61.38013871698881
ITGAX,36.83448997766743
JUN,114.85819272013751
JUNB,84.94008764594724
KIF23,55.91320857057915
KIT,62.42602886645035
KRAS,56.48530869712493
KRT10,20.71223158128867
KRT14,17.040881574733376
KRT15,47.39282960000665
KRT17,34.18494571727314
KRT18,113.8563723267578
KRT19,118.81290701079081
KRT5,7.908691690399483
KRT7,29.203982344020766
KRT8,102.64257033974027
LAG3,37.746253207053954
LAMA1,34.164837556648706
LAMC1,92.01318512415045
LDB2,70.71451771009224
LGALS1,57.293259174715814
LGALS2,42.06527813386628
LGMN,74.77272531142513
LILRB1,42.78362967413067
LRP2,134.67188945030682
LST1,43.44096254870828
LTF,42.99690764172713
LUM,64.21023462069743
LYPD6B,45.7507185235075
LYZ,38.94250047612462
MAPK13,79.99339915126806
MAPK3,54.399784726115065
MDM2,78.54990480490667
MELK,41.624329144423356
MIA,33.4252565440067
MKI67,40.668581374970046
MLPH,53.015717820935954
MMP11,43.934506775311874
MMP12,19.593247688607697
MMP9,15.807844002526393
MS4A1,60.096296265315125
MSR1,27.20742969645564
MT2A,29.126726250453398
MUC1,49.40549222867658
MYB,43.065846852272486
MYBL2,42.5914143778133
MYC,68.64169438441749
MYL6,157.54756904023938
MYL9,78.04071046018548
MYLK,64.31322883341578
MYO10,73.9382221070894
MYO5B,38.50378440528462
MZB1,23.970341336505207
"NAT1",48.7906314485609
NCAM1,105.41996249098096
NDC80,51.20016636075539
NDRG2,86.57917336878947
NF1,104.93994384655332
NFKBIA,54.925369504869316
NOTCH1,92.49891862377663
NR3C1,92.02125265490888
NUF2,29.953013897400027
OBP2B,16.646259607330865
ORC6,48.978321348546125
PABPC1,171.55675244164286
PBK,32.46225683922415
PDCD1,19.48855780447081
PDPN,14.69427359776498
PDZK1IP1,31.998520878333128
PECAM1,39.60932081015876
PGR,22.27281976123706
PHGDH,32.85297190675536
PI3,10.152092210255155
PIK3CA,109.36099766638996
PLEK,75.49460889985467
PLVAP,46.95883149062816
POU2AF1,41.568482459639625
PRLR,92.79972332917961
PTEN,99.52242611309046
PTPRB,70.86339231883196
PTPRC,53.704435046172556
PTTG1,48.802957281161426
RAMP2,77.86033234581424
RB1,91.45092972053497
RPL13,65.62320519077153
RPL18,18.12480447837456
RPSA,106.91450325488144
RRM2,30.264466269859177
