target,imp
EDNRA,8.913818635007224e-4
CDON,9.395577772833727e-6
PTGIR,0.0019501471542572597
EPHA7,6.447507469137747e-5
KLRC2,2.712208602415416e-4
CCR2,5.165700634259756e-7
SELL,6.057514692506542e-6
ACVR1,0.0013512674180061258
RHBDL2,2.7651529690750283e-4
CNTN1,6.499526631949862e-6
CSPG4,1.4100056379603393e-5
GIPR,4.653386708386844e-7
ROBO1,4.052705422205088e-7
RET,6.24997779109371e-7
FGFR1,5.03414629080135e-7
ROBO2,8.60088174994831e-5
ACKR3,2.1584203722731463e-6
ADORA1,4.6376481925194654e-7
CDH7,2.2385245947273116e-7
ITGAD,7.342750193252651e-7
IL1RAPL1,4.412818536787046e-7
ITGA6,9.924564392589716e-6
DDR2,0.002783973912155545
EPHA4,5.2321050975315195e-6
FPR3,2.5567448753587386e-6
PTPRF,5.359871792850595e-7
IL18RAP,0.004257232959655453
GFRA1,3.8639681574281233e-4
ITGAL,0.003074148376621235
LRP6,3.76368553449858e-5
F2RL2,1.5631750301616846e-6
ITGA2B,0.0025587580468488763
EPHB1,1.7443020390795756e-6
ERBB4,7.96900648550361e-6
OPRL1,0.0012773153439904943
APCDD1,6.8150256227941924e-6
ITGB7,0.005627469374613732
CXCR3,3.987632808766756e-7
KREMEN2,6.03785800606999e-6
FZD1,5.126952187882236e-5
IGFLR1,2.1350456060257187e-5
INSR,9.029696423954559e-6
ITGAX,0.004305904923821887
TNFRSF10A,0.004073996279928176
FPR1,1.830293377437579e-7
NRXN3,6.537517079429722e-7
CNR1,0.00499783814385053
ITGA11,2.125558922019547e-5
PTPRB,0.001840730883187815
PTPRM,3.6551767018538553e-4
LRP11,9.377560661891219e-7
NTRK2,8.33434645714299e-7
MARCO,1.324735944512471e-6
BAMBI,7.864000493796024e-7
P2RY12,0.0050246814344497535
UNC5C,1.641594581234317e-6
EPHA6,1.0767314998987314e-6
TLR5,3.054286657976888e-5
TSPAN1,4.775122461405051e-7
CCR5,0.007023574691378762
ROBO3,9.489886523376241e-6
TNFRSF10D,2.1823499780536642e-5
LGR4,3.5345846587601427e-4
ACVR1B,5.874846639818022e-7
IL13RA2,1.82110237545515e-6
ITGA7,2.5158996625298884e-4
IGF2R,3.4305418519520116e-6
IFNLR1,0.002849446024157446
IL10RB,1.2549143622174627e-5
MERTK,0.0027163633751526896
LDLR,1.5296497840489742e-4
MST1R,7.979751207651798e-7
APLNR,8.383379161905343e-4
PLXNA4,3.65793615664318e-7
CNTNAP2,1.8524867552678276e-6
NRXN1,1.0513255166264025e-6
HMMR,1.0333398146716231e-6
FZD3,2.6098753698847984e-7
PTPRG,2.2706604761832817e-6
PTCH1,0.010488902386269157
GP6,1.2396192823714864e-6
CD96,0.007062307310272793
PTPRK,3.6462729662239604e-4
MRC1,0.01023571359604248
KLRG1,7.137580183133163e-7
HAVCR2,2.887904491974103e-6
PTPRC,8.982494984699277e-6
CD80,1.755580275177802e-5
CD226,2.7743361499980174e-7
CD38,6.28826582484424e-5
PDCD1,3.258371664326636e-6
CD3G,0.0037123210823281527
GABBR2,4.802198415675929e-7
CD3D,0.007571434986612688
GPR162,2.0923869513205133e-5
HTR2B,0.01294297105946667
GRM4,8.872821594072465e-7
S1PR5,9.810964525655136e-6
CD247,0.006342009594614727
HRH1,1.1717334959682323e-6
SORCS2,7.95499408569917e-6
GPR176,1.0743544669423792e-6
P2RY8,0.005769272706140536
FCRL3,3.3588622513576987e-6
GPR20,2.5212898568264666e-7
CELSR2,1.6843800201415412e-6
P2RY2,0.002702071271937019
GRM2,0.0023042866125909493
GPR63,1.4806607407564e-6
HCAR1,1.490399358915137e-6
SUCNR1,2.34606817268368e-6
GPR183,4.861871774588543e-7
GPR161,3.712989737690461e-6
GPR4,0.0033004639698191547
GPR84,0.00365177955462548
OXER1,0.001988291877507741
CNR2,1.1945300631614024e-6
ADORA3,7.197342442882271e-7
GPBAR1,0.01130380653633782
LILRB3,0.0016748508419212505
ESR1,0.0015879055827280688
FCGR2B,4.831342290839822e-6
LILRA1,1.0138777732973568e-5
GRIN2A,3.684039896908008e-6
ADRA1A,1.2108461321306525e-6
GPRC5B,3.041811774417588e-7
NLGN2,1.0361903527405184e-6
PTPRR,0.0034661671463506617
NRP1,7.667248097657457e-6
IL1RAP,1.7960876772295247e-6
ST14,0.010764859997198721
IFNAR2,4.941822582517156e-7
IL17RA,3.3298964091991223e-7
PLAUR,6.872825708374428e-6
IL7R,4.486482333194035e-5
CD274,1.3858987463245638e-6
SDC4,1.689606173966768e-6
PVR,4.661646511030335e-7
TRAF2,8.534364058949946e-7
EPHA10,8.434815734057895e-7
EPHA3,1.1588476307057135e-5
