target,imp
ACKR3,0.006687555836757718
ACVR1,0
ACVR1B,1.2935861661777006
ACVR1C,0
ACVR2A,0.011218253973331862
ACVR2B,0.018482215441307952
ACVRL1,0.022394993772971414
ADCY1,0
ADIPOR1,0.578224817401545
ADIPOR2,0.030689884917220533
ADORA1,0
ADORA3,0
ADRA1A,0
ADRA1B,0
ADRA2B,0
ADRA2C,9.061868764080213
ALK,0.0016056510623463317
ANTXR1,0.0020819376118508264
APCDD1,5.8859680934784615
APLNR,0.724823167751229
APLP2,1.020154450590346
AR,0.013459994935343628
ATP6AP2,0.38872937959246984
AXL,0.001457989944703092
BAMBI,2.716194497819581
BCAM,2.8645585129902322
BDKRB2,6.25458851212739e-4
BMPR1A,0.009098629581191136
BMPR2,0.27331112288773873
BOC,3.814566610513125
C3AR1,7.481861880700464e-4
C5AR1,0.43761910212520944
C5AR2,0.010980590933281098
CALCRL,4.330133238188931
CAV1,0.7642684732200391
CCR1,2.8702533429501527
CCR10,0
CCR5,0
CCRL2,0
CD151,0.47996613773821556
CD180,1.7044435523348446e-5
CD2,0
CD226,0.016060714240645008
CD244,0
CD247,1.916299459034776e-4
CD248,0
CD27,0
CD274,1.5107455059113293
CD300LF,2.9238582465139316
CD33,0.03881570496086119
CD36,0.9536229265669953
CD38,0
CD3D,1.1651009821156888
CD3G,0
CD4,1.191621047686492
CD40,2.0345481610071503
CD44,0.0035062044604555614
CD46,3.5320078199687908
CD47,0.38704434095299867
CD53,0.04312769616273267
CD63,4.318709738701709
CD68,0.9653471859712872
CD69,0
CD72,0.0012398800860416882
CD74,7.370632907768541
CD80,0
CD81,4.629055846947789
CD9,0.19175837499050016
CD93,0.03716265269795674
CD96,2.288283989107525
CDH2,0
CDH5,0.002362314521783722
CDON,0
CELSR1,0
CELSR2,0.013144308359040173
CELSR3,0.005469117946771284
CHRM3,0
CHRM5,0.9686490226175599
CHRNB2,1.606827928036625e-4
CLEC10A,0
CLEC12A,0
CLEC2B,0.33550435712812765
CLEC2D,0
CLEC7A,0.00812825872384657
CMKLR1,0.42579131502400197
CNR1,0
CNTFR,0.9074420361360076
CNTN1,0.002115085201172233
CNTNAP1,0
CNTNAP2,0.36017535993607447
CR1,0
CRLF1,1.1162904955432374e-5
CSF1R,0.009207365005201383
CSF2RA,0.00977108994797761
CSF2RB,0.0014279243218183614
CSPG4,0.004108518241418282
CX3CR1,3.0893597456656984e-4
CXCR4,0.014526586734306178
CXCR6,0
CYSLTR1,0.002599309511533452
DCBLD2,9.020702304814731e-4
DCC,9.503718658151205e-4
DDR2,9.525588643681604e-4
DRD2,0.005517832471851741
DYSF,0.007903942896182825
EDA2R,0.012263677853063183
EDNRA,0.00346714346146332
EDNRB,1.150012972679893
EGFR,2.645037967797832
ENG,1.1405456450433273
EPHA1,0.012655129610421624
EPHA10,0.9832580027566503
EPHA2,0
EPHA3,0
EPHA4,0
EPHA5,3.681368813650443e-4
EPHA6,0.008979384555130731
EPHA7,5.30033250921407e-4
EPHB1,2.7291782486195084e-4
EPHB2,0
EPHB3,0
EPHB4,0.0034694856891785497
ERBB2,4.795073638170311e-4
ERBB3,0
ERBB4,0.37264062307426526
ESR1,0.010728095515541571
F2R,1.3459305306490454
F2RL2,3.690065128886727e-5
F2RL3,0
FCGR1A,4.016569092146082
FCGR2A,0.0030621598443863318
FCGR2B,0
FCGRT,3.4187146804859823
FFAR2,0
FGFR1,9.659230153455185
FGFRL1,0
FLT3,0.001911658251373806
FLT4,0.015112229097274681
FPR1,1.4582262677942213
FPR3,1.8301544780467e-5
FXYD6,3.2340090450179737
FZD1,0
FZD2,0
FZD3,0
FZD4,7.72837764780413e-4
FZD5,0.002707396362761605
FZD6,9.23166523525821e-4
FZD7,0.06934294389498857
FZD8,0.03291030713349944
GABBR1,1.0330357623756987
GABBR2,0.049266912587834284
GFRA2,6.498273778833652e-4
GIPR,0.0022250777337005046
GLRA2,0
GP6,0
GPBAR1,0
GPIHBP1,0
GPR12,0.023555776333208753
GPR135,0.21007454555851485
GPR146,0
GPR153,1.9591246889786682
GPR158,0.0023732825974870763
GPR161,0
GPR162,0.3691738915308413
GPR176,7.20089485500548e-4
GPR18,0
GPR20,0
GPR27,1.9449320067275853
GPR34,0.00243407276623613
GPR37,4.808105330950619
GPR39,0
GPR4,7.409888847522561e-4
GPR65,0.9023462419520711
GPR82,0.005794745954721918
GPR85,0
GPRC5B,0.3905016731259397
GPRC5C,1.749278817436382
GRIN2A,0
GRIN2B,0.027529672277159918
GRIN2C,0
GRIN2D,0
GRM1,0
GRM3,0
GRM4,0.011423394574546891
GRM7,0.21308982263510678
GRM8,0.01000952557595685
HAVCR2,0.011835260290188528
HCAR1,6.587763638841126e-4
HFE,0
HMMR,0.5760654414615014
HRH1,7.150833798860745e-4
HTR1D,0.0029200865001876085
HTR1E,0
HTR2C,0.43682868563066873
ICAM3,7.27559998625199e-7
IFNAR1,0.01061343534686182
IFNAR2,7.430095412070911
IFNGR1,0.32839564693289736
IFNGR2,0.05076154363342988
IFNLR1,0.00816734415193597
IGF1R,0.005065972724427616
IGF2R,0.046994512687735385
IL10RA,10.142847634510732
IL10RB,8.798559786806674
IL11RA,0.001656392852881261
IL12RB1,3.5698108045459034e-4
IL13RA1,0.020665732661122985
IL15RA,0.014862203315551905
IL17RA,0.06817652921122264
IL17RC,0.0015689204824887316
IL18RAP,0
IL1RAP,0
IL1RAPL1,2.851159134250858e-4
IL1RAPL2,0
IL20RB,0
IL21R,0
IL27RA,0
IL2RB,0
IL2RG,5.3589833367698734e-5
IL3RA,0.9155200143682876
IL4R,0.007985922472544114
IL6ST,0.06331148236911192
IL7R,0.0066241740495070435
INSR,0.70805412218747
ITGA1,0.31807087783060395
ITGA11,0
ITGA2,0.0012833698200767785
ITGA2B,0
ITGA3,1.804575535056638
ITGA4,0.017862084778614114
ITGA5,0.9745959654085766
ITGA6,0.007620211578215825
ITGA7,1.9045951343525258
ITGA8,0.03927369961964125
ITGA9,0.40238010785682626
ITGAD,0
ITGAE,0.9480799461085317
ITGAL,0.0017657318470466132
ITGAM,0
ITGAV,1.7838834871196514
ITGAX,1.9276867444869338e-4
ITGB1,3.315001379243549
ITGB2,0.9600801762320255
ITGB5,0.43526039888038887
ITGB6,1.121575983380696e-5
ITGB7,0
JMJD6,0.008212829726386877
KDR,0.3731196328982979
KIT,0
KLRB1,0.0022042312640741125
KLRD1,0
KLRF1,0
KLRG1,0.005171953803653615
KREMEN1,0
LAIR1,0.0073445771187233685
LAMP1,1.1221752775404028
LDLR,0.38218574039572095
LGR4,0
LHCGR,0
LIFR,0.0025600325169737935
LILRB2,1.1678515641806286
LILRB3,0
LILRB4,1.2751663489518323
LILRB5,0.0065902894421937305
LINGO1,5.830458312514741
LMBR1L,0.020390982245036153
LPAR1,0.5972032888986939
LPAR2,5.739830032595317e-5
LPAR5,0.0035045606683267033
LPAR6,0.2829657682588723
LRP1,1.3821994317454382
LRP10,0.0723693248282268
LRP11,0
LRP12,0.473584088622313
LRP2,0.20007894625101968
LRP3,0
LRP4,0
LRP5,0.004808225486834761
LRP6,5.460909332197262e-4
LRRC4,0.005064074003355474
LRRC4C,1.4656258314455428
LSR,0.003568070509370618
LTB4R,0.0021219651782363115
LTBR,0.8160574057242823
LY75,0
LY96,0.314695740664495
LYVE1,2.092624617791877e-4
MAGED1,2.6400707429676102
MARCO,0
MC1R,9.604655976306025e-4
MCAM,0.03654649957128693
MERTK,0.004338171205892893
MRC2,0.0023376512036630713
MST1R,8.423344697131713e-4
NCSTN,0.01390666574987614
NEO1,0.0055748771434545865
NLGN2,0
NOTCH1,3.0692989680964456e-4
NOTCH2,0
NOTCH3,0.643241266827468
NOTCH4,0.016867779363876574
NPR1,0.5812806073753466
NPR2,0.020517231567524274
NPSR1,4.7120340428095985e-4
NPTN,8.94415729784245
NPY1R,7.051689837096863e-4
NRP1,0.6070768469164087
NRP2,0.6247949067910669
NRSN1,0
NRXN1,0.0018601783339624776
NRXN2,0
NRXN3,1.86349201026032
NT5E,0
NTRK2,1.2686294971034564
NTRK3,0.016669780126442782
OGFR,0.6075699902983382
OPN3,0
OPRL1,0
OPRM1,0
OSMR,0
OXTR,0
P2RX7,0
P2RY11,2.3642816358987995
P2RY13,0.01881074282669374
P2RY2,0.005159790568862261
P2RY6,0.002790062867088334
P2RY8,0.0041216690312370985
PAQR5,9.635409066020431
PAQR7,0
PDGFRB,0.04658777674267487
PLAUR,9.522190433659872e-4
PLD2,0.002512017607215218
