target,imp
A2M,16.457805071444366
ADAM17,14.193724870817741
ADCYAP1,15.141200223610243
ADM,12.609782028523522
AGT,11.847916683342678
ALB,14.670723560614624
AMH,11.80036366409636
ANGPT1,19.87798407987452
ANGPT2,15.775294159063078
ANGPT4,15.570225875003114
ANGPTL1,21.21113387026302
ANGPTL2,8.089339278220802
ANGPTL4,17.96150236641918
ANXA1,12.96850792756161
APLN,11.318526446129704
APOD,15.039410463712734
APOE,13.77443080718815
APP,9.50375599176779
ARTN,15.915642898088143
AZGP1,11.839589864202981
B2M,10.868247522052815
BGN,18.692220884759173
BMP1,12.07535543290727
BMP2,17.57326042796327
BMP4,12.85344690579751
BMP5,14.402761933142392
BMP6,18.001109721295702
BMP7,15.57168177624422
BMP8B,15.23024096223382
BTC,20.85409640861885
C1QTNF1,11.223831014002958
C1QTNF5,16.796217499243706
C3,16.045985523947948
C5,12.955335999025133
CALCB,16.03313771404588
CALR,10.535771528892981
CAMP,15.407406647337066
CCL13,17.99217352065386
CCL14,11.240263584150934
CCL17,10.27520088040229
CCL18,17.442930717335088
CCL19,22.729216055143926
CCL2,12.241136175025408
CCL26,14.819153121083689
CCL3,17.878507661549694
CCL4,11.564388594881322
CCL5,11.251432965539609
CCL8,14.783275306445763
CD55,12.77511203856447
CD5L,11.016857326802446
CD70,17.2264671161011
CD86,14.693949071871621
CFH,11.42735725942737
CGA,12.562009512265018
CGN,15.734963475300008
CKLF,15.03229993411587
CLEC11A,9.122471813291384
CNTN4,9.991028128825224
COL11A1,12.981102117002415
COL14A1,9.741111470195412
COL18A1,16.29246416861083
COL1A1,14.848215550260948
COL1A2,11.978888872973059
COL2A1,12.328203394622086
COL3A1,15.920319185190223
COL4A1,15.916818201813905
COL4A2,12.225644406469097
COL4A3,18.724079335101102
COL4A4,16.009349351964143
COL4A5,20.05553241002135
COL4A6,15.977298912406441
COL5A1,14.761385298662363
COL5A2,22.02796084656155
COL5A3,12.591569127088219
COL6A1,10.053328105293602
COL6A2,12.258278005976903
COL7A1,13.543984202087724
COL8A1,16.395452810080858
COL9A1,12.355414311250831
COL9A2,14.400058079449291
COL9A3,16.520811448939902
COPA,17.697546772115285
CORT,10.450773731721842
CP,12.371825989866407
CRLF1,15.220978253708486
CSF1,9.856965461306881
CTF1,14.399279627367159
CTGF,13.870992784061487
CX3CL1,11.055895494647771
CXCL1,23.39778690652822
CXCL10,15.99786904874612
CXCL11,14.024519076371107
CXCL12,16.168673408835147
CXCL13,8.783938666400864
CXCL2,21.517853494563962
CXCL3,16.77100904620206
CXCL5,9.709078339553237
CXCL9,12.946794206538554
CYR61,14.7308697942556
DCN,9.007890866270257
DEFB1,10.627261890095117
DKK2,12.423486442034015
DLK1,11.041127403014489
EBI3,15.503867134735536
EDA,14.412636968717258
EDIL3,24.431583110857527
EDN1,17.239312253542707
EDN2,14.226508805425908
EFEMP1,9.86671695470643
EFEMP2,12.224101854617036
EFNA1,16.520374594410416
EFNA4,11.752922142719804
ENHO,25.333114458984674
F10,13.266164482063298
F12,9.050323228875413
F13A1,19.819889561226024
F7,11.523421570292879
F8,21.21282338746261
FAM3C,11.732123143052496
FASLG,10.668602560477604
FBLN1,17.14133225538942
FBLN2,9.47825055187924
FBN1,12.77000703625079
FGF1,12.264945155353098
FGF12,19.359928106084034
FGF13,10.143774307800179
FGF14,14.575668631391581
FGF17,7.437213763602225
FGF18,15.779936050688944
FGF2,13.330844808748234
FGF7,12.843570802130337
FGF9,24.059582945576516
FGL1,11.554963327963783
FN1,15.280812636037371
GAS6,8.390920193149395
GDF11,17.9599733295068
GDF15,12.474156198598594
GDF6,14.255102696012468
GDF7,27.00112180546643
GDF9,17.780460790109515
GHRL,14.132600507185868
GNRH1,10.678885587462796
GPHA2,11.477717956056622
GPI,12.620404767026962
GRN,21.682275488114357
GZMB,18.353766686372673
HBEGF,16.813590561305812
HGF,11.038970009564535
HLA.E,9.964346804251779
HLA.G,11.78960551765882
HSP90AA1,11.08470662088903
ICAM4,11.922876330804408
IFNG,11.805742792185006
IGF1,14.133870864861143
IGF2,10.342679596515557
IGFBP4,13.267529135442851
IGFL1,15.315824975268551
IL10,17.39012960000835
IL11,19.159874149762388
IL15,15.598641468356497
IL16,14.63975842191893
IL17B,10.240403991088174
IL18,13.48264310039229
IL1B,18.98574851099162
IL1RN,10.056688164197642
IL27,17.91175047795611
IL33,14.625954590825142
IL34,14.55918403914532
IL36B,19.642122531982473
IL6,9.660178921064396
IL7,11.883553189424767
INHA,22.150360335046674
INHBA,10.007347124174292
INHBB,24.098479304863478
INHBE,9.137673268229944
KISS1,8.130435411313211
KITLG,13.029568291058933
L1CAM,16.249966386234238
LAMA1,14.309717971298213
LAMA2,16.830722576270485
LAMA3,25.257933874774416
LAMA5,10.687475765497995
LAMB1,7.6288513353899745
LAMB2,14.071740218442747
LAMC2,13.272290861088184
LGALS1,48.60541484577236
LGALS3BP,12.680890416187593
LGALS9,9.335334034149849
LIF,12.074932797670726
LTA,9.754521826200405
LTB,13.362887881674634
LTBP3,21.117237111297168
LTF,14.09998188851496
MDK,18.74692959978929
MFGE8,16.04623179502102
MIF,11.52185891313121
MMP1,12.590029895313585
MMP12,14.151863952014958
MMP2,20.334217864206014
MMP9,18.0461461730639
MST1,23.51087263164382
"NAMPT",22.18557898075354
NCAM1,12.241032669958196
NGF,14.377695185792392
NID1,20.805163180788718
NID2,9.972515331476986
NLGN1,16.1168305555327
NMB,14.294303214402197
NMU,12.919603369932647
NPB,22.207135608764833
NPNT,30.776158506224885
NPPC,9.973961280554292
NPW,23.161751820619443
NRG1,14.784477110109906
NRG2,20.55573840694312
NRG3,15.38744206211197
NRG4,15.350399559754928
NRTN,19.465712117762212
NTF3,18.23600105208581
NTF4,8.836847111552638
NTN1,12.500305036935863
NTN4,11.191113223013751
NTNG2,8.4491494985566
NXPH1,10.483675661443854
NXPH3,12.570297723541177
OLFM2,19.070670483162374
PDCD1LG2,10.235462461918402
PDGFA,15.48047430677568
PDGFB,12.665383864849554
PDGFC,12.997786483759551
PDGFD,10.61815441638685
PF4,11.221846379583871
PGF,16.88299877563602
PLAT,10.324222880510609
PLAU,12.626738821448123
POMC,11.452529482969705
PPBP,16.38832072897158
PSAP,12.912785262362274
PSPN,11.252594201919258
PTH,13.974676860511764
PTHLH,17.788221589466044
PTN,17.748404869439337
PYY,15.322239332974275
RARRES2,18.186865854626117
RELN,19.433992494547418
RGMA,7.461700161073146
RGMB,12.911629907122615
RLN1,15.480362809607128
RPH3A,14.443405671432572
RSPO2,18.966659897379394
RSPO3,17.220987356409623
RSPO4,8.680341641946544
S100A8,19.484471287651818
S100A9,8.807186124058571
SCGB3A1,32.792716468087356
SEMA3A,11.91712168154967
SEMA3B,14.039058694850729
SEMA3C,13.171125358742954
SEMA3D,8.340511060028536
SEMA3E,12.342334596911861
SEMA3F,16.695264043018156
SEMA3G,12.870726340837528
SERPINA1,13.780328363471055
SERPINE1,11.176622321013854
SERPINE2,21.411603043222293
SERPING1,12.634741379795546
SFTPD,16.245139846679056
SHH,12.142142383564064
SLIT1,16.207485368024603
SLIT2,12.072743065863506
SLIT3,23.852084543679215
SPINT1,16.207993981578237
SPON2,17.051492844343443
SPP1,12.650682586973794
TAC1,8.894585610727125
TF,16.61597319045563
TFPI,18.96366924273367
TG,24.93546663516211
TGFA,10.971634654606682
TGFB1,14.562775003488902
TGFB2,17.40364023063562
TGFB3,14.197305424749157
TGM2,17.23116182104696
THBS1,14.843232281462907
THBS2,15.155598879195045
TIMP1,14.267264484968656
TIMP2,12.901987851821445
TNC,17.845551429635638
TNF,13.637287464830237
TNFSF10,10.928927974277837
TNFSF12,22.886213930776588
TNFSF13B,15.821335998411177
TNFSF14,19.93665961400206
TNFSF15,13.77151054665866
TNFSF18,15.173864923532147
TNFSF4,20.729027665336712
TNFSF8,11.889345407232325
TNFSF9,16.44167923995439
UCN,20.2961243224811
UTS2B,16.207381226886326
VCAM1,12.979005996163965
VCAN,19.33754967586481
VEGFA,16.507614169171944
VEGFB,10.39588269373292
VEGFC,12.087623799874825
VIM,10.354109031698286
VIP,16.21681832140951
VTN,25.723840532376734
VWF,18.20633403780658
WNT10A,15.55694267112808
WNT10B,14.980709746293869
WNT11,27.256008100308954
WNT2B,14.436378781786821
WNT3,12.930265168556478
WNT4,16.419494506699934
WNT5B,23.684487977569994
WNT6,11.462962087080065
WNT7B,28.68737301813167
WNT9A,16.70320341631005
ZG16B,11.97791050825826
ZP3,12.323449685978112
