target,imp
IL18,14.3147907335453
TNFSF4,22.69981235048493
SEMA3G,19.756971421164423
SLIT1,21.53229010309344
CXCL11,22.517459174216665
NXPH1,13.164363145379514
NGF,23.28412437364573
INHBB,18.522397775680595
EDA,22.388750558208585
CCL13,21.89969624185618
BMP4,50.20194740307933
TAC1,21.94125957817833
GDF9,35.60441234540483
GDF11,10.507474519181192
CXCL1,80.21610495976427
ANGPT1,48.954338054492936
CD5L,8.064745702938591
APLN,50.94319231803368
FGF13,15.247769898637323
CYR61,20.768680618775093
AZGP1,30.501683235087313
SLIT3,13.964164613398802
FGF9,18.393882404609464
CCL26,20.082868834662186
CXCL3,35.53942563595436
PTHLH,57.21790232790073
TNFSF14,14.124196047953758
CXCL2,25.882960614023627
TF,29.625190266308795
LAMB1,20.176807279625503
NTN4,21.241323265472396
IL7,30.002600668862485
NXPH3,19.79012189098557
CXCL10,14.680839974625783
NRTN,19.223274557739487
INHBA,27.02422439263666
APOD,25.352606744187323
CCL8,19.187300140528606
IL34,19.129554441504936
ANGPT2,15.993483514616669
RLN1,37.95825013834813
CGA,49.47545836003317
MDK,47.268438788006215
BTC,20.340593492017188
IGF1,32.05760794855348
NPNT,32.42487624954864
VCAN,24.19831574810391
CCL5,18.10183245233181
IL11,31.290509246862154
UCN,20.23316038842439
FGF2,28.01725794144892
CCL14,21.53867703085738
GNRH1,25.700509170073477
KISS1,34.49266128323239
CXCL9,13.60735827313551
EDN1,21.684228143209836
LTA,21.37424014998588
AGT,8.650546763170126
FGF18,19.277578720196786
CNTN4,18.893504979368224
FASLG,19.732718442672603
BMP6,19.90069108411663
IL1RN,14.421108657676834
NRG3,10.305338580820017
IL6,24.105857720001897
NRG2,16.829591060688728
SEMA3C,23.492998134662376
CALCB,29.929707269117618
ANGPTL1,20.945102252927462
IGFL1,28.14018783440586
PYY,20.627453791845998
TNFSF15,20.804672434484818
LAMA3,11.547015839081357
FGF1,11.24524021483594
POMC,17.25755549229086
NMB,41.60901218535956
ARTN,21.12463732244268
LTB,9.491914067403108
ANGPTL2,17.49904783700188
GDF15,23.41719282185371
IL33,31.357290493655874
WNT10B,33.05800304489048
WNT5B,18.684629230497613
WNT2B,13.826392611568556
FGF12,17.338450316809602
ANGPTL4,17.384121087353634
CFH,9.261294695140878
PLAT,8.427844227061735
SERPINE1,18.32370007089211
SERPINE2,13.946573124905854
COL5A1,12.285404942532683
COL4A5,18.729175658675935
COL8A1,17.866836288082027
VIM,31.27034117877793
F10,6.7327565634155455
GZMB,11.772171961562888
COL4A3,13.520200654526207
COL4A1,30.16717681051421
COL1A2,17.498749808582524
COL5A3,12.914357067095303
COL4A2,16.463196210190084
COL9A2,19.37402902097979
NCAM1,23.916130024213604
