target,imp
CD19,40671401.00940016
PECAM1,36256789.75978257
HLA.DRA,41198749.0620983
MKI67,43614674.44317974
CD274,44852045.47411724
FAP,46305874.100568466
CTLA4,29891523.040250186
CD69,66098534.88997881
CD2,50199658.89452052
B3GAT1,46674809.56361808
PDPN,39508518.43369743
HIF1A,53776020.62962267
COL4A2,43156337.8059662
CD40LG,36381393.29089336
NCAM1,36334358.80272587
IGHM,45018353.03925261
MMP12,40798416.666907564
CD36,54155893.427486666
CD9,34077497.07807651
CD1C,37933943.97338948
ITGA6,39819120.47166401
PTPRC,44285628.53907537
FCGR3A,27501130.789818615
FOXP3,31224256.00259403
IL3RA,50507360.94451088
KRT19,61782170.12735615
HLA.B,47393785.46449948
THY1,29720255.397387594
IL7R,73577876.29340194
ICOS,29596827.263086777
CXCR5,33370880.6450881
KIT,54067921.55160233
PDCD1,29750680.61807346
CD5,32835621.440970372
PDCD1LG2,60445010.97279168
ITGAX,40512541.054849915
VIM,49994035.75057199
ICAM1,47851099.55716892
LILRB1,51883592.429516576
CD7,45617769.42775526
FUT4,29005169.078934368
CR2,39965665.46322287
CD38,86425072.24753067
CD4,50318744.93108834
ISG20,54414013.96145849
CEACAM1,50669730.72797435
CD40,31498794.190805797
PTPRCRA,41117700.276779436
ENTPD1,28424571.1201161
