target,imp
ACTA2,0.07869066689647071
ACTG2,0.17470577134074927
ACTR3B,0.3644500583773895
ADGRL4,0.26117137162151444
AGR2,0.1654014734840544
AHR,0.2576269958109059
AIF1,0.12999123241146332
AKT1,0.24247179945396916
ALB,0.3752642306334586
ALDH1A3,0.15335065367455067
ANLN,0.25939514012062437
AP1M2,0.29637829830087714
APOC1,0.15062363391253505
APOE,0.13201359821209344
AR,0.23337874451995383
AURKA,0.14185693475859468
AZGP1,0.24222812956033832
B2M,0.08288715123264248
BAG1,0.29383338787403285
BANK1,0.28742289989113895
BCL2,0.11866490749192796
BGN,0.3378892646468097
BICC1,0.1908432628240185
BIRC5,0.16115682101654955
BLVRA,0.19942414314848833
BRAF,0.17784171153305856
C10orf54,0.18345117971386396
C1QA,0.07823067695995368
C1QB,0.23158348254580943
CALCRL,0.18860264010952765
CAPN13,0.12181412702351897
CCL2,0.26654283441987575
CCL3,0.07771151657972904
CCL4,0.10507295198727515
CCL5,0.0856886246843126
CCNB1,0.10138997309100901
CCND1,0.2302443225891054
CCNE1,0.24664951734608379
CCNE2,0.161207953634748
CD14,0.3515145996447672
CD163,0.6647987192470649
CD19,0.06459711515470153
CD2,0.2669859552206136
CD24,0.0526381124212568
CD274,0.09515492126383136
CD34,0.254902078169452
CD36,0.20071163732849986
CD38,0.06068924659719044
CD3D,0.26021235501371914
CD3G,0.2521374440312437
CD4,0.2853855800921437
CD40,0.2690008215868476
CD40LG,0.2936469833486465
CD44,0.16889860544925422
CD5,0.036704130786893746
CD63,0.09978459754193122
CD68,0.17496511504479803
CD69,0.14777614567973177
CD7,0.1818695823080124
CD74,0.13975561658646465
CD79A,0.22103512429261238
CD79B,0.34037460978444467
CD8A,0.2321114428354565
CD9,0.09479980386376287
CD96,0.11646443428890565
CDC20,0.21314401243811665
CDC6,0.0743954103147619
CDH1,0.11759228412193531
CDH11,0.11006406043495569
CDH3,0.1857708059138096
CDK4,0.25518250968593953
CDK6,0.10813509230200338
CDK7,0.1065415299876161
CDKN2A,0.08802166165020264
CEACAM1,0.09432942056923455
CENPF,0.25302746228108025
CEP55,0.11168641663473665
CLDN4,0.12144367319298979
CLU,0.20801861822979323
COBL,0.20017992731468098
COL1A1,0.040523809523809524
COL1A2,0.1836345237775811
COL3A1,0.13572469764643313
COL4A1,0.21362226958186167
COL4A2,0.12560718412081837
COL4A5,0.19854351639684487
CR2,0.11348067819473355
CRABP2,0.11576399949295053
CSRP2,0.14915628459500235
CST3,0.13298179144877864
CSTB,0.16659120192400872
CTCF,0.08718910500459395
CTLA4,0.17636498639219148
CTSL,0.20909036696940636
CXCR5,0.20638925501022365
CXXC5,0.29755289424992776
DCN,0.17037964459073798
DERL3,0.11599767076473869
EFNA5,0.05915254086643668
EGFR,0.10080358073772377
EIF3E,0.08655814626013963
ELF5,0.09563578691593985
EPCAM,0.135931672544173
ERBB2,0.14295948221435625
ERBB3,0.11177797098153834
ERBB4,0.2712637022949441
ESR1,0.18167667787525255
FABP7,0.09633089189625693
FAP,0.16463429535292362
FASN,0.3719044894014416
FAT1,0.19619712812091308
FCGR3A,0.0881007713211397
FCN1,0.13942241452742687
FCRL5,0.504907611686661
FGFR1,0.14426231996905942
FGFR2,0.307319925086191
FGFR4,0.47810807566102875
FN1,0.09300719279008611
FOS,0.14716865440939186
FOXA1,0.20578655708825558
FOXC1,0.28425042173836035
FOXP3,0.10710471516187198
FTL,0.1332966986760835
FXYD3,0.27209469044749995
GATA3,0.16258648857084768
GNG11,0.24870033570143849
GNLY,0.08092046706937145
GPNMB,0.14018932003855547
GPR160,0.17343561401740856
GRB7,0.11613856254893097
GSN,0.2724267238071914
GZMB,0.14473608663363213
HIF1A,0.06376354372846092
HLA.A,0.12677504605209233
HLA.B,0.2164594482896213
HLA.C,0.26616133454208013
HLA.DPA1,0.1629405258797286
HLA.DRA,0.14819297071060722
HLA.DRB1,0.28027342971379515
HLA.DRB5,0.14331041487843135
HLA.E,0.08748832313702654
HSPB1,0.29987004686635577
HSPG2,0.34281756714742123
ICAM1,0.07475037500323375
ICOS,0.16126247971006388
IFITM3,0.07175863387281764
IGF1R,0.13641160435081848
IGFBP5,0.06562726065994211
IGHG1,0.15819057707326703
IGHG4,0.1736426328589596
IGHM,0.14138287851775322
IGKC,0.18216600772733402
IL2RA,0.2789848963086663
IL32,0.19143530656654492
IL3RA,0.28961804502567573
IL7R,0.22250431447622138
ISG15,0.4378241950640078
ISG20,0.2114072106964831
ITGA6,0.11081850235402828
ITGAX,0.24527502761698083
JUN,0.17263012142987577
JUNB,0.15931034255662543
KIF23,0.10397374573256142
KIT,0.11240654614049161
KRAS,0.18168977126513083
KRT10,0.13504422792909762
KRT14,0.15428139170978228
KRT15,0.1846350490404988
KRT17,0.3266640470396937
KRT18,0.09252727599586469
KRT19,0.2329375518068709
KRT5,0.1522853937706088
KRT7,0.4430666660806587
KRT8,0.05925575612679751
LAG3,0.03830821386951334
LAMA1,0.14117088433273542
LAMC1,0.3708884194875631
LDB2,0.09972984325977721
LGALS1,0.35263589160285774
LGALS2,0.09956936936234374
LGMN,0.18810698709683735
LILRB1,0.19118271867000472
LIPE,0.10523347102550612
LRP2,0.142560971890402
LST1,0.23008013225050952
LTF,0.3418897951515924
LUM,0.1882581088109016
LYPD6B,0.09748578927831336
LYZ,0.05298224795058677
MAPK13,0.1680205322224523
MAPK3,0.10109553657531181
MDM2,0.12276920019034396
MELK,0.15828858604293627
MIA,0.20858682574214885
MKI67,0.5173343422462132
MLPH,0.09377018183495756
MMP11,0.10809979508279201
MMP12,0.11981857111817909
MMP9,0.10133493123165073
MS4A1,0.15723433833598924
MSR1,0.15407338171360782
MT2A,0.10809546355994691
MUC1,0.1694083761867005
MYB,0.10542612463229518
MYBL2,0.11555375462131087
MYC,0.04826861444638137
MYL6,0.14950873133828885
MYL9,0.3857827486414843
MYLK,0.14377613326941255
MYO10,0.11870529371699558
MYO5B,0.06654834153634463
MZB1,0.3169713998260775
"NAT1",0.42113654774992354
NCAM1,0.14557280709074422
NDC80,0.24357401097241055
NDRG2,0.1134128813317918
NF1,0.13063791092556185
NFKBIA,0.20348380946019415
NKG7,0.07820448292613394
NOTCH1,0.06581756058373417
NR3C1,0.14125760550470898
NUF2,0.11972429857078394
OBP2B,0.20726346352552483
ORC6,0.17524719553309567
PABPC1,0.17973464739019818
PBK,0.20646426749633698
PDCD1,0.39530394832727345
PDPN,0.23576584906858783
PDZK1IP1,0.13165231109958447
PECAM1,0.32702525135171695
PGR,0.13177067593320946
PHGDH,0.19158158327522237
PI3,0.3068027581111162
PIK3CA,0.2055307680281807
PLEK,0.10820870666942273
PLVAP,0.11465888405425485
POU2AF1,0.08033787024086254
PRLR,0.32932769342514545
PTEN,0.39625692315164973
PTPRB,0.2588996584997129
PTPRC,0.03689897651554645
PTTG1,0.19995724373966806
RAMP2,0.21298672759788193
RB1,0.23600447941383845
RPL13,0.15682895425910465
RPL18,0.08138112314724939
RPSA,0.5056164039235228
RRM2,0.12932725259121391
S100A14,0.12488960024418706
S100A4,0.12746066433623368
S100A8,0.17643305775503343
S100A9,0.1170212339033196
SDC1,0.14650921203255854
SFRP1,0.16193775358479875
SIAH2,0.11888048103811903
SKAP1,0.07548714442133649
SLC2A1,0.08572282397773157
SLC39A6,0.1546419651311177
SLPI,0.11232878043544009
SNAI2,0.12021123498767414
SOX10,0.12316680182720154
SOX18,0.19021348494993354
SOX4,0.17259508039854346
SPDEF,0.20907001587062268
SPP1,0.4101514090470175
STAT5A,0.13313837093418332
STMN1,0.1802567505596012
SULF1,0.048712899341829166
TAGLN,0.11219418517498457
TBX21,0.1274065615016811
TCF4,0.15041761823640423
TCL1A,0.16439844379501525
TFEC,0.08551718077460566
TFF1,0.11520754843620262
TFF2,0.11622949219832837
TFF3,0.0598803934599594
TFRC,0.24039250980501176
THEMIS,0.23020741335718728
THY1,0.06767395583100168
TIMP1,0.15912702503699674
TMEM45B,0.1541643487530955
TMSB10,0.06402790208501716
TMSB4X,0.21323496688647198
TP53,0.12214118599220063
TPM2,0.19028968248480485
TRAC,0.14463049382662405
TRDC,0.10569272794354591
TSPAN1,0.09695312181104099
TTC6,0.0896198103744768
TTYH1,0.11237795306836683
TYMS,0.15367605284721172
UBE2C,0.1913340919346185
UBE2T,0.09204996018638452
VIM,0.17375588079198045
XBP1,0.21023968912383859
XCL1,0.03722128851540616
ZEB1,0.20027270512525694
ZNF571,0.050701795630882056
