target,imp
ACTA2,0.11476300432318748
ACTG2,0.0035575166014767375
ACTR3B,0.0096
ADGRL4,0
AGR2,0.106972565036725
AHR,0.127747053084337
AIF1,0
AKT1,0
ALB,0.022933333333333333
ALDH1A3,0.03889461117434541
ANLN,0.03233508651687625
AP1M2,0.09793287843913755
APOC1,0.10012245078970623
APOE,0.06811441712007496
AR,0.22011790894643699
AURKA,0.08490495081739508
AZGP1,0.016367521367521367
B2M,0.009745098039215685
BAG1,0.004232171732171732
BANK1,0.12079111877770668
BCL2,0.04669163285224434
BGN,0.007311106106336101
BICC1,0
BIRC5,0.33140646874156604
BLVRA,0.0732707022339892
BRAF,0.08600265056222177
C10orf54,0.017712842712842715
C1QA,0.12442245790935351
C1QB,0.073059103005906
CALCRL,0.05184958337235624
CAPN13,0.17261896830348816
CCL2,0.0020003547578298407
CCL3,0.021296825739215493
CCL4,0.16049657807519727
CCL5,0.005237600087957819
CCNB1,0.07018737142580095
CCND1,0.3377568106913159
CCNE1,0.17071531786219585
CCNE2,0.04691727998323077
CD14,0.005425685425685425
CD163,0
CD19,0.03172771845966924
CD2,0.11240487481839379
CD24,0.267608456879797
CD274,0.2232494023524897
CD34,0.02912060240037741
CD36,0.22670516270237814
CD38,0.13764449785401736
CD3D,0.008333333333333333
CD3E,0
CD3G,0.23447285014542463
CD4,0.10898549087405254
CD40,0.060915941551766994
CD40LG,0.0064360273074805545
CD44,0.25724665113582773
CD5,0.07495421808080484
CD63,0.3251570274624295
CD68,0.13606151752664317
CD69,0.28833156176339075
CD7,0.4237969531847188
CD74,0.05685220271984049
CD79A,0.1384821456662104
CD79B,0.13171522351206233
CD8A,0.11717168896447169
CD9,0.03342254202538149
CD96,0.10222592714979353
CDC20,0.10197392914934848
CDC6,0.009444444444444445
CDH1,0.020720791323772723
CDH11,0.07576038633583738
CDH3,0.09525317817172027
CDK4,0.4334411062110321
CDK6,0.0582077727966263
CDK7,0
CDKN2A,0.36900805482788956
CEACAM1,0.03625911308281844
CENPF,0.0025788775788775785
CEP55,0.08411098684077949
CLU,0.22593248308121802
COBL,0
COL1A1,0.03613117243739009
COL1A2,0.023411777680870893
COL3A1,0.05049232716969377
COL4A1,0
COL4A2,0.10566571198771102
COL4A5,0
CR2,0.02978196600147819
CRABP2,0.15346995977898026
CSRP2,0.11624921415174326
CST3,0.22753784459655133
CSTB,0.4598748546880479
CTCF,0.0836893994106947
CTLA4,0.005347794729479505
CTSL,0.01922422769156805
CXCR5,0.5637580628648335
CXXC5,0.0018196078431372547
DCN,0.04644710316621672
DERL3,0.003361344537815126
EFNA5,0.11842401648497812
EGFR,0.034540060774457405
EIF3E,0.19020168433851584
ELF5,0.14303373831716645
EPCAM,0.05257800971314639
ERBB2,0.12398272433369006
ERBB3,0.04178471478123364
ERBB4,0.0481303334244453
ESR1,0.04339367627275372
FABP7,0.16197040189430006
FAP,0.16640344256289086
FASN,0.3111531251113222
FAT1,0.06878108390816154
FCGR3A,0.03179205158991161
FCN1,0.028155352259481053
FCRL5,0.10503213508206909
FGFR1,0.029057762057285937
FGFR2,0.018590235061933177
FGFR4,0.03432572784715689
FN1,0.04353351834912722
FOS,0.16741053386396942
FOXA1,0.14620766740367458
FOXC1,0.06780968134609061
FOXP3,0.029802039586750047
FTL,0.09275975820004195
FXYD3,0.0015623564741211798
GATA3,0.14748944102527106
GNG11,0.019336845462891973
GNLY,0.09427797092804041
GPNMB,0.10384211159211158
GPR160,0.03707985446507672
GRB7,0.04985909845321441
GSN,0.1031580962227416
GZMB,0.3214296105357464
HIF1A,0.12741159038627062
HLA.A,0
HLA.B,0.14677421609562802
HLA.C,0.3732797437078243
HLA.DPA1,0.030453583734085087
HLA.DRA,0.03213334748160725
HLA.DRB1,0.011221714878165402
HLA.DRB5,0.27562536032499063
HLA.E,0.16614317274254728
HSPB1,0.06638603516116785
HSPG2,0
ICAM1,0.0457720534373097
ICOS,0.05645285877192352
IFITM3,0.12307090149310461
IGF1R,0.014855460651604988
IGFBP5,0.38416765558914306
IGHG1,0.03791295009255172
IGHG4,0.02253882973073114
IGHM,0.1364773095987122
IGKC,0.17062085101269822
IL2RA,0.05564455829491033
IL32,0.12512562189109303
IL3RA,5.833333333333334e-4
IL7R,0.3416211240475617
ISG15,0.024956358081656003
ISG20,0
ITGA6,0.13160810365678982
ITGAX,0.03522669371303937
JUN,0.021184893770182227
JUNB,0.09658212549139225
KIF23,0.4080645247804891
KIT,0.1312863185971598
KRAS,0.41549958361306333
KRT10,0.008333333333333333
KRT14,0.10893599226881878
KRT15,0.09682864873917973
KRT17,0.03278781496748334
KRT18,0.05036788453628482
KRT19,0
KRT5,0.06257338778364617
KRT7,0.0017760981315887985
KRT8,0.08098223175732296
LAG3,0
LAMA1,0.15762373150550688
LAMC1,0.022786077993068442
LDB2,0.3504309725028516
LGALS1,0.06853918956518641
LGALS2,0.13586856498495492
LGMN,0
LILRB1,0.027341269841269843
LIPE,0.14481647700220016
LRP2,0.049236477265559644
LST1,0.031129732093668726
LTF,0.2909006077063806
LUM,0.0665857863778671
LYPD6B,0.09046136135324902
LYZ,0.4230555245388873
MAPK13,0.06353952455881968
MAPK3,0.2538839278256633
MDM2,0
MELK,0.04230067518159299
MIA,0
MKI67,0.030757435197721495
MLPH,0.05643650963019135
MMP11,0.06436363636363637
MMP12,0.12891080831043297
MMP9,0.10488479311722543
MS4A1,0.1248826361239068
MSR1,0.14954682047569054
MT2A,0.10045337805577098
MUC1,0.1863676157985101
MYB,0.2633813918011713
MYBL2,0.048646328767775505
MYC,0
MYL6,0
MYL9,0.0516810818806498
MYLK,0.04564655172413794
MYO10,0.04512518637281631
MYO5B,0.37517606267056247
MZB1,0.07222977851185114
NAT1,0.04660801894077285
NCAM1,0
NDC80,0
NDRG2,0.01454377153160115
NF1,0.14971832487528294
NFKBIA,0.08846054145902008
NKG7,0.0437483126831527
NOTCH1,0.037432436369890715
NR3C1,0.04397615395399734
NUF2,0.2575375717256899
OBP2B,0.20512714585324332
ORC6,0.05087093567420661
PABPC1,0.11430690569320073
PBK,0.05722696473507373
PDCD1,0.014332532154627271
PDPN,0.015021855056219096
PDZK1IP1,0.038460704736440025
PECAM1,0
PGR,0.053761322570664134
PHGDH,0.12479948916773757
PI3,0.13836324488958446
PIK3CA,0.7233420832385048
PLEK,0.13085085614962083
PLVAP,0.5272660760591814
POU2AF1,0.1133713095023487
PRLR,7.529411764705882e-4
PTEN,0.05705329155663924
PTPRB,0.320362785967692
PTPRC,0.15117978610256025
PTTG1,0.18168391557502742
RAMP2,0.33482998763987587
RB1,0.0313719172360124
RPL13,0.008333333333333333
RPL18,0.07765628389328534
RPSA,0.3005609690812562
RRM2,0
S100A14,0.254381241843826
S100A4,0
S100A8,0.03158018598188876
S100A9,0.12314706695068865
SDC1,0.035981077437755214
SFRP1,0.18364318084270825
SIAH2,0.07693205428300255
SKAP1,0.5075365040154178
SLC2A1,0.07792648516889934
SLC39A6,0.05564352793408741
SLPI,0.03502525252525253
SNAI2,0.08776109602709231
SOX10,0.05917788098210655
SOX18,0.15981812929228142
SOX4,0.05217748917748917
SPDEF,0.06483352792986477
SPP1,0.03139206967676039
STAT5A,0.05694737258654726
STMN1,0.034076183787359576
SULF1,0.24051993451346515
TAGLN,0.07983764477882688
TBX21,4.253731343283582e-4
TCF4,0.5353425577114287
TCL1A,0.0889836406381484
TFEC,0
TFF1,0.19930573624224457
TFF2,0.08715650523307639
TFF3,0.05888459066075457
TFRC,0.09016878622552577
THEMIS,0
THY1,0.43591301137626814
TIMP1,0.11893796643808548
TMEM45B,0.22424237279646028
TMSB10,0.39102928161292605
TMSB4X,0.013053349310734794
TP53,0.027151331323858184
TPM2,0.10960371675217641
TRAC,0
TRDC,0.029266917293233084
TSPAN1,0.037481352746131076
TTC6,0.14475196005453242
TTYH1,0.023232625598366252
TYMS,0.0667705371698231
UBE2C,0.05035944881156478
UBE2T,0.18511288604324863
VIM,0.044038894909738356
XBP1,0.14234835921587335
XCL1,0.521778406346708
ZEB1,0.04695252955762105
ZNF571,0.11778793754580998
