target,imp
ACTA2,0.06057250599728741
ACTG2,0.08995062718273662
ACTR3B,0.05324879847950617
ADGRL4,0
AGR2,0.07922325681115087
AHR,7.639731910846137e-4
AIF1,0
AKT1,0.06676147382029735
ALB,0
ALDH1A3,0
ANLN,0.015
AP1M2,0
APOC1,0.014311376020331244
APOE,0.0165
AR,0.04392094239855971
AURKA,0.001932796978641023
AZGP1,0.05947981602568959
B2M,0.07602479265425265
BAG1,0.042348537361987224
BANK1,0.04122447434051453
BCL2,0.07826539169824748
BGN,0.0598207360271174
BICC1,0
BIRC5,0.046013577579127676
BLVRA,0.019395251650414877
BRAF,0
C10orf54,0.009575596816976128
C1QA,0.06543581393225976
C1QB,0.05601770556151786
CALCRL,0.007352226720647774
CAPN13,0.14628544253377168
CCL2,0.0013333333333333342
CCL3,0.05612885184576247
CCL4,0.15238940176429847
CCL5,0
CCNB1,0.0254201658221315
CCND1,0.048319072035829885
CCNE1,0.07696327613478607
CCNE2,0.03965791563170375
CD14,4.166666666666667e-4
CD163,0.02940170079092292
CD19,0
CD2,0
CD24,0.051976286274835956
CD274,0
CD34,0
CD36,0.09784730977628936
CD38,0.043268696090747474
CD3D,0.012741622285067785
CD3E,0
CD3G,0.0030476190476190473
CD4,0.006363636363636364
CD40,0.003666984618540421
CD40LG,3.7500000000000006e-4
CD44,0
CD5,2.648862834500353e-4
CD63,0.0029836709065567623
CD68,0
CD69,0.037150018166787695
CD7,0.002807017543859649
CD74,0.16390896351490192
CD79A,0.008333333333333333
CD79B,0.015726870648959706
CD8A,0.031578947368421054
CD9,0
CD96,0.02844828343789498
CDC20,0.008333333333333333
CDC6,0
CDH1,0
CDH11,0.0887622493212219
CDH3,0
CDK4,0
CDK6,0.23850594255455934
CDK7,0
CDKN2A,0.020447873982673493
CEACAM1,0.09019368882758805
CENPF,0.0705360590942719
CEP55,0.006373846534307521
CLDN4,0
CLU,0
COBL,0
COL1A1,0.017777777777777778
COL1A2,0
COL3A1,0
COL4A2,0
COL4A5,0
CR2,0.0011519607843137256
CRABP2,0.08157759448258284
CSRP2,0.0370548849682776
CST3,0.07780511926952544
CSTB,0.048679564849781254
CTCF,0.07077537042627859
CTLA4,0
CTSL,0.023707812969246046
CXCR5,0.009744855543290886
CXXC5,0.042894672446241684
DCN,0.01747035044195826
DERL3,0
EFNA5,0.009316729736879265
EGFR,0.020375322350809414
EIF3E,0.025690325970728355
ELF5,0.036468516745310334
EPCAM,0.0036551724137931034
ERBB2,0.05827653275379856
ERBB3,0
ERBB4,0.010829612932895387
ESR1,0.005
FABP7,0.10184389955635278
FAP,0.030792855677680656
FASN,0
FAT1,0.05523807060471638
FCGR3A,0
FCN1,0
FCRL5,0.019402048428157008
FGFR1,0
FGFR2,0
FGFR4,0
FN1,0
FOS,0.0030882505266050645
FOXA1,0
FOXC1,0
FOXP3,0.026539853879255903
FTL,0.023551007012482316
FXYD3,0.0976269937678746
GATA3,0.1305264420755644
GNG11,0.04317831908590014
GNLY,0.09749906318577432
GPNMB,0
GPR160,0
GRB7,0.045206381954468196
GSN,0.11177758976644295
