target,imp
ACTA2,0.18782167054069737
ACTG2,0.4988661999880547
ACTR3B,1.1468054153626404
ADGRL4,0.1540934895541609
AGR2,0.35410587640690366
AHR,0.19150928501046569
AIF1,0.4646928142927977
AKT1,0.915365872890278
ALB,0.4464951707865719
ALDH1A3,0.30132689585639927
ANLN,0.39907358559407086
AP1M2,0.6202758193993243
APOC1,0.2328614972525194
APOE,0.13575328834725672
AR,0.49602410802669783
AURKA,0.43472165931822104
AZGP1,0.6320787453781963
B2M,0.26917424626865233
BAG1,0.5277687354580464
BANK1,0.40180861267373125
BCL2,0.34099827803326827
BGN,0.2181532708204239
BICC1,0.3097988635509767
BIRC5,0.3087807637200918
BLVRA,0.4094862601930944
BRAF,0.22488107611181596
C10orf54,0.36980282967280415
C1QA,0.2855207821261554
C1QB,0.7655369406605884
CALCRL,0.4189639241165044
CAPN13,0.4526782144052685
CCL2,0.4075985123112879
CCL3,0.7787367109321909
CCL4,0.7465615326555398
CCL5,0.6229327389936075
CCNB1,0.34776545883747445
CCND1,0.4541957072435812
CCNE1,0.306550903704983
CCNE2,0.6685815766769864
CD14,0.2860904266897772
CD163,0.3721609257991008
CD19,0.11129942789087673
CD2,0.22916676776909528
CD24,0.4705895181677465
CD274,0.27670709136378285
CD34,0.1862877916325803
CD36,0.5159246997752461
CD38,0.12667674315075486
CD3D,0.5871862309014285
CD3E,0.4969643263810323
CD3G,0.8022269901610131
CD4,0.8047177074152888
CD40,0.28770166478812753
CD40LG,1.126132064242975
CD44,0.7665901485082673
CD5,0.493412388201903
CD63,0.52871962116526106
CD68,0.2728272745769691
CD69,0.2674427028312401
CD7,0.10717897160861481
CD74,0.4963105652221792
CD79A,0.6264692182911664
CD79B,0.1285731691674334
CD8A,0.5653779797365639
CD9,0.613831333523996
CD96,0.7844826391893097
CDC20,0.2449906197557997
CDC6,0.5674136070429768
CDH1,0.48789836858184776
CDH11,0.16303691304803525
CDH3,0.7917494686725368
CDK4,0.5333367313450705
CDK6,0.2583487691390209
CDK7,0.24366953000574976
CDKN2A,1.778763199580897
CEACAM1,0.35834010337372824
CENPF,0.34329333651903454
CEP55,0.34555014276500906
CLDN4,0.7651319837075232
CLU,0.48089998866815903
COBL,0.3588807842474085
COL1A1,0.4330255596956974
COL1A2,0.3087246900440366
COL3A1,0.4105715666306222
COL4A1,0.3912407406142188
COL4A2,0.16716729968293628
COL4A5,0.23115741816763283
CR2,0.2197011713204614
CRABP2,1.067401033539821
CSRP2,0.3688135454004945
CST3,0.4990753144957773
CSTB,0.837031779822623
CTCF,0.3792874623247338
CTLA4,0.22041664475482492
CTSL,0.2766763626716823
CXCR5,0.20319910972017424
CXXC5,0.5156999343991793
DCN,0.5712211547374675
DERL3,0.48306579048863535
EFNA5,0.3374397069888105
EGFR,0.5310545632806962
EIF3E,0.1588029425510043
ELF5,0.7266474103515987
EPCAM,0.6415774887325586
ERBB2,0.22116666327621692
ERBB3,0.3166611959837571
ERBB4,0.5173377169682184
ESR1,0.36758563343927014
FABP7,0.46658193488435834
FAP,0.2548153982545051
FASN,0.2925341974369672
FAT1,0.11744699935038026
FCGR3A,0.3261011695025311
FCN1,0.5737913662930962
FCRL5,0.22593930186979805
FGFR1,0.3352468559081504
FGFR2,0.5629780380896495
FGFR4,0.24476015813216992
FN1,0.46885849855735573
FOS,0.3506894961616079
FOXA1,0.33997352356225363
FOXC1,0.36984561961566803
FOXP3,0.6100766083167156
FTL,0.429543035456087
FXYD3,0.5743013410500079
GATA3,0.3205537945332253
GNG11,0.6245496994753313
GNLY,0.6851062751042211
GPNMB,0.4676511600199993
GPR160,0.4807802731080333
