target,imp
ACTA2,0.057332993753578455
ACTG2,0.013986013986013986
ACTR3B,0
ADGRL4,0.033159549347753586
AGR2,0.03351010101010101
AHR,0.26178186714352636
AIF1,0.008888888888888889
AKT1,0.0549504781114783
ALB,0.03299068578337274
ALDH1A3,0.09727420614088512
ANLN,0.009674567781727948
AP1M2,0.020027998886997495
APOC1,0.05704595163544166
APOE,0
AR,0.2699410075502621
AURKA,0.01896103896103896
AZGP1,0.09473786802741067
B2M,0.05776439926244021
BAG1,0
BANK1,0.013646363972510385
BCL2,0.080502469467876
BGN,0.0730299271747184
BICC1,0
BIRC5,0.10235886784267018
BLVRA,0.0670004234442948
BRAF,0.10725366426235296
C10orf54,0.041772629967650785
C1QA,0.20510071798483057
C1QB,0.016093859811205768
CALCRL,0.07684481916192977
CAPN13,0.11528362249292798
CCL2,0.06658763338791447
CCL3,0.0477313464537575
CCL4,0.06326604529567775
CCL5,0
CCNB1,0.0631460558865786
CCND1,0
CCNE1,0.016873290643782447
CCNE2,0.13832995729727218
CD14,0.28750683158526025
CD163,0
CD19,0
CD2,0
CD24,0.09331620320032082
CD274,0.06636847898001058
CD34,0
CD36,0.0490967883860708
CD38,0.2841124026616704
CD3D,0.0027390912175615117
CD3E,0.047650778062731075
CD3G,0.060356823218095164
CD4,0.023144788849594346
CD40,0.05559262317317157
CD40LG,0.053004534244163584
CD44,0.09912405359429964
CD5,0.12807936420403682
CD63,0.07633446031576988
CD68,0.023464720008174945
CD69,0.10897820353649194
CD7,0.04178571428571429
CD74,0.03463532117190529
CD79A,0.03659077723536844
CD79B,0.07001321088333391
CD8A,0.07545130668301028
CD9,0.004
CD96,0.10392416213775196
CDC20,0.16172114234771418
CDC6,0.22530159747860845
CDH1,0
CDH11,0.14606101288828255
CDH3,0.1059652925321595
CDK4,0.1780453811769952
CDK6,0.11506960341158277
CDK7,0.06328985478154453
CDKN2A,0.13209203459552676
CEACAM1,0
CENPF,0.191518285231569
CEP55,0.02470900824097755
CLDN4,0
CLU,0.01180759686386076
COBL,0
COL1A1,0.08401181584365448
COL1A2,0.02194104595138204
COL3A1,0.06818240437343576
COL4A1,0.028269180820614147
COL4A2,0.07290822569239495
COL4A5,0
CR2,0
CRABP2,0.20655045362980448
CSRP2,0.16097633851006307
CST3,0.14310328459602872
CSTB,0.13699921787993313
CTCF,0.09173425379566363
CTLA4,0.02347934295531587
CTSL,0.09615944181573532
CXCR5,0.058036219917463515
CXXC5,0.020017278043593833
DCN,0
DERL3,0.04507634231495174
EFNA5,0.2558682360430603
EGFR,0
EIF3E,0.1882848788927263
ELF5,0.13459590487282352
EPCAM,0.04412298645029258
ERBB2,0.3747857163755238
ERBB3,0.11667283754792686
ERBB4,0.04756369314467765
ESR1,0.018335601790651756
FABP7,0.30437432370966866
FAP,0.0932907899039322
FASN,0.07630223824173925
FAT1,0.21923648769016352
FCGR3A,0.014819974778308112
FCN1,0.03781730769230769
FCRL5,0.09181844383371333
FGFR1,0
FGFR2,0.18144952682564783
FGFR4,0.07940554675304128
FN1,0
FOS,0.3144085455042833
FOXA1,0
FOXC1,0.055313531241194695
FOXP3,0.013866454844804895
FTL,0.12691474353702795
FXYD3,0
GATA3,0.19770157246328243
GNG11,0.0253013113447409
GNLY,0.0783089980816854
GPNMB,0.09650246521033895
GPR160,0
GRB7,0.17857944587193963
GSN,0.07561763662860217
GZMB,0.070195631819885
HIF1A,0.22076588073512407
HLA.A,0.02820399791508282
HLA.B,0
HLA.C,0.15796370192786116
HLA.DPA1,0.21966320021026828
HLA.DRA,0.058703137818526825
HLA.DRB1,0.09492957233616899
HLA.DRB5,0.02425792518249165
HLA.E,0.20986323304343354
HSPB1,0
HSPG2,0
ICAM1,0.061721011377725184
ICOS,0
IFITM3,0.21344547508372824
IGF1R,0.2973145183106729
IGFBP5,0.5427312561909338
IGHG1,0.1479704272094444
IGHG4,0.008333333333333333
IGHM,0.36788969542208017
IGKC,0.19785026583766552
IL2RA,0.08771012146516671
IL32,0.10861826079620637
IL3RA,0.02856892573714217
IL7R,0.09202255010549748
ISG15,0
ISG20,0.18074869691509016
ITGA6,0.13722107406588824
ITGAX,0.08990254782651115
JUN,0.04421728555024679
JUNB,0.040758473770161785
KIF23,0.14602397629462685
KIT,0.09970717840316431
KRAS,0.13081716028301255
KRT10,0.05252827637934395
KRT14,0.22254962593916247
KRT15,0.06378608222568272
KRT17,0.0019693161641757594
KRT18,0
KRT19,0.14860807036986146
KRT5,0.020805049887162273
KRT7,0.04363467884423356
KRT8,0.2529750143223388
LAG3,0
LAMA1,0.10562918927036191
LAMC1,0.15718989613658624
LDB2,0.10165391474060886
LGALS1,0.024772727272727276
LGALS2,0.09563914218325173
LGMN,0.0886306933406974
LILRB1,0.037048723915817955
LIPE,0
LRP2,0.10287797636710679
LST1,0.06018063513551552
LTF,0.30323837120552566
LUM,0.2402319777699979
LYPD6B,0.29643758808350174
LYZ,0.4571851675745077
MAPK13,0.11405179856973618
MAPK3,0.026161427919861775
MDM2,0.08534891979344117
MELK,0.022238752808373063
MIA,0
MKI67,0
MLPH,0.17667676026589468
MMP11,0.07907845449448934
MMP12,0.20012314847252133
MMP9,0.10502157801917793
MS4A1,0.2785284995126165
MSR1,0.20853121368589037
MT2A,0.15892041441127455
MUC1,0.16376641577326595
MYB,0.22689969847829372
MYBL2,0
MYC,0.035099273803549685
MYL6,0
MYL9,0.031175647969529034
MYLK,0.15004902239125914
MYO10,0.07090603297649195
MYO5B,0.22338385875293976
MZB1,0.1321991908593745
"NAT1",0.009601801801801802
NCAM1,0
NDC80,0.03939547854185946
NDRG2,0.1260285092498417
NF1,0.09792397984488091
NFKBIA,0.025732370279102624
NKG7,0.09161896202669606
NOTCH1,0.17920764134558678
NR3C1,0.07270090140121889
NUF2,0.2806039527657828
OBP2B,0.10631287305058174
ORC6,0.0936266119101072
PABPC1,0.094376143563046
PBK,0.025754079254079253
PDCD1,0.03079424977538185
PDPN,0.008377170582226761
PECAM1,0
PGR,0.03190422181729363
PHGDH,0.03747354440294741
PI3,0.1661616750444627
PIK3CA,0.1346605124676224
PLEK,0.0979504739079788
PLVAP,0.18741142482231915
POU2AF1,0.17503523289118975
PRLR,0.08261149054230721
PTEN,0.052401738167854844
PTPRB,0.1026438644523633
PTPRC,0.3681408712607639
PTTG1,0
RAMP2,0.47595054140756515
RB1,0.030066792366834186
RPL13,0.08318567694433905
RPL18,0.03388178565720122
RPSA,0
RRM2,0
S100A14,0.16145977719678217
S100A4,0
S100A8,0
S100A9,0.10926090538573204
SDC1,0.16880184040295654
SFRP1,0.11166872304745339
SIAH2,0.025485252943445422
SKAP1,0.24086591007467612
SLC2A1,0.09016819929939544
SLC39A6,0.09171851747858714
SLPI,0.013724023291215548
SNAI2,0.07629869228429749
SOX10,0.1449682450831163
SOX18,0.011278195488721806
SOX4,0.025957300746609895
SPDEF,0.05775135156557161
SPP1,0.11998525383453287
STAT5A,0.10455718442303821
STMN1,0
SULF1,0.04527062359432696
TAGLN,0.1921595108509533
TBX21,0.02994281286963937
TCF4,0.3121149316547261
TCL1A,0.09533474037668757
TFEC,0.032650570155575626
TFF1,0.05293610333538287
TFF2,0.05369374802586466
TFF3,0.1678014177918679
TFRC,0.06316097808142622
THEMIS,0.014693190321495499
THY1,0.13233813504699327
TIMP1,0.013333333333333334
TMEM45B,0.4240802602331481
TMSB10,0.20203416812726097
TMSB4X,0.15103276980366062
TP53,0.032187812187812186
TPM2,0.17072590097197435
TRAC,0.02666666666666667
TRDC,0.1760863724682439
TSPAN1,0.08236734980990593
TTC6,0.21294184681082176
TTYH1,0
TYMS,0.060900184189639474
UBE2C,0
UBE2T,0.31196556593511654
VIM,0.13706640755553953
XBP1,0.08426809700574298
XCL1,0.2445319598236815
ZEB1,0
ZNF571,0
