target,imp
ACTA2,0.13291002025841142
ACTG2,0.0655362191659084
ACTR3B,0
ADGRL4,0
AGR2,0.00790513833992095
AHR,0.1700290699717907
AIF1,0
AKT1,0.03617976426677671
ALB,0
ALDH1A3,0.004308863616088959
ANLN,0.014257143660047968
AP1M2,0.06241507133307713
APOC1,0.009883466258661383
APOE,0.1272326031118697
AR,0.10387392630205547
AURKA,0.04830135896772576
AZGP1,0.11094634544852705
B2M,0.009444444444444445
BAG1,0
BANK1,0.1350511216333824
BCL2,0.04602588211154157
BGN,0.1414699765195455
BICC1,0.13781285138727273
BIRC5,0.19202933302727485
BLVRA,0
BRAF,0.13909613488649503
C10orf54,0
C1QA,0.12665102155149055
C1QB,0.034894580177024966
CALCRL,0
CAPN13,0.029898015659423377
CCL2,0.019594202898550725
CCL3,3.286220022039105e-4
CCL4,0.04897701914631363
CCL5,0
CCNB1,0.004
CCND1,0.017220446220446224
CCNE1,0.0030904977375565616
CCNE2,0.029521244199121045
CD14,0.01129052986268363
CD163,0.044040591341017905
CD19,0
CD2,0.05720861583243789
CD24,0.09272728942438706
CD274,0
CD34,0.017639218668874537
CD36,0.06746444216136303
CD38,0.02715438454083289
CD3D,0.04612775613125989
CD3E,0.012403593680462838
CD3G,0.13187459902473223
CD4,0.055176189158803055
CD40,0.04232946806887327
CD40LG,0.1531581079372926
CD44,0.1556024534635817
CD5,0.019195934500282327
CD63,0.04531727893287419
CD68,0
CD69,0.09661891299860083
CD7,0.21266338568142074
CD74,0.011068142228798063
CD79A,0
CD79B,0.0681523942946101
CD8A,0.2578059919864533
CD9,0.2540759851772298
CD96,0.07762489754681108
CDC20,0.03518261373854287
CDC6,3.9820806371329046e-5
CDH1,0
CDH11,4.604463249230739e-4
CDH3,0.171834584507285
CDK4,0.01916428601047933
CDK6,0.0751893511271381
CDK7,0.01873611784195022
CDKN2A,0.06232010273811822
CEACAM1,0
CENPF,0.008333333333333333
CEP55,0.035096951435178284
CLDN4,0.025451948051948056
CLU,0
COBL,0
COL1A1,0
COL1A2,0.2650386420939223
COL3A1,0.05415504546463674
COL4A1,0
COL4A2,0.03304071000242555
COL4A5,0
CR2,0.05726692414840488
CRABP2,0.22888457568087692
CSRP2,0.30228422211543515
CST3,0.10918942397033883
CSTB,0.07719049761059407
CTCF,0.03139285714285714
CTLA4,0.028966167403600557
CTSL,0.06615266445373978
CXCR5,0.2838206675870063
CXXC5,0.03392848274301846
DCN,0.14734969608771034
DERL3,0
EFNA5,0.04923325711990697
EGFR,0.08716947933148558
EIF3E,0.14091402230578376
ELF5,0.05608857832059221
EPCAM,0.007228254408559541
ERBB2,0.029751907341884123
ERBB3,0.010397155036289301
ERBB4,0.03854305150792045
ESR1,0.005333333333333337
FABP7,0.0796961371904386
FAP,0.16825782914084075
FASN,0
FAT1,0.10148029114957226
FCGR3A,0.033010752688172045
FCN1,0
FCRL5,0.025341021293499376
FGFR1,0
FGFR2,0.037986437611046864
FGFR4,0.01435598377281947
FN1,0
FOS,0.034921598021445475
FOXA1,0.048602325159506965
FOXC1,0
FOXP3,0.25257855783280686
FTL,0.3226158867122759
FXYD3,0
GATA3,0.20105791194433362
GNG11,0.10131092095372934
GNLY,0.09531721616783771
GPNMB,0.006894025546372673
GPR160,0.06845144596034503
GRB7,0.02622456389634112
GSN,0.06197569556233358
GZMB,0.13915560647831854
HIF1A,0.20160454494487928
HLA.A,0.055024263195328514
HLA.B,0.22135960105026634
HLA.C,0.049989029907061944
HLA.DPA1,0.026028269823346193
HLA.DRA,0.01956521739130435
HLA.DRB1,0
HLA.DRB5,0.07451326470549038
HLA.E,2.0140445873344904e-4
HSPB1,0
