target,imp
ACTA2,2.729829587167551
ACTG2,2.450921534003607
ACTR3B,2.3750453783351144
ADGRL4,2.207911972743994
AGR2,1.629564898001996
AHR,1.9376873907655596
AIF1,3.8472074680865274
AKT1,2.059496203784777
ALB,2.2591290565160045
ALDH1A3,2.9702021886693535
ANLN,2.2068699970467485
AP1M2,1.559428102029375
APOC1,2.275009299980888
APOE,1.5618535082660108
AR,1.6488592824932524
AURKA,1.7374747704291076
AZGP1,2.276072406823814
B2M,1.9918455560031603
BAG1,1.941489524012941
BANK1,4.883151012219725
BCL2,2.6893377624617743
BGN,2.027942858559506
BICC1,3.202903126943793
BIRC5,2.3761819870193914
BLVRA,1.8374999650841872
BRAF,1.3391986972327785
C10orf54,1.849290446431778
C1QA,1.660616317925526
C1QB,2.163694110324449
CALCRL,2.1542503476163564
CAPN13,2.36968983744629
CCL2,2.765057172325254
CCL3,3.6638265713184914
CCL4,1.166329598438887
CCL5,1.6674276165500443
CCNB1,2.807816058965607
CCND1,2.048670699986205
CCNE1,1.2656010812239022
CCNE2,1.3587964090817366
CD14,1.383133998706784
CD163,7.555916608342709
CD19,3.0806563861519134
CD2,2.5137994822767893
CD24,1.9904769012863404
CD274,2.6459036614210696
CD34,2.2960636228679125
CD36,3.4614762505095724
CD38,0.8228162092944143
CD3D,1.502274900793093
CD3E,1.3287440768387049
CD3G,1.7705634186657777
CD4,3.200157947372824
CD40,1.4798651894077444
CD40LG,1.906449093573957
CD44,2.8720688531735266
CD5,1.0669818227586731
CD63,3.3309074546514763
CD68,3.665998406718157
CD69,2.0689235055804316
CD7,0.9025033612228073
CD74,2.8706915451870634
CD79A,2.201809616426889
CD79B,2.4391575488438177
CD8A,1.6275245346592804
CD9,3.1297314598679056
CD96,2.748551359943499
CDC20,1.886358084771213
CDC6,1.6355478748994867
CDH1,5.36523685273421
CDH11,2.30870501266326
CDH3,1.5199160335839175
CDK4,2.337504733122494
CDK6,1.4846798158588528
CDK7,1.249785252356735
