target,imp
ACTA2,187.08789573219315
ACTG2,75.04508348562437
ACTR3B,249.90536625185075
ADGRL4,113.42840423130019
AGR2,521.1116796432527
AHR,206.40250713896646
AIF1,73.07916836845897
AKT1,412.1854772267751
ALDH1A3,89.49625454513377
ANLN,280.1229643745148
AP1M2,355.4201921726566
APOC1,911.494767019507
APOE,585.5389518309063
AR,211.12652919147357
AURKA,419.57701903141293
AZGP1,894.1392899101038
B2M,984.0255690436875
BAG1,459.96609856427233
BANK1,129.1815308425818
BCL2,388.46499116033533
BGN,416.2474341185022
BICC1,127.58293933107267
BIRC5,193.84557961614775
BLVRA,574.115501297953
BRAF,151.71793960427624
C1QA,180.16589740979063
C1QB,137.5290915208935
CALCRL,114.5412603538248
CCL2,82.66196738683259
CCL3,223.2685205613478
CCL4,126.70307302248474
CCL5,122.88239203761746
CCNB1,271.74770218170727
CCND1,921.6815399395372
CCNE1,162.8350904178923
CCNE2,113.83612874802799
CD14,129.44119864098005
CD163,229.52725816867942
CD19,74.92034508785022
CD2,81.89398883122561
CD24,104.3763433308794
CD274,106.99195531546276
CD34,159.57065934537485
CD36,172.65198123687188
CD38,90.84529206365474
CD3D,100.1551766376214
CD3E,119.3349671890373
CD3G,128.0345883679477
CD4,88.73502247328427
CD40,135.4327987172893
CD40LG,87.7401754321118
CD44,135.90093111685349
CD5,94.1595404469915
CD63,666.6573354333285
CD68,174.98377551197697
CD69,204.0658471145585
CD7,98.97964587776237
CD74,425.34967787021895
CD79A,59.696809251552665
CD79B,133.32423193633812
CD8A,149.37337225404445
CD9,235.99270423354366
CD96,87.98749203059425
CDC20,249.57019037956638
CDC6,157.12001168481322
CDH1,1388.2808966086986
CDH11,63.41086023210567
CDH3,56.811629967258924
CDK4,416.32536867075964
CDK6,106.72040489313837
CDK7,297.5849544538334
CDKN2A,256.3508329969437
CEACAM1,233.25036139055607
CENPF,231.46229757129612
CEP55,231.87825866188913
CLDN4,165.1431535738506
CLU,338.88828530943846
COBL,500.40093826304053
COL1A1,320.0598346502655
COL1A2,306.07237556299253
COL3A1,213.84896555234297
COL4A1,320.1391797067421
COL4A2,193.90156454125474
COL4A5,158.21410051737283
CR2,110.68073728219044
CRABP2,765.4356117427993
CSRP2,79.59818715063679
CST3,243.02983704749246
CSTB,155.19224221048015
CTCF,623.4201836585089
CTLA4,109.79201302470855
CTSL,385.96330893342224
CXCR5,64.8977562962039
CXXC5,327.82102470433165
DCN,90.7976587970743
DERL3,147.8230930785459
EFNA5,78.6540164880753
EGFR,230.7502724926866
EIF3E,284.19497675281343
ELF5,135.8250678136006
EPCAM,1320.7629993266878
ERBB2,314.3427763471269
ERBB3,613.1108473717436
ERBB4,122.52756858878439
ESR1,569.4845830697709
FABP7,154.63513676911543
FAP,120.37754612630158
FASN,1071.3068709125985
FAT1,215.18950031274727
FCGR3A,236.12512560055998
FCN1,105.16700182479026
FCRL5,69.58876661831195
FGFR1,2182.7401048907996
FGFR2,146.68238375381233
FGFR4,195.14507233107545
FN1,629.532348248629
FOS,196.78298249851116
FOXA1,1203.0353276012206
FOXC1,127.95716659596806
FOXP3,276.352701597749
FXYD3,642.3270931911305
GATA3,1513.9010890281174
GNG11,87.95513227336873
GNLY,135.998768164519
GPNMB,108.0978407441792
GPR160,112.55787375954286
GRB7,131.2392121512715
GSN,425.65976700068984
GZMB,101.08016946945028
HIF1A,273.2353678799764
HLA.A,266.7065170980466
HLA.B,387.12519489634275
HLA.C,243.5379744993931
HLA.DPA1,157.2923263132637
HLA.DRA,309.2967446242476
HLA.DRB1,205.59778569130148
HLA.DRB5,206.57708093421567
HLA.E,517.2509738742256
HSPB1,1117.128785410654
HSPG2,114.74021820606112
ICAM1,172.16458985315504
ICOS,126.64817697343845
IFITM3,325.3245852230019
IGF1R,977.898913227636
IGFBP5,184.28306374927612
IL2RA,158.02297793174648
IL32,392.37683062106
IL3RA,115.00505018173538
IL7R,123.27034025210592
ISG15,437.37788924865055
ISG20,361.65568712432355
ITGA6,890.7665792154016
ITGAX,171.43238056547358
JUN,702.4571319012414
JUNB,470.85235705000593
KIF23,208.5741092834939
KIT,49.9382467215915
KRAS,188.02834585115133
KRT10,113.84618522513215
KRT14,94.08368031060458
KRT15,102.9431283401926
KRT17,48.56311644739061
KRT18,848.8609571917209
KRT19,1981.1227118635975
KRT5,183.87835398685263
KRT7,70.97720628137382
KRT8,980.9260090115154
LAG3,178.73324346610204
LAMA1,115.27931261479478
LAMC1,274.0440491081558
LDB2,137.59326945646862
LGALS1,520.2178633337365
LGALS2,99.94835966299908
LGMN,496.7257412706809
LILRB1,68.78202577225493
LRP2,286.1286459358638
LST1,82.95152900722543
LTF,60.61315936893666
LUM,132.84179634476757
LYPD6B,152.53783628956526
LYZ,343.3638038267132
MAPK13,673.2974354681719
MAPK3,204.13155341952512
MDM2,267.95361347213185
MELK,243.15370566730564
MIA,101.67424750013618
MKI67,346.152487478306
MLPH,1589.4862971198143
MMP11,108.06783365124252
MMP12,67.92564130092177
MMP9,91.53454826006738
MS4A1,112.79514205670935
MSR1,120.78374378256545
MT2A,204.53900695760186
MUC1,342.4208307397028
MYB,397.4038416399533
MYBL2,494.3562567414917
MYC,318.28141673421914
MYL6,836.7973807395788
MYL9,175.4592837063406
MYLK,266.4227013680531
MYO10,137.05774185182344
MYO5B,238.13104763841568
MZB1,540.3376822546443
"NAT1",137.47340647289565
NCAM1,119.37779037285004
NDC80,194.5578308053296
NDRG2,278.847918526043
NF1,363.25184779414684
NFKBIA,361.7447322639788
NKG7,78.54776546868322
NOTCH1,88.92672024070713
NR3C1,179.68084509785953
NUF2,171.1423236455335
OBP2B,127.75726444044194
ORC6,272.34077684103477
PABPC1,763.1806378362176
PBK,178.0338649596315
PDCD1,125.34515876120646
PDPN,47.85006857875906
PDZK1IP1,202.8755220305908
PECAM1,83.8133323200809
PGR,60.1515479454889
PHGDH,175.54168349200162
PI3,77.74666081000362
PIK3CA,264.1996701341601
PLEK,85.51965092844277
PLVAP,242.0686108432857
POU2AF1,109.65810808373341
PRLR,442.0075771794955
PTEN,198.13365206691188
PTPRB,67.17785626684822
PTPRC,91.79903928359049
PTTG1,215.81073340697344
RAMP2,106.0848029710057
RB1,240.7199241514809
RPL13,281.8000993639357
RPL18,247.58651879737695
RPSA,470.6184015357914
RRM2,195.51739021047422
S100A14,437.19510949231653
S100A4,239.32700711094708
S100A8,96.88577240649929
S100A9,51.86865880013413
SDC1,492.9600229961145
SFRP1,52.835820901135115
SIAH2,504.0738406568024
SKAP1,431.40925860292424
SLC2A1,384.18646695513877
SLC39A6,535.2196460127984
SLPI,253.8091761923909
SNAI2,113.01111190395564
SOX10,122.13032859593426
SOX18,83.68410317481303
SOX4,979.1842757844249
SPDEF,637.8036344254255
SPP1,114.22486998622622
STAT5A,155.34398667315511
STMN1,815.4822302742518
SULF1,151.16912318062117
TAGLN,279.890801204546
TBX21,139.10715987110197
TCF4,163.76620280971576
TCL1A,79.21192401841533
TFEC,91.68625686415068
TFF1,1154.0260874451747
TFF2,203.49329657290113
TFF3,320.81660543721506
TFRC,279.93277409297684
THEMIS,139.31510281186556
THY1,160.2115379901222
TIMP1,528.5549378900953
TMEM45B,231.0873556183155
TMSB10,925.9010287909518
TP53,368.6381917519345
TPM2,166.4461184258165
TRAC,150.61734043597644
TRDC,76.41543557309797
TSPAN1,292.7216336731115
TTC6,438.1473612665034
TTYH1,98.09526834427115
TYMS,739.2099976819304
UBE2C,155.3019958008322
UBE2T,383.38206121763994
VIM,642.1627379330577
VSIR,103.31296953912062
XBP1,886.9825892611167
XCL1,122.8350130567049
ZEB1,229.38688099693528
ZNF571,233.19604078300026
