target,imp
ACTA2,501.56514033480306
ACTG2,263.18474084297276
ACTR3B,575.4561705969741
ADGRL4,304.53317278889403
AGR2,676.6670972000403
AHR,523.065592556272
AIF1,393.708085935527
AKT1,950.8446116512084
ALDH1A3,294.578645149906
ANLN,496.43055895073354
AP1M2,377.4749190719254
APOC1,1083.3476031541813
APOE,986.7312290597315
AR,1045.7670366199106
AURKA,682.9800713771787
AZGP1,1105.1051024492788
B2M,1303.6368667291413
BAG1,1087.4330926194875
BANK1,276.41601460116107
BCL2,416.0851012737457
BGN,933.6172844364967
BICC1,234.77506179605749
BIRC5,343.2331485492497
BLVRA,579.8128309784626
BRAF,298.0023153757208
C1QA,719.3009670201651
C1QB,667.3811097366923
CALCRL,338.6486672919059
CAPN13,439.63351410279733
CCL2,257.50259544115715
CCL3,453.9111779307009
CCL4,251.18502367259657
CCL5,298.5552328530366
CCNB1,586.700699563778
CCND1,1237.648216647087
CCNE1,355.59202332423536
CCNE2,285.23230850769113
CD14,823.114525107562
CD163,737.0813403559681
CD19,268.5851793840267
CD2,329.1976721058402
CD24,480.4961566588374
CD274,342.369776758835
CD34,471.4811006292337
CD36,560.6838605494007
CD38,230.6799545934734
CD3D,362.76457964638
CD3E,304.09719463825917
CD3G,403.8930313679046
CD4,495.5546653134233
CD40,496.2824020354008
CD40LG,411.0940757979845
CD44,380.803282178317
CD5,307.71712456296405
CD63,1170.8056213087036
CD68,553.3965966180958
CD69,275.9081719966855
CD7,304.8765489250554
CD74,1082.7189674198626
CD79A,253.49915663656483
CD79B,300.68367103512776
CD8A,350.71655179250416
CD9,565.5275726577426
CD96,248.586883854181
CDC20,366.13985955611184
CDC6,340.45130374401697
CDH1,960.8955729048748
CDH11,229.98706807442278
CDH3,169.98255202258886
CDK4,926.0534631790948
CDK6,394.2214750022368
CDK7,677.507546496532
CDKN2A,421.4558259899157
CEACAM1,824.3037901918252
CENPF,428.5099030181281
CEP55,545.1075103251409
CLDN4,344.7171254514094
CLU,1120.1350231079193
COBL,813.8680043741213
COL1A1,753.3749776028761
