target,imp
ACTA2,171.03508244320244
ACTG2,47.96570918201539
ACTR3B,147.61253404571718
ADGRL4,89.64163385174105
AGR2,191.23468541209328
AHR,134.5324685558129
AIF1,155.7342283864817
AKT1,227.7898482923518
ALDH1A3,116.7215343922317
ANLN,160.90320557296212
AP1M2,83.05311129994911
APOC1,550.364030012312
APOE,511.33550880858746
AR,176.41578467587146
AURKA,144.6260287157478
AZGP1,549.5987133713098
B2M,584.9957072379578
BAG1,317.5659533980357
BANK1,98.39645227145171
BCL2,127.5868411048295
BGN,465.29806665799936
BICC1,83.09063553697929
BIRC5,96.79170371898843
BLVRA,187.2025609959545
BRAF,93.0703564182293
C1QA,679.2008556677159
C1QB,620.6908710818894
CALCRL,73.09132726402525
CAPN13,89.10304117334887
CCL2,67.33035791857972
CCL3,262.508430724805
CCL4,153.64023817358054
CCL5,109.10245996239092
CCNB1,171.20460342866417
CCND1,542.3530685833333
CCNE1,117.82628269531538
CCNE2,68.78922013025715
CD14,237.33448059214933
CD163,1134.4466336931905
CD19,77.76284400367834
CD2,178.7851847054878
CD24,99.27614712487456
CD274,135.59717443736577
CD34,157.02733813188792
CD36,195.66470111342394
CD38,34.54694139554357
CD3D,118.07945475755291
CD3E,131.25554130146952
CD3G,148.73635644764042
CD4,267.2565984408788
CD40,265.06160165428065
CD40LG,76.85278545840536
CD44,143.4987428740516
CD5,86.12232820652332
CD63,387.8061407263631
CD68,193.54715753491217
CD69,120.08805638787129
CD7,89.84751429910222
CD74,1262.441797542824
CD79A,86.2334276290489
CD79B,52.54172819189698
CD8A,58.29252034181257
CD9,121.97553865900544
CD96,105.3778430155906
CDC20,77.35642659608601
CDC6,83.2148718557111
CDH1,392.7627969829132
CDH11,36.87430645773148
CDH3,65.73964934325963
CDK4,188.09724410250215
CDK6,98.22237439814828
CDK7,160.81543498542553
CDKN2A,121.84961601908437
CEACAM1,173.08476621123322
CENPF,168.79568436446564
CEP55,105.20497527281279
CLDN4,84.03908653723516
CLU,333.0579903241822
COBL,199.39596670110328
COL1A1,336.62172321767486
COL1A2,328.03360391524967
COL3A1,370.4526524097159
COL4A1,320.14560976753125
COL4A2,284.96132295290585
COL4A5,68.73330977325868
CR2,29.038985327994027
CRABP2,136.37349482781698
CSRP2,217.57422088536873
CST3,224.84412265035243
CSTB,134.654113798313
CTCF,199.6339371791184
CTLA4,42.79241416831549
CTSL,205.69930366870395
CXCR5,47.61526823097085
CXXC5,162.95069192143444
DCN,135.80007079682318
DERL3,159.4933655096783
EFNA5,65.61851545432141
EGFR,200.61515860913255
EIF3E,235.01073711037213
ELF5,79.7313880978287
EPCAM,345.54880350799357
ERBB2,140.31723334855917
ERBB3,245.9960121299551
ERBB4,108.38869370143904
ESR1,125.68302340746041
FABP7,129.15937194778908
FAP,81.02796126368571
FASN,329.33279561398297
FAT1,98.33426050021204
FCGR3A,396.16108709983183
FCN1,302.0171273012068
FCRL5,76.54723274876397
FGFR1,318.9755843284422
FGFR2,173.97503246473806
FGFR4,191.95596428221276
FN1,531.8077705841202
FOS,365.6455130725678
FOXA1,382.9107214371977
FOXC1,115.97558032232544
FOXP3,122.18497002926323
FXYD3,136.97166510543278
GATA3,255.9183889359152
GNG11,92.40286040224187
GNLY,129.9721752876282
GPNMB,172.6072783052412
GPR160,95.30129586419385
GRB7,77.41693665038693
GSN,133.72954021029716
GZMB,119.83612541999106
HIF1A,212.17101168342796
HLA.A,186.48901060656192
HLA.B,416.4088470506473
HLA.C,232.19647324272228
HLA.DPA1,583.5480156653458
HLA.DRA,747.5323024192908
HLA.DRB1,334.92676842438755
HLA.DRB5,589.1440899525243
HLA.E,536.9232684084074
HSPB1,491.20943928202354
HSPG2,119.05397551743594
ICAM1,151.53071303901362
ICOS,92.87817201116171
IFITM3,435.5678065858307
IGF1R,135.43836148413814
IGFBP5,214.9990072218301
IL2RA,97.87739397995475
IL32,413.3795530258797
IL3RA,75.56093125102394
IL7R,138.68459178432965
ISG15,443.6601536454977
ISG20,114.68183119813082
ITGA6,236.74313684022658
ITGAX,812.1105013013033
JUN,362.03283288923564
JUNB,425.7596566261155
KIF23,94.99788567662958
KIT,54.37775625014489
KRAS,113.5401579420495
KRT10,44.56273800224898
KRT14,61.379435358127985
KRT15,57.00638754184982
KRT17,28.788903665054658
KRT18,481.6079881279291
KRT19,424.80320021512824
KRT5,100.54537190787454
KRT7,112.07460874467708
KRT8,601.8484429002219
LAG3,100.32623489279766
LAMA1,74.5744960764362
LAMC1,168.8869169614375
LDB2,197.6959502738277
LGALS1,401.0803851197395
LGALS2,146.8525101867666
LGMN,440.39599951803365
LILRB1,328.4642194823069
LRP2,125.04854164172593
LST1,226.26971948865264
LTF,80.16460624928838
LUM,149.5335955415562
LYPD6B,107.27735691698561
LYZ,554.0019330326161
MAPK13,202.59247310775288
MAPK3,163.16983263234587
MDM2,150.5202106741823
MELK,150.85037203583693
MIA,75.98452080050075
MKI67,118.78135515111624
MLPH,131.38080459983536
MMP11,80.4133115543031
MMP12,72.18281342354571
MMP9,41.49388481617736
MS4A1,74.63263818398599
MSR1,319.448820539731
MT2A,213.3954956067047
MUC1,142.16964228099292
MYB,77.15559374289847
MYBL2,168.91262932189235
MYC,222.89252097502668
MYL6,427.7668738310056
MYL9,188.14950086353895
MYLK,350.61603808954635
MYO10,95.22692716208849
MYO5B,142.84570361506206
MZB1,122.06798882148523
"NAT1",74.32790163649041
NCAM1,105.06858336461788
NDC80,78.80946248854947
NDRG2,355.5993427662346
NF1,199.46824689546466
NFKBIA,265.7153494334439
NKG7,236.26507045414004
NOTCH1,148.09136673245382
NR3C1,167.63283544811648
NUF2,123.40947733359098
OBP2B,87.47671882580342
ORC6,95.50602285769197
PABPC1,525.5903713653435
PBK,131.43498757033822
PDCD1,73.52750111943314
PDPN,34.39623602344701
PDZK1IP1,161.7430441831186
PECAM1,134.6234736868185
PGR,67.38013184503934
PHGDH,223.68662024704997
PI3,34.96937699842452
PIK3CA,150.2923232490399
PLVAP,173.3288894242166
POU2AF1,107.27916924919592
PRLR,214.87183536705214
PTEN,71.15532606953484
PTPRB,91.04223799102525
PTPRC,193.75703259178715
PTTG1,113.07252201056944
RAMP2,99.52134063281527
RB1,157.24943763876806
RPL13,192.28972220619056
RPL18,149.2026789552644
RPSA,328.53479195016075
RRM2,64.0414379799289
S100A14,148.70728509363695
S100A4,109.65151305236346
S100A8,50.335561283858034
S100A9,71.51905298897141
SDC1,365.0565840690675
SFRP1,138.42932290179328
SIAH2,367.0913742875065
SKAP1,144.62055247441117
SLC2A1,120.93014348349963
SLC39A6,231.73300852347518
SLPI,209.54373400936285
SNAI2,137.23947195150794
SOX10,68.27829423763191
SOX18,64.09305772223539
SOX4,272.16875907710636
SPDEF,148.17543783127775
SPP1,99.76647963463411
STAT5A,122.38635540894911
STMN1,257.82808627291064
SULF1,161.826808959554
TAGLN,187.47550028863324
TBX21,139.4377924352737
TCF4,91.81341603062843
TCL1A,64.53716604512093
TFEC,155.48481836934957
TFF1,429.675089705915
