target,imp
ACTA2,361.1409524260018
ACTG2,440.5562435965865
ACTR3B,353.5732361015684
ADGRL4,410.60445142276166
AGR2,419.0601372545254
AHR,322.16798957580244
AIF1,409.254638313967
AKT1,312.1750093948378
ALDH1A3,400.1443548958658
ANLN,294.5520264093338
AP1M2,468.07437205629736
APOC1,261.75663547840725
APOE,217.47637107079714
AR,276.14641705497576
AURKA,318.4662244517461
AZGP1,249.0520160112094
B2M,237.90572880238
BAG1,305.8233876094355
BANK1,419.5467604114222
BCL2,355.6912730919781
BGN,363.7579418095349
BICC1,479.6825580094461
BIRC5,393.78152493331766
BLVRA,548.1144830866076
BRAF,386.1777657516992
C1QA,347.84261216400495
C1QB,329.7949882371654
CALCRL,410.6705266313087
CAPN13,402.8794702626933
CCL2,406.1032246158299
CCL3,387.31892531406316
CCL4,440.06024790265013
CCL5,484.57344458967606
CCNB1,319.426380386314
CCND1,215.12268420951833
CCNE1,419.737726321687
CCNE2,424.3685407596785
CD14,277.3558319077594
CD163,371.06961380364766
CD19,401.1795726316463
CD2,382.8266894410285
CD24,342.88011140417785
CD274,457.83735971058786
CD34,350.97682550201637
CD36,339.75887419948924
CD38,462.23306668174774
CD3D,390.67919893377757
CD3E,420.22082483855286
CD3G,391.3142093628741
CD4,391.36606756789627
CD40,330.92346312719206
CD40LG,341.81254230738216
CD44,394.8351784269234
CD5,467.4189512943156
CD63,284.93719301478677
CD68,351.1967541499624
CD69,399.4227125667084
CD7,403.0292433940421
CD74,255.21836058133727
CD79A,517.8021871939776
CD79B,373.69988386590444
CD8A,400.416909511344
CD9,385.42921586320733
CD96,398.4735834778821
CDC20,419.43640914171664
CDC6,444.68364960354995
CDH1,235.18574342750202
CDH11,389.1531511454167
CDH3,408.04612868951415
CDK4,294.2059301502117
CDK6,343.9865107521138
CDK7,389.6475610195854
CDKN2A,540.4178448955357
CEACAM1,310.583489460276
CENPF,415.4716725401437
CEP55,367.309996230748
CLDN4,432.62601729057155
CLU,246.7264008118596
COBL,311.44022664591955
COL1A1,322.59179578984424
COL1A2,309.1839040199784
COL3A1,321.3599311266979
COL4A1,355.1799650317802
COL4A2,311.46717228783547
COL4A5,434.6827154764509
