target,imp
ACTA2,1211.6692890126378
ACTG2,208.99111007318905
ACTR3B,324.3720605332483
ADGRL4,142.49792898520766
AGR2,430.99586616870164
AHR,249.5718855151027
AIF1,251.39711979056472
AKT1,522.6025549217236
ALDH1A3,140.39996742932533
ANLN,397.1232924268681
AP1M2,185.66514487389503
APOC1,1538.2862945486402
APOE,1158.8783445321833
AR,373.3551370296098
AURKA,355.6607337500884
AZGP1,1250.6431800673286
B2M,1231.4995048744488
BAG1,678.1261652107931
BANK1,194.51581576174198
BCL2,250.87640922589642
BGN,1811.6238005039202
BICC1,203.65542504363972
BIRC5,352.0716107267734
BLVRA,375.2816018607366
BRAF,194.07614790929995
C1QA,497.89872643748066
C1QB,489.1747412626002
CALCRL,235.8276792474782
CAPN13,193.24016072112514
CCL2,203.610620743607
CCL3,277.6946587656723
CCL4,165.2904899190201
CCL5,133.98307330318335
CCNB1,337.29007086373355
CCND1,994.814092870332
CCNE1,218.35164876274104
CCNE2,180.30574112764884
CD14,390.862072931404
CD163,411.97941959700603
CD19,118.58271557133814
CD2,157.75412362107107
CD24,260.631672350882
CD274,247.76077955420757
CD34,347.7622857812062
CD36,384.7891166884996
CD38,165.0091274605651
CD3D,307.61824252042805
CD3E,253.42808051022462
CD3G,211.12223932849392
CD4,308.08073745177114
CD40,344.0868742268582
CD40LG,275.58132654548393
CD44,238.3217001044166
CD5,228.98119927192857
CD63,892.5166435106839
CD68,293.2421811086708
CD69,200.20008726343184
CD7,121.29355661243363
CD74,1083.270427146094
CD79A,175.90103399909844
CD79B,275.21708774928123
CD8A,184.87263348834378
CD9,316.06503974992137
CD96,214.36108972924347
CDC20,231.69666742174323
CDC6,211.15135635547227
CDH1,914.6842918674084
CDH11,219.87497378286852
CDH3,99.42894216506583
CDK4,482.2328302909914
CDK6,230.32338046192396
CDK7,338.606175422576
CDKN2A,198.64465635336802
CEACAM1,325.3864606211244
CENPF,242.1057773652841
CEP55,354.30175282180295
CLDN4,177.9687230062375
CLU,823.9716523516737
COBL,478.2490511609733
COL1A1,1620.4765826555713
COL1A2,1454.146548991163
COL3A1,755.4075484662609
COL4A1,1320.1896104132684
COL4A2,1030.1428546280977
COL4A5,255.0901691306818
CR2,84.50377669879722
CRABP2,402.13796845641724
CSRP2,282.070921495864
CST3,330.3170458079421
CSTB,235.56050823249058
CTCF,540.9602839065534
CTLA4,100.59904008596405
CTSL,490.395285376502
CXCR5,219.20102978164257
CXXC5,316.46507233311127
DCN,294.5034512174283
DERL3,263.114998971533
EFNA5,166.1690043803189
EGFR,512.4572165243342
