target,imp
ACTA2,13.066819729763779
ACTG2,3.2479760009594205
ACTR3B,18.328283592022206
ADGRL4,10.388527712891532
AGR2,27.011433660750217
AHR,19.432462635381476
AIF1,17.28388369489981
AKT1,36.979248304500565
ALDH1A3,11.12083119788118
ANLN,23.14546635017029
AP1M2,9.230039207710687
APOC1,28.05291041559068
APOE,27.787170872294247
AR,20.946431283785905
AURKA,33.768630316765844
AZGP1,60.26511562750171
B2M,29.00388609652958
BAG1,43.72118541657017
BANK1,12.30275469861573
BCL2,24.172319799202036
BGN,35.10961957406235
BICC1,14.856858301480372
BIRC5,6.748401736458178
BLVRA,46.73723501243907
BRAF,12.956326022269513
C1QA,31.08033034001392
C1QB,13.66263349164431
CALCRL,12.229211603408444
CAPN13,36.02004657920118
CCL2,9.036775905371089
CCL3,21.474128351992213
CCL4,20.686046146476514
CCL5,13.835189410590331
CCNB1,19.448361740028023
CCND1,36.493822665065544
CCNE1,26.550830094169545
CCNE2,31.752016752475118
CD14,38.03867983583061
CD163,14.316294535821212
CD19,10.871811313836428
CD2,16.367800758337342
CD24,25.280670876709387
CD274,4.783827112137551
CD34,22.279066762489474
CD36,25.92545044462738
CD38,8.764055145245816
CD3D,7.551800526656141
CD3E,10.637811780156769
CD3G,16.16810060748181
CD4,27.176736239622798
CD40,8.776842752342384
CD40LG,14.178492642883862
CD44,18.912853040187546
CD5,2.1561400757325395
CD63,49.29469597521619
CD68,26.761690943805405
CD69,45.748237546944836
CD7,13.050588185892437
CD74,38.11195946452581
CD79A,1.4149024118240072
CD79B,14.607711940810862
CD8A,8.965530476646038
CD9,21.078958399539978
CD96,11.463903861453456
CDC20,15.588647779730975
CDC6,16.79271730298508
CDH1,33.63611443565654
CDH11,34.21792606721417
CDH3,15.701222416291507
CDK4,26.461828419244704
CDK6,15.705027033707081
CDK7,28.599142733282857
CDKN2A,21.050135713023177
CEACAM1,22.023999293326714
CENPF,15.028137008285372
CEP55,20.97705372699324
CLDN4,16.36698000222952
CLU,21.31722004338961
COBL,27.426626929574454
COL1A1,26.958211190657764
COL1A2,29.173804768674323
COL3A1,25.943192218649354
COL4A1,25.483778806366182
COL4A2,34.265388593849494
COL4A5,29.449020117338613
CR2,8.008363228809873
CRABP2,20.76471154163979
CSRP2,24.476124429973833
CST3,19.000467454947557
CSTB,18.807140671165307
CTCF,32.17473120206632
CTLA4,3.891225626399825
CTSL,19.73891310255294
CXCR5,15.612765995478163
CXXC5,28.493526861632166
DCN,11.026426959545336
DERL3,18.922035507655366
EGFR,25.506376398641155
EIF3E,20.892197382093403
ELF5,36.127983626149614
EPCAM,28.491959037879724
ERBB2,22.669567317884756
ERBB3,25.832952711173476
ERBB4,5.694280869849832
ESR1,19.655447679775964
FABP7,8.30836195381109
FAP,20.01016343732575
FASN,30.613211625243043
FAT1,15.877884941460861
FCGR3A,21.082373794503248
FCN1,19.533956503303223
FCRL5,12.362935236869209
FGFR1,38.03420787021822
FGFR2,23.706366851303596
FGFR4,14.343395425818324
FN1,32.34921163588503
FOS,17.373624885538888
FOXA1,24.912510261884123
