target,imp
ACTA2,289.36242010433136
ACTG2,255.62890794098678
ACTR3B,239.69341205010087
ADGRL4,229.10973841387175
AGR2,351.2411760182793
AHR,264.27850813579755
AIF1,319.8281803405742
AKT1,337.23504439529165
ALDH1A3,315.5232670815956
ANLN,255.92987321725258
AP1M2,325.44887212944474
APOC1,319.69729336656843
APOE,283.38672389666084
AR,261.9430214833051
AURKA,459.9154101815994
AZGP1,283.14650073773703
B2M,239.77602477833636
BAG1,275.5693483067294
BANK1,297.0129426446549
BCL2,230.0454346561236
BGN,235.29251664671042
BICC1,255.4751952854568
BIRC5,440.65165300647305
BLVRA,369.96242170241953
BRAF,253.8315654000012
C1QA,233.3556067651949
C1QB,219.15707982325955
CALCRL,266.3825197988858
CAPN13,311.0642851240142
CCL2,331.4357644420756
CCL3,254.71889175592148
CCL4,278.93525066608345
CCL5,271.91349541196655
CCNB1,359.24178565806005
CCND1,432.21961340685135
CCNE1,293.77144791488786
CCNE2,260.0818500903704
CD14,280.64731308488115
CD163,247.97647813184656
CD19,298.2784617022362
CD2,263.30318972768845
CD24,244.08516788092388
CD274,301.9179833034007
CD34,287.04360899355726
CD36,308.26477171243397
CD38,304.1429986730618
CD3D,263.50185755841267
CD3E,268.8461354712657
CD3G,299.9926061609851
CD4,259.72897054148524
CD40,281.20447383111895
CD40LG,224.42592290315486
CD44,270.4131421420056
CD5,247.4597630177003
CD63,249.67097690813824
CD68,258.0897482229085
CD69,291.117848895514
CD7,234.87126792958324
CD74,205.20506917735764
CD79A,264.2060254993301
CD79B,336.8306531156826
CD8A,269.8881972371476
CD9,302.247409935457
CD96,265.9662827969792
CDC20,292.4606831478569
CDC6,271.08042195990237
CDH1,337.5161369003744
CDH11,264.1774158554474
CDH3,275.95519817433984
CDK4,267.41661808834743
CDK6,273.99395484837856
CDK7,312.7040484792035
CDKN2A,277.3097812021957
CEACAM1,235.61322262212235
CENPF,224.52214929342756
CEP55,347.0255004203737
CLDN4,288.9437505531712
CLU,288.5007115251437
COBL,240.07826246287559
COL1A1,288.0627087438103
COL1A2,234.41495760595055
COL3A1,237.11461560209148
COL4A1,221.93410599324216
COL4A2,229.70033007176892
COL4A5,294.57303162114096
CR2,301.56695656609634
CRABP2,582.3283773160543
CSRP2,275.1931717496084
CST3,291.30075875660054
CSTB,282.0669000873583
CTCF,260.6343238288896
CTLA4,279.3669485604629
CTSL,242.98807824986648
CXCR5,285.3683049359283
CXXC5,286.67493553627537
DCN,314.1409163863664
