target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
CD19 0.0784460691879136 0.00239209949443507 0.0784522200764893 0.00230001452868834 0.500245209846309 0.521423996387959
EFNA5 0.0823197001011849 0.000335305478299852 0.0823475767864873 0.00080156041385866 0.501284750982354 0.216345165255588
PTPRC 0.175934083231217 0.0833003605396658 0.176004567539067 0.0825377450729589 0.502676877756783 0.513008966669532
ACTA2 0.232149161612309 0.159421294896174 0.23218242208604 0.159220068308775 0.500647081925599 0.501574708574095
LILRB1 0.287513307441604 0.346373571289762 0.287531339102358 0.346300574525795 0.500316225810366 0.501792478346652
THY1 0.16295931057707 0.078725172000167 0.16295721127843 0.0788199507936203 0.499897053463313 0.498691408385128
MT2A 0.264376633813764 0.043336522116456 0.263159794128078 0.0518383138215276 0.458361018594264 0.157027947107805
SNAI2 0.260403979460271 0.0938210490422981 0.26045515644406 0.0934316709998744 0.501256137625288 0.510742291207517
CD2 0.257905193002504 0.426303608176692 0.257961522709897 0.426028048242135 0.500635417442961 0.501426262883797
ACTG2 0.0729509773558848 0.00770740324975838 0.0729511849724096 0.00777326185903189 0.500005414180935 0.496985197923871
COBL 0.525705020644892 0.0822872785565897 0.525446390658318 0.0832419643045781 0.492316486429227 0.466774054349076
NR3C1 0.342714808315427 0.0767572498238182 0.341695044183765 0.082383726851703 0.463764072542296 0.394396533793639
BGN 1.17054365048109 0.608750233802686 1.17036288074754 0.608796995377828 0.49902011411091 0.498750648115556
FN1 3.37167217659444 0.474287385498178 3.35832717764434 0.478356280313369 0.468395297034508 0.415596434862847
JUNB 1.43353758263508 0.265075834258133 1.42630463298893 0.27236133367996 0.454286633795974 0.348250954677287
HLA.DRB1 0.282120825656979 0.111175093106747 0.282197279700468 0.110692268663552 0.503504958759886 0.51063574930703
CD74 1.64226600169816 0.717183473275292 1.64270949319625 0.71701985955227 0.502596691975366 0.502946724412396
EGFR 0.540389046490751 0.267474006223324 0.540174365872022 0.268122774897074 0.493503591387816 0.483581335452571
SOX10 0.0924475705631182 0.000472040527531281 0.0924523186808045 0.000727888147873879 0.500237010414185 0.309100769646028
PTTG1 0.246626300366036 0.183855460261849 0.246633814059216 0.183627055996676 0.500245810570957 0.503367483280045
CD24 0.22333713092018 0.0324463849897605 0.222781296467008 0.0380874562181041 0.489094473751794 0.286927996895041
CD79A 0.0678185809873862 1.70990769848833e-06 0.0678351321086939 5.91273945200754e-05 0.500693877097109 0.178515560616978
LRP2 0.258224122277157 0.0278365587580634 0.258100367188418 0.0278530956717881 0.49647629746291 0.498769267727963
MUC1 0.821325500396744 0.0248655477849056 0.820968074712237 0.0257339179592907 0.498138357475436 0.458582918766626
NUF2 0.155382851969516 0.0722985757503745 0.155413258885031 0.072450692421332 0.501335326768414 0.497413824121622
BICC1 0.162611187112836 0.0341148145043953 0.162572930260642 0.0349310642661818 0.498695142782093 0.476452314497641
