target,imp
ACTA2,0.4521228589998849
ACTG2,0
ACTR3B,0.2978807781841383
ADGRL4,0.07854911868242102
AGR2,0.6557320856661265
AHR,0.2086875391196034
AIF1,0.08899323864878879
AKT1,1.0046286263363564
ALDH1A3,0.14204686633161823
ANLN,0.47011704232038243
AP1M2,0.15326703585235976
APOC1,1.1246235819621526
APOE,0.2912681477801359
AR,0.3416405586562199
AURKA,0.41741935316553885
AZGP1,1.243763359000705
B2M,0.6184545869845892
BAG1,0.37642942661337536
BANK1,0.1410812570632995
BCL2,0.38878186304736123
BGN,0.33807976750955093
BICC1,0.22487117824637307
BIRC5,0.16479216630192473
BLVRA,0.5642886762012779
BRAF,0.21617957917395322
C1QA,0.3157767349924106
C1QB,0.5128192894399823
CALCRL,0
CAPN13,0.8862733343560742
CCL2,4.166666666666666e-5
CCL3,0.589444919971653
CCL4,0.20928085248795278
CCL5,0.1502215429745894
CCNB1,0.3801417173644225
CCND1,1.486743409447388
CCNE1,0.10402863194484317
CCNE2,0.3265405766787549
CD14,0.06035001900081219
CD163,0.3321512381945731
CD19,0.3600606300411755
CD2,0.20080057883582955
CD24,0.28788928697640015
CD274,0.061337555172034104
CD34,0.0012948232433769777
CD36,0.104433388823805
CD38,0.06290105618151991
CD3D,0
CD3E,0.10942283320448819
CD3G,0.18092765437274175
CD4,0.1387435979279541
CD40,0.040557842754311756
CD40LG,0
CD44,0.024321886446886445
CD5,0.05792045737018855
CD63,0.6487336211693829
CD68,0.020309576256595668
CD69,0.2115001506767029
CD7,0
CD74,1.1494167443998087
CD79A,0
CD79B,0.05311656833561835
CD8A,0.01849670517234938
CD9,0.11868866672819949
CD96,0.09257668934077339
CDC20,0.3681572286680667
CDC6,0.47522431826805994
CDH1,1.652966909138865
CDH11,0.0774876158371485
CDH3,4.8076923076923074e-4
CDK4,2.0619838546742004
CDK6,0.21155020900449148
CDK7,0.697529400106093
CEACAM1,0.1260127344792834
CENPF,0.5142395944678203
CEP55,0.3486138195151874
CLDN4,0.05465464350954399
CLU,0.17756376113553085
COBL,0.6431318692547227
COL1A1,0.3747803537510213
COL1A2,0.5525757192207011
COL3A1,0.112442710719991
COL4A1,0.08539985074978095
COL4A2,0.2014722962684137
COL4A5,0.4039360057248315
CR2,0.18948588040365905
CRABP2,0.7370143877525515
CSRP2,0.3397792002109007
CST3,0.2006242519117475
CSTB,0.2422877378804822
CTCF,0.5983149715223418
CTLA4,0
CTSL,0.4378441486777866
CXCR5,0.011500835850726357
CXXC5,0.1606285251532929
DCN,0.05423407004657254
DERL3,0.21242434536426524
EFNA5,0.014285714285714284
EGFR,0.39411346701806593
EIF3E,0.2320279302910213
ELF5,1.978351272015655e-4
EPCAM,1.1805217054050623
ERBB2,0.32620279440726585
ERBB3,1.0156264042248528
ERBB4,0.0885076062777016
ESR1,0.732529916148256
FABP7,0.21164673802475187
FAP,0.2412299072535078
FASN,1.3072840456208938
FAT1,0.2741216769155042
FCGR3A,0.2536659867688534
FCN1,0.07646774022531404
FCRL5,0
FGFR1,1.8656479279501883
FGFR2,0.2311735199438473
FGFR4,0.22601924586299496
