target,imp
ACTA2,23.36778018792264
ACTG2,23.095938285035967
ACTR3B,18.847380240148624
ADGRL4,15.74524652511385
AGR2,17.801022630283693
AHR,30.689320503581925
AIF1,21.431380021830044
AKT1,17.577118782453436
ALDH1A3,18.946181681608763
ANLN,35.64872695536044
AP1M2,25.41451617848408
APOC1,13.59764724728416
APOE,13.87013221924409
AR,15.862406802394926
AURKA,31.36392302811372
AZGP1,15.184747355136432
B2M,13.858058363584854
BAG1,16.83910270030671
BANK1,17.284659875396066
BCL2,33.46641767100696
BGN,19.84284109762331
BICC1,21.84800174016379
BIRC5,27.27637968306607
BLVRA,20.634261789291763
BRAF,21.63098817497173
C1QA,16.52806132814353
C1QB,18.082490180792337
CALCRL,22.15049419075251
CAPN13,20.120003540600234
CCL2,21.709251272114308
CCL3,16.821513497566514
CCL4,17.917414385748877
CCL5,20.12366239092033
CCNB1,18.2065875722331
CCND1,41.3290154923875
CCNE1,19.26621052133774
CCNE2,24.717297173588676
CD14,16.041224498402634
CD163,14.890218057384036
CD19,19.8187624036609
CD2,11.848506355588672
CD24,18.95399214152729
CD274,18.838567234790798
CD34,13.319299517427476
CD36,18.08664605625233
CD38,19.491361073285102
CD3D,17.401439596963154
CD3E,20.843314876955432
CD3G,22.018647859374546
CD4,21.792874091701634
CD40,22.365332386699862
CD40LG,14.777862967541736
CD44,21.65252379884368
CD5,28.29787726372123
CD63,17.5863977642703
CD68,18.214080265821384
CD69,18.056095545073422
CD7,18.312389937912187
CD74,17.3883391704292
CD79A,21.541574803838124
CD79B,17.791093015517845
CD8A,21.409804187967367
CD9,17.184489517931993
CD96,14.04217960426262
CDC20,18.484088138243248
CDC6,15.368042105337684
CDH1,30.157320779838628
CDH11,26.20617235107339
CDH3,23.1396271247798
CDK4,21.988934991169902
CDK6,18.620980392495355
CDK7,22.33190163062322
CDKN2A,17.493987441935154
CEACAM1,15.185590650232152
CENPF,16.611620309072404
CEP55,24.772764160947073
CLDN4,15.053316478667204
CLU,14.618040495496992
COBL,14.077826939626105
COL1A1,21.139307921906962
COL1A2,20.922554390368887
COL3A1,12.886963850640502
COL4A1,20.329013967108363
