target,imp
ACTA2,329.61025602499086
ACTG2,263.3873938601223
ACTR3B,263.7264348478086
ADGRL4,290.99559858125184
AGR2,198.76534187379374
AHR,232.44485662545378
AIF1,225.61584253233798
AKT1,212.6769243799694
ALDH1A3,290.9438122516791
ANLN,233.42810853271953
AP1M2,238.78409216287002
APOC1,228.55560770631482
APOE,224.97912032152882
AR,234.12875769837615
AURKA,223.0005237518687
AZGP1,196.26986887947845
B2M,238.15865834700918
BAG1,250.6205522187286
BANK1,256.89891066890107
BCL2,243.43964690688637
BGN,256.1716494810424
BICC1,241.59045902821762
BIRC5,240.543916279318
BLVRA,224.39504715820763
BRAF,291.5271683024556
C1QA,297.04324800146236
C1QB,281.2057419229546
CALCRL,257.47426988173646
CAPN13,255.8208965005819
CCL2,269.0540248630248
CCL3,270.0213734920107
CCL4,251.61769184873097
CCL5,267.82590922256566
CCNB1,263.35176091132956
CCND1,172.4165952124833
CCNE1,271.3809483798869
CCNE2,251.75844432436986
CD14,301.405683461321
CD163,237.10564927762104
CD19,251.89739122269827
CD2,248.3281055326682
CD24,340.48781932717355
CD274,222.37271925160272
CD34,213.1694223826792
CD36,340.53316288590236
CD38,257.3262443499993
CD3D,269.88101777435
CD3E,244.57718067789176
CD3G,283.6656685280804
CD4,251.38939082538184
CD40,251.33662179496068
CD40LG,251.942277392643
CD44,314.63591741098674
CD5,235.70567283794796
CD63,253.4422150517633
CD68,313.99010771273845
CD69,270.28853963770666
CD7,238.6597745673034
CD74,267.6437357055205
CD79A,282.19429168905606
CD79B,249.39819648844266
CD8A,290.2915208905147
CD9,248.70797739866407
CD96,306.08675569822276
CDC20,238.6612719932659
CDC6,256.4011073375417
CDH1,154.5290395800935
CDH11,247.78158987079044
CDH3,239.53010447805482
CDK4,241.11223175716393
CDK6,261.7665788668738
CDK7,270.149561545043
CDKN2A,319.4528066014232
CEACAM1,193.60722008510263
CENPF,233.3500780271506
CEP55,230.0362815642194
CLDN4,244.93006315419942
CLU,214.42913565003602
COBL,276.30641217011214
COL1A1,269.3800240112081
COL1A2,253.82740653293735
COL3A1,310.3850049986385
COL4A1,272.90851126124176
COL4A2,233.29715369788977
COL4A5,287.05278017020913
CR2,306.4138239266405
CRABP2,215.75311476986752
CSRP2,294.72721924683134
CST3,218.8973653795152
CSTB,227.21283119590433
CTCF,228.06114160163426
CTLA4,241.6043468728501
CTSL,251.50904734319377
CXCR5,272.18694147645505
CXXC5,262.1265970232103
DCN,280.64359252439476
DERL3,291.9142067909635
EFNA5,222.66272676938465
EGFR,254.88365212327182
EIF3E,197.7721307989033
ELF5,295.58359419474715
EPCAM,187.97365059406025
ERBB2,265.95739026624125
ERBB3,244.79838714435635
ERBB4,255.71906461528354
ESR1,191.262484476935
FABP7,301.2906988815306
FAP,289.0451748205564
FASN,179.71808803441775
FAT1,270.92103136841627
FCGR3A,270.0706772948927
FCN1,255.02398150228524
FCRL5,243.44578225991344
FGFR1,160.77204020805365
FGFR2,304.377981059749
FGFR4,254.29053038812287
FN1,230.84045961485282
FOS,285.5277259379716
FOXA1,164.62748515728995
FOXC1,324.9177343640219
FOXP3,248.68955547738537
FXYD3,231.86794213902843
GATA3,170.10708895979943
GNG11,274.1464681052245
GNLY,246.44009112656715
GPNMB,272.0933535468709
GPR160,273.2753838097192
GRB7,277.95017706489745
GSN,285.69348836337855
GZMB,290.6196098795458
HIF1A,255.25576111984589
HLA.A,322.47336325984963
HLA.B,322.1501937497749
HLA.C,278.8779837395193
HLA.DPA1,280.56337020152677
HLA.DRA,231.1764501171279
HLA.DRB1,245.33713641992145
HLA.DRB5,292.7680572938615
HLA.E,215.92783441366902
HSPB1,194.091112707413
HSPG2,296.4441167150671
ICAM1,246.2964507965678
ICOS,214.3362635393921
IFITM3,231.9671178262902
IGF1R,208.16230966840166
IGFBP5,256.9019281546543
IL2RA,283.389041391987
IL32,258.0419055394575
IL3RA,261.7759289890013
IL7R,243.68258617188894
ISG15,296.696962029483
ISG20,298.3750142755161
ITGA6,160.538063523809
ITGAX,277.8305751405321
JUN,252.43486461282205
JUNB,244.31740286875396
KIF23,200.47346547803863
KIT,247.64713074995277
KRAS,270.4757668466058
KRT10,241.6723283151548
KRT14,220.19340152821675
KRT15,263.4654259448667
KRT17,228.78911680578807
KRT19,161.7962347723624
KRT5,251.6276468343202
KRT7,243.92925777220754
KRT8,203.99662858115715
LAG3,256.91780806920315
LAMA1,234.13253120224326
LAMC1,284.29252760350573
LDB2,232.34043843260852
LGALS1,231.58932885064118
LGALS2,278.64875377095143
LGMN,262.78273492220643
LILRB1,250.90817863439526
LRP2,237.66372120090895
LST1,235.66903913859406
LTF,330.4573257596821
LUM,253.40855979203766
LYPD6B,255.68366956537284
LYZ,267.1317733955182
MAPK13,222.11896315616144
MAPK3,301.31985610295413
MDM2,190.45193142549903
MELK,236.9890487446197
MIA,268.2326476514786
MKI67,233.96843503352687
MLPH,219.71412406205027
MMP11,286.9775606655929
MMP12,218.32578731701597
MMP9,225.5555759849251
MS4A1,242.37425890624462
MSR1,261.8033966627015
MT2A,289.5027655347335
MUC1,211.4756795610546
MYB,227.64753221639563
MYBL2,280.21914005498877
MYC,289.6565092443757
MYL6,201.3877919214058
MYL9,303.4469104832973
MYLK,208.79264481748268
MYO10,271.77065686625684
MYO5B,285.219873932811
MZB1,252.27620935279876
"NAT1",249.18573665979693
NCAM1,264.607885311879
NDC80,234.33060430726957
NDRG2,226.05107144983552
NF1,218.61407074557326
NFKBIA,233.19691819770998
NKG7,302.0529470781966
NOTCH1,267.29490353678574
NR3C1,261.4084344256899
NUF2,264.6902797413902
OBP2B,272.14205596568934
ORC6,290.88838422043756
PABPC1,193.0639757288561
PBK,234.18211376812872
PDCD1,299.13177472492265
PDPN,242.09497751621564
PDZK1IP1,282.23803514784703
PECAM1,275.20876402111395
PGR,310.7368367615264
PHGDH,270.6089366043669
PI3,281.67898655416366
PIK3CA,262.1291498381943
PLEK,249.58444232351178
PLVAP,208.2628333279416
POU2AF1,273.83196657253393
PRLR,257.6241374367952
PTEN,283.7736357137404
PTPRB,248.24395944615654
PTPRC,302.27947861709
PTTG1,221.44486473811585
RAMP2,241.80828534349868
RB1,319.90309018932146
RPL13,226.59376157837286
RPL18,271.68995305386994
RPSA,223.34506214113622
RRM2,231.04635494746842
S100A14,253.01160133874848
S100A4,353.94425399621804
S100A8,217.52168441809317
S100A9,230.16254155904616
SDC1,220.31827934035095
SFRP1,266.2744915661508
SIAH2,215.2059144912545
SKAP1,221.25566206009623
SLC2A1,266.5001405932676
SLC39A6,197.83029467017298
SLPI,263.36534575185937
SNAI2,283.51927259460507
SOX10,248.80301619154977
SOX18,250.5112411764665
SOX4,155.84821997008885
SPDEF,241.82933397870514
SPP1,213.85353962889928
STAT5A,304.18190166014415
STMN1,193.66451138950987
SULF1,249.50295297356263
TAGLN,221.99357802397023
TBX21,251.15620394591133
TCF4,294.5443188666724
TCL1A,282.6525976483796
TFEC,233.84464002199817
TFF1,195.674514585533
TFF2,220.34460916401815
TFF3,288.3797170909986
TFRC,280.3954257541494
THEMIS,253.1396858908959
THY1,279.4860273748931
TIMP1,268.85777103922464
TMEM45B,270.16721871281186
TMSB10,172.24728059410302
TP53,260.8935719828736
TPM2,302.16173667468337
TRAC,236.7602468001505
TRDC,283.3371216558887
TSPAN1,255.38976017578636
TTC6,270.91592616693686
TTYH1,233.8426362496317
TYMS,172.3098112425206
UBE2C,214.09239317644253
UBE2T,222.3760379959765
VIM,252.74948009984553
VSIR,321.37371264276277
XBP1,157.90105472863902
XCL1,290.2517701476573
ZEB1,210.33026990953115
ZNF571,261.36727251407507
