target,imp
ACTA2,22.515857957356864
ACTG2,20.225022040196976
ACTR3B,28.79205107233745
ADGRL4,13.658917324018335
AGR2,18.945665567529055
AHR,28.186293345208945
AIF1,29.899308082055196
AKT1,16.089437241304168
ALDH1A3,22.473272968720927
ANLN,20.144584991507465
AP1M2,20.205708684009448
APOC1,32.06220462845781
APOE,56.6263232432509
AR,31.257601708694487
AURKA,32.90197577909464
AZGP1,14.067469173073569
B2M,19.896119195475578
BAG1,21.94682869625258
BANK1,17.809132297039632
BCL2,13.819829426255085
BGN,26.370578701151928
BICC1,29.524604121397385
BIRC5,25.512915628283807
BLVRA,14.220884887304738
BRAF,30.264220078356825
C1QA,27.32807443909623
C1QB,17.30328882407302
CALCRL,24.18600370117014
CAPN13,11.600759118767828
CCL2,30.01646946130826
CCL3,25.92572646232894
CCL4,32.08740757936224
CCL5,26.176925923518656
CCNB1,28.322468999653093
CCND1,15.956636233118399
CCNE1,19.138032873084654
CCNE2,29.209267150343614
CD14,23.282965721097597
CD163,21.050819578758855
CD19,40.580369549148884
CD2,23.493694862654955
CD24,23.374644876018177
CD274,13.025473325309925
CD34,25.94809899678142
CD36,29.40877464430282
CD38,34.86530588616298
CD3D,25.810898738914094
CD3E,11.974935671825994
CD3G,34.47989942985483
CD4,31.216709069627854
CD40,37.139838478224036
CD40LG,15.478442608695737
CD44,18.3972242661966
CD5,14.748750880192436
CD63,17.93229759331112
CD68,45.8847106757586
CD69,30.696705026853298
CD7,33.587082297408806
CD74,19.70258545883111
CD79A,34.103570796952624
CD79B,17.683387728146943
CD8A,31.285058933025784
CD9,51.8772274793694
CD96,18.51055477201572
CDC20,31.664043202953778
CDC6,27.109177764882357
CDH1,13.42814929471373
CDH11,33.85987506438251
CDH3,19.475773942255454
CDK4,12.081188630523602
CDK6,42.543917598417366
CDK7,25.971882240672326
CDKN2A,17.224818421858586
CEACAM1,34.05150572320581
CENPF,24.877896436565123
CEP55,34.81214598244903
CLDN4,21.407282058669857
CLU,35.9774715768581
COBL,11.238119769716171
COL1A1,33.19286844369621
COL1A2,25.332011233735138
COL3A1,19.49996060117103
COL4A1,19.850900079230485
COL4A2,32.33474206505099
COL4A5,21.17784600713163
CR2,15.988144667377227
CRABP2,14.002315398858073
CSRP2,48.75878581124257
CST3,14.506021563559331
CSTB,31.925128197484028
CTCF,33.445049830826285
CTLA4,27.439273823661562
CTSL,24.093934587491574
CXCR5,33.648944370252416
CXXC5,11.77997895331675
DCN,20.16254300404503
DERL3,68.67041917868085
EFNA5,31.50047191064381
EGFR,32.84008194717352
EIF3E,19.284768044826777
ELF5,29.867051842331694
EPCAM,24.20103768610225
ERBB2,34.85114532608565
ERBB3,30.491131227260276
ERBB4,24.044988138053988
ESR1,15.306494547379753
FABP7,13.285139326386705
FAP,24.06865154178671
FASN,23.122274841836244
FAT1,18.193762838116804
FCGR3A,22.66367229565459
FCN1,35.77246892797666
FCRL5,23.58374346086214
FGFR1,18.762208929383085
FGFR2,26.997237849227844
FGFR4,24.419831887471318
FN1,43.45851378374524
FOS,21.86607920330721
FOXA1,14.930171067536945
FOXC1,29.783327965105723
FOXP3,9.01321091538015
