target,imp
ACTA2,0.28342169924951177
ACTG2,0
ACTR3B,0.14053697243408744
ADGRL4,0.09083033257693332
AGR2,0.36556612528966836
AHR,0.09463751100334328
AIF1,0.017127180814021665
AKT1,0.3477307045109504
ALDH1A3,0
ANLN,0.22668894533176762
AP1M2,0.09883221080826857
APOC1,0.346089681007075
APOE,0.21703161410921804
AR,0.33659045319344905
AURKA,0.4577093643197629
AZGP1,0.6473582840624953
B2M,0.4500301149943764
BAG1,0.22882761493152848
BANK1,0
BCL2,0.011472274934886385
BGN,0.12636571063663526
BICC1,0.0835903910957299
BIRC5,0.09231239115566943
BLVRA,0.16544261322188766
BRAF,0.03473077993713608
C1QA,0.14133178549303443
C1QB,0.12740798131335584
CALCRL,0.1004143677047435
CAPN13,0.22864690272412094
CCL2,0.09175645627726418
CCL3,0.05009579001844428
CCL4,0
CCL5,0
CCNB1,0.11558704340213867
CCND1,0.5968327484933246
CCNE1,0.06558943682253605
CCNE2,0
CD14,0.019525756647366457
CD163,0.12764908830406438
CD19,0.11884060453441253
CD2,0
CD24,0.07354705816931056
CD274,0
CD34,0.18041791901848275
CD36,0.30076890527998196
CD38,0
CD3D,0.006666666666666666
CD3E,0.05561831743652691
CD3G,0.34186683819116803
CD4,0.12709098038353425
CD40,0.005556638972897863
CD40LG,0.043814789177158996
CD44,0.039166314915849425
CD5,0
CD63,0.383948204290271
CD68,0.04891884947787375
CD69,6.948021381418895e-5
CD7,0
CD74,0.1617929769054092
CD79A,4.2857142857142844e-4
CD79B,0
CD8A,0
CD9,0.16607087610111726
CD96,0
CDC20,0.03385729780235733
CDC6,0.002795995670995671
CDH1,0.7525773135939181
CDH11,0
CDH3,0
CDK4,0.14602674579044467
CDK6,0.19825882921660834
CDK7,0.18456120756815594
CDKN2A,0.08167081933862756
CEACAM1,0.20056461504228032
CENPF,0.2105554826161613
CEP55,0.19011589941018303
CLDN4,0.05447398403912395
CLU,0.10475091768648237
COBL,0.2643644632716522
COL1A1,0.11058803647903474
COL1A2,0.0940100803984376
COL3A1,0.0723723670643575
COL4A1,0.11471414627388368
COL4A2,0.0762122903493045
COL4A5,0.10192465535506305
CR2,0
CRABP2,0.22421155468156484
CSRP2,0.14770323605737257
CST3,0.1762150385708555
CSTB,0.06927706325542257
CTCF,0.35405529593964685
CTLA4,0
CTSL,0.1779263338946855
CXCR5,0.169114181969534
CXXC5,0.13775406677182075
DCN,1.7450058754406582e-4
DERL3,0.11963003661183812
EFNA5,0.16250032517854618
EGFR,0.20765745094084542
EIF3E,0.07338004070483825
ELF5,0.03763735955974375
EPCAM,0.6227855393858922
ERBB2,0.10377417322334433
ERBB3,0.36612830237364186
ERBB4,0.025137116948010532
ESR1,0.10096105648848486
FABP7,0.010619047619047622
FAP,0
FASN,0.3273418682964228
FAT1,0.11315484499167713
FCGR3A,0.1639200229589222
FCN1,0.038834154351395735
FCRL5,0
FGFR1,0.6218498086734838
FGFR2,0.08754581348005272
FGFR4,0.20879275046533474
FN1,0.29756565285485953
FOS,0.07876710674609011
FOXA1,0.6731188897204443
FOXC1,9.448223733938016e-6
FOXP3,0.06567922167215337
FXYD3,0.26537478966507594
GATA3,0.45667728257006474
GNG11,0.14127326078068678
GNLY,0.028466270304432165
GPNMB,0.0035230691671708013
GPR160,0.12499786795622322
GRB7,0.048427533993267005
GSN,0.12830921532446296
GZMB,0.033571840683763905
HIF1A,0.24301785247618185
HLA.A,0.027944569922830797
HLA.B,0.27934096110940543
HLA.C,0.07976686107370717
HLA.DPA1,0.05120812083891085
HLA.DRA,0.11500192140283615
HLA.DRB1,0.06836551139338076
HLA.DRB5,0.09476392932622069
HLA.E,0.31224261359907457
HSPB1,0.5429247351524681
HSPG2,0.04459236463339694
ICAM1,0.14558591552372321
ICOS,0
IFITM3,0.21378658979432352
IGF1R,0.2490631778249741
IGFBP5,8.333333333333334e-4
IL2RA,0.03892723397817173
IL32,0.09437290861148293
IL3RA,0
IL7R,0
ISG15,0.2747419478329347
ISG20,0.1368677606098672
ITGA6,0.4622432646209918
ITGAX,0.08320809019287788
JUN,0.4014691375132491
JUNB,0.15568291921224467
KIF23,0.05470035369016921
KIT,0
KRAS,0.013148110836431796
KRT10,0.06910458015997561
KRT14,0
KRT15,0.02993999342647315
KRT17,0
KRT18,0.4408976940522539
KRT19,0.5438885893842
KRT5,0.1326215815998113
KRT7,0.04339264480324326
KRT8,0.5094371699014405
LAG3,0.15063154654165156
LAMA1,0
LAMC1,0.07372503538564339
LDB2,0.03656853487945438
LGALS1,0.18300720711563326
LGALS2,0.15568755877864618
LGMN,0.2289893952935014
LILRB1,0.11619756684035039
LRP2,0.17698659489660062
LST1,0.09434300471051124
LTF,0
LUM,0
LYPD6B,0.30975709702554666
LYZ,0.8581262125796008
MAPK13,0.31196450297180106
MAPK3,0.19585060925660291
MDM2,0.2774528099398939
MELK,0.05510422018615818
MIA,0.06747159818543333
MKI67,0.2107415124986718
MLPH,0.48987054326554536
MMP11,0
MMP12,0
MMP9,0.05299021071932215
MS4A1,0.053917529079904936
MSR1,0.39370760771549973
MT2A,0.19767914780061896
MUC1,0.24454872594876167
MYB,0.11243881238243875
MYBL2,0.2220098125226945
MYC,0.03838849442915944
MYL6,0.45044907505188553
MYL9,0.10262323853835462
MYLK,0.24150175676213667
MYO10,0.0032414781659263836
MYO5B,0.04242629440544885
MZB1,0.15808256570563076
"NAT1",0.033592012288786485
NCAM1,0
NDC80,0.1195570466650426
NDRG2,0.3258688533619104
NF1,0.1553048464382425
NFKBIA,0.2851777225233986
NKG7,0
NOTCH1,0.054958555746757
NR3C1,0.1408729060173599
NUF2,0
OBP2B,0.18455946729014053
ORC6,0.14554632417425908
PABPC1,0.4786656087109539
PBK,0.02974960068603552
PDCD1,0
PDPN,8.333333333333334e-4
PDZK1IP1,0.2617554990533924
PECAM1,0.4221947272154523
PGR,0
PHGDH,0.11629659737516373
PI3,0
PIK3CA,0.18540603365718433
PLEK,0.1304090549373711
PLVAP,0.11181521977558823
POU2AF1,0.20163773231678106
PRLR,0.019279330940418324
PTEN,0.033370557758860414
PTPRB,0.02140779862805207
PTPRC,0.0012073235849831595
PTTG1,0.05290043915717343
RAMP2,0.1504967908771519
RB1,0.21519822236281996
RPL13,0.18910633792615963
RPL18,0.368983441215395
RPSA,0.21868567353249804
RRM2,0.008521743802319093
S100A14,0.26320831002018574
S100A4,0.13434977254179342
S100A8,0.008333333333333333
S100A9,0.11869590081958664
SDC1,0.33562145631398005
SFRP1,0
SIAH2,0.39002293280631156
SKAP1,0.08934808632444652
SLC2A1,0.21293569298661172
SLC39A6,0.2220851641356715
SLPI,0.2333258311745886
SNAI2,0.06610167201015839
SOX18,0
SOX4,0.235226944423359
SPDEF,0.20496063573065645
SPP1,0.19765311908970853
STAT5A,0.1781338363658803
STMN1,0.6639418538287515
SULF1,0.18134903362887095
TAGLN,0.07426579982092432
TBX21,0.08410709078264482
TCF4,0.023890355858755572
TCL1A,0
TFEC,0.027433902097868848
TFF1,0.3979190711468388
TFF2,0.04254881643197244
TFF3,0.06579613007145277
TFRC,0.08322487241350501
THEMIS,0
THY1,0.11259485376027875
TIMP1,0.04338311696405751
TMEM45B,0.19831479933857632
TMSB10,0.5550925455282777
TP53,0.23999058443196503
TPM2,0.23935650480348172
TRAC,0
TRDC,0
TSPAN1,0.01765120469099883
TTC6,0.22055567807932544
TTYH1,0.2401214916789694
TYMS,0.31666110004169473
UBE2C,0.24845106205054734
UBE2T,0.07353920340778865
VIM,0.11242039809952654
VSIR,0.09937775668682625
XBP1,0.7182811109116314
XCL1,0.10684721403333444
ZEB1,0.11485219209277378
ZNF571,0.17867955024292625
