target,imp
IL18,0.038499157662317623
SEMA3F,0.14748356601506696
IL20,0.27489107697599996
CSF1,0.11956917038785214
RARRES2,0.029974272253702174
WNT2,0.06205823858895831
NRG4,0.15445396514908608
INHBB,0.35494210954945993
WNT4,0.07035757709551353
EDA,0.13461830456774745
BMP4,0.12195532046540106
WNT5A,0.31619955299892333
PTN,0.17172583765966848
CXCL12,0.12248909147990356
TRH,0.019929877477056056
GDF9,0.06307255290397505
TNFSF11,0.0940633154988084
GDF11,0.15386717571028416
TNFSF12,0.13389809943981962
CXCL1,0.20747753968812532
TSLP,0.10529983506019361
HBEGF,0.127917057124887
ANGPT1,0.20388888359748886
APLN,0.25251579748432396
CX3CL1,0.1276123409507174
FGF13,0.23477483763676119
ANGPTL3,0.2881777280901328
IAPP,0.08518257333217184
CALCA,0.11958961285760118
BMP5,0.3018640037565265
PDGFA,0.13380732124170766
TGFB3,0.15113706669388538
CCL26,0.09137189748201952
IL15,0.23812401159479568
PTHLH,0.05626438905972424
GDF7,0.10014360276699037
TNFSF14,0.08190910670853903
CXCL2,0.07248904354640477
CCL11,0.13382998823111533
OSTN,0.32939818158049294
CD70,0.08753847181358836
IL7,0.22795701572393878
CLCF1,0.16949872995793025
NRG1,0.15922242494131933
CXCL10,0.06885090042841681
TGFB2,0.06526749582747404
CXCL13,0.13131229146959622
NTS,0.12326142740259502
PDGFB,0.050962057071935504
PGF,0.16498173879509306
VEGFC,0.14223712220131723
NRTN,0.2941902036415271
IL27,0.38329552920649335
IL16,0.2026149307002487
WNT3,0.224717362354778
AREG,0.03926075159015751
INHBA,0.2266440414962958
SHH,0.16991863979839397
PDGFD,0.18555247772723857
CCL8,0.05323509933774835
CCL28,0.1878203492236117
IHH,0.05560572969030206
CCL16,0.23557517564307834
EPO,0.08935798819306688
IL34,0.03936393225572195
MDK,0.1634441617430549
BMP2,0.1485049235321909
BTC,0.1212011960566542
IGF1,0.1407374022187944
CXCL6,0.24181161530648207
GAS6,0.08687517202081083
CCL20,0.1770691068652396
NODAL,0.13265325001528558
MST1,0.08756531257969465
CCL5,0.12104746040610646
AMH,0.09951956369844682
IL19,0.16998474759623608
CCL21,0.38083697596680466
IL11,0.10246634075635365
TNFSF8,0.11067067397331369
PDGFC,0.06130651895488905
ADM,0.15518766486319666
UCN,0.06961017211754393
FGF2,0.10869434269174708
NTF3,0.10230071662098802
TGFA,0.2217867364644291
CCL15,0.028834808788895012
TGFB1,0.41965803466507395
INHBC,0.04408087083455864
EDN1,0.30132694152549133
AGT,0.11106662431448765
FGF7,0.11482507247267319
INHA,0.06147674623454501
IL24,0.2675596267935748
FASLG,0.04870743828177454
BMP6,0.6310867659855638
CCL3,0.29106706814640326
IL1RN,0.26522905154854015
NRG3,0.07590878538017615
NRG2,0.14862563131959639
KITLG,0.17803923068363584
VEGFA,0.13008880817645627
TNFSF10,0.2641520242571126
BMP7,0.14413876930213335
CALCB,0.14171772805937558
IGF2,0.06061826571982509
HGF,0.1179965061525927
EBI3,0.13973391180584738
ANXA1,0.09674530879901204
TNFSF13B,0.2015197397982927
PYY,0.20583213533458175
PSPN,0.24445901203052117
GDNF,0.0996557751843514
TNFSF15,0.08378944929896219
FGF1,0.16469561271144428
CCL2,0.12780889943266072
TNF,0.10006390553473253
VEGFB,0.00937923852071828
POMC,0.13869043418086416
NMB,0.05585237780090298
LIF,0.11862898365731964
