target,imp
EDNRA,3.488170444692182e-4
CDON,5.0125313283208015e-5
CD47,0.029665107427435528
IL22RA1,1.5370058873002523e-4
UNC5D,0
PTGIR,2.237857591339715e-4
IL13RA1,0.05736334970255766
ACVRL1,1.9047619047619035e-4
TYRO3,0
CD46,0.05559990908884708
CCR2,0
CHRM3,7.692307692307685e-6
ACVR2B,5.225316673751297e-4
SELL,0.0010002882773804953
C5AR1,0
CCR1,3.0204853149207162e-5
ADIPOR1,0.023265823654501975
LTBR,0.0027466242326758877
ACVR1,3.083284246852595e-5
RAMP2,4.074897210840901e-5
BMPR2,0.11817193494233781
OPRD1,2.4729803993405465e-5
KLRD1,3.5483597153426375e-4
LPAR2,6.180090241304666e-4
LGR6,0
CMKLR1,1.0576130492336841e-4
LRP5,0.0012815319418777657
IL10RA,8.602219817166499e-4
ROBO1,1.1350424256587165e-4
TACR2,0
RET,0.05398843337101145
PLXND1,0.2629501478754083
FGFR1,0.17339459848847533
IL11RA,8.419644954528677e-4
ROR2,0.06590551695672799
CXCR2,0
RAMP1,0.007016138428293797
ROBO2,5.089104154987285e-4
NOTCH2,6.302764340108219e-4
PTPRU,3.8583752895706894e-4
LRP2,3.749999999999998e-4
IGF1R,0.03840706228424386
LRP1,0.12737659660177922
ACKR3,1.1500131820261095e-8
ADORA1,8.595197866029803e-5
NPR3,0
ITGAD,1.1079644919539424e-8
TBXA2R,4.7619047619047586e-5
IL1RAPL1,0.0022452370319960375
CD93,1.9192493001746674e-4
SCARB1,8.79065242230763e-4
CALCRL,4.8406015368183703e-4
ACVR1C,0
FLT3,0.037352193077045404
SMO,6.684832394843448e-9
ITGA6,0.010203025845853834
EPHB4,6.900189598828118e-4
IL3RA,2.380952380952381e-4
ITGA3,4.6115354143919004e-4
ITGA8,3.333333333333327e-5
OSMR,1.253265424953279e-4
ITGA4,8.409160151109077e-4
SCARF1,4.224466233886662e-4
MC1R,7.141178972281689e-4
DDR2,2.836864506810751e-4
PLXNB2,0.1085924266694791
IFNAR1,0.015283123125820077
EPHA4,5.0013892747985675e-5
FPR3,0.0019754126362469676
PTPRF,0.00970862251846772
