target,imp
CDON,23.131314462111355
PTGIR,17.644370364018947
SELL,28.816773173998808
LTBR,37.96933972464028
BMPR2,30.454741971475816
CMKLR1,23.705033104927697
IL10RA,20.11031346172659
CDH5,26.19665729672543
ROBO1,25.270343992616684
FGFR1,79.94373533630362
FCER1A,23.449988425764538
ROBO2,20.805771127821867
IGF1R,34.75537547805608
LRP1,40.57970869842541
CDH7,30.812930788515793
TBXA2R,36.48374241194408
IL1RAPL1,25.835324714882876
FLT3,22.538281119250243
ITGA6,45.97412281970256
IL3RA,47.51104776615232
ITGA4,28.044438993875918
SCARF1,24.283656248124142
RTN4RL1,32.15166966609159
DDR2,41.54989113029816
FPR3,32.70561651844239
BDKRB2,33.07741122018853
GFRA1,29.759218351319824
ITGAL,19.71524965497775
CD36,28.908605761315233
ERBB4,14.104198953398605
C5AR2,23.00329996149638
CCRL2,20.19433691067539
ATP6AP2,53.221074379807185
ITGB7,28.351978202573196
EDNRB,28.682761401488587
NOTCH1,27.439287613394256
INSR,31.900741579275955
EPHB2,22.318142138904207
FPR1,30.664645194345603
ITGA5,23.230555437764522
NRXN3,24.067817389974202
ITGA11,24.097461946346716
DCC,36.089044483399704
PTPRM,39.31960218313464
MARCO,18.675051659695697
BAMBI,35.78922157941695
TNFRSF12A,26.499958108124016
PLXNC1,26.941502753661176
NEO1,30.294807040267106
ADCY1,30.33771982857596
TNFRSF21,23.56700819924014
ROBO3,29.621035185744628
NOTCH3,46.39248234815579
ITGB8,33.33310217443416
ASGR2,44.974752155143754
IGF2R,46.27385708590952
IFNLR1,22.79286244090308
ROBO4,23.621588252270367
THBD,30.748511235713572
MERTK,19.7940781071592
CD72,29.987833290930716
CD74,40.67940911458017
CD4,28.1719163965132
CSF1R,22.39715103389069
LDLR,22.144702369470142
GPR39,19.374170362572215
ACVR2A,52.25181151608991
GPR135,40.43004808621316
TLR4,28.95438189880477
GRIN2D,22.760924071160584
LPAR3,26.411795970112795
HMMR,29.482488510057006
PROCR,40.84794279076396
NPR2,28.5504701974451
CXCR4,26.524438997145072
TNFRSF10C,31.03410371765805
FZD3,27.14675943041717
PLXNA2,37.38609840336577
PTPRG,24.092734651756746
PTCH1,37.4830355189113
GPR182,25.796836079885725
RAMP3,37.81172607023531
GPR35,36.79039783718845
CLEC1B,24.572728440575155
CLEC2D,26.81968308316727
PTPRD,25.73225694839763
HAVCR2,18.39117252709151
PTPRC,25.412318234639994
CD33,25.010931716268843
AR,27.701985626618615
CD38,24.55663820302446
CHRNA4,27.417010492930622
GRM4,40.13191287849192
TLR1,19.750488856608932
CD247,27.525827709283053
SORCS2,22.214604356202525
GPR176,23.15275173592619
P2RY8,20.63373027044841
CLEC7A,21.291154840678832
PAQR7,31.911985565868008
HCAR1,30.998740856986682
GPR161,26.708031854491956
TLR3,27.680889634715516
P2RY13,21.594682658287383
CLEC5A,31.417903569072465
GPR4,18.833151012579584
PTPRN2,26.408856033980623
ADRA1B,16.22236165406589
GPR65,47.97577743509164
RELT,13.733189621762078
OR9Q1,18.9610141336418
GPR34,42.67068527042238
GPR173,26.367422134623418
ADORA3,30.321418208901036
CD300LF,53.641528576866094
PTPRH,25.555514732312346
ESR1,63.758691300478056
GRM8,25.08288215464971
P2RY11,37.73817326498457
ADRA1A,31.340518332476265
LPAR5,26.981559856559283
NLGN2,23.457359853926015
NRP2,32.97006256637089
ENG,25.858872099977084
IL6ST,39.56048708892154
TREM2,21.214133691725465
LIFR,23.15582693207425
EGFR,19.255620859293415
DYSF,21.749934690217597
IL1RAP,41.039450485916824
IL17RA,30.543146761394215
TGFBR3,29.60399391003682
PLAUR,41.32146831572349
SDC4,32.44582134835238
IL1RL1,27.955064641546805
FGFR2,40.91550232099784
TRAF2,30.74254149968874
HFE,26.569994057155327
