target,imp
CD19,1132.3675653682403
PECAM1,1045.7798434384076
HLA.DRA,1142.366498613129
MKI67,1191.3609520220405
CD274,1147.4419269606137
FAP,962.755525267776
CTLA4,1066.2990729547005
CD69,1216.382103854114
CD2,1194.1939723836344
B3GAT1,1146.278974912536
PDPN,1143.0469049918775
HIF1A,1291.0029748688235
COL4A2,1204.0561373524795
NCAM1,1002.7437472376737
IGHM,1384.8949550836874
MMP12,1061.107847591869
CD36,1289.9386291230687
CD9,1216.0368109723233
CD1C,1187.296875061113
ITGA6,1028.9953074531977
PTPRC,1270.2660323509551
FCGR3A,1087.9350986374054
FOXP3,1026.7212866279958
IL3RA,991.652690422383
KRT19,1465.973456702275
HLA.B,1187.6857123934894
THY1,1232.195962241559
IL7R,1034.7867891802896
ICOS,1067.0260665252677
CXCR5,976.5023215369732
KIT,1067.4385977558616
PDCD1,1073.1013168200361
CD5,1070.0771271708297
PDCD1LG2,1032.7976693346068
ITGAX,1129.3486905246066
VIM,1219.9218260358805
ICAM1,1333.6495387043044
LILRB1,1020.0252051438242
CD7,1157.3170510886737
FUT4,1139.176486644738
CR2,1004.8300203093876
CD38,1474.4682735471183
CD4,1123.5621673246787
ISG20,1058.4681253139936
CEACAM1,1318.0831174491893
CD40,1077.598972951959
CD8A,1068.069537869707
PTPRCRA,1084.0645169605734
ENTPD1,1045.0302293851703
