target,imp
CD19,282.2793762348983
PECAM1,4927.104587651749
HLA.DRA,273.76179732870287
MKI67,555.0003233932216
CD274,1560.2225572422979
FAP,351.501762684832
CTLA4,351.93503700702473
CD69,183.88613176175468
CD2,250.36759066436827
B3GAT1,339.6222833979542
PDPN,948.6437455918389
HIF1A,606.1573311236408
COL4A2,393.3276587373283
CD40LG,675.3592908148712
NCAM1,2219.90051942272
IGHM,247.6456679727255
MMP12,4753.090288479165
CD36,344.30326818336624
CD9,864.6064911051304
CD1C,262.14338598651517
PTPRC,267.76084916024325
FCGR3A,448.21028635117597
FOXP3,302.6994525060587
IL3RA,6977.907298305304
KRT19,322.75560882135164
HLA.B,1533.0957412747769
THY1,291.6795477016138
IL7R,1868.3031875396152
ICOS,529.0409532903869
CXCR5,560.9282369799872
KIT,286.030225842808
PDCD1,1196.6051128228548
CD5,190.0310097121047
PDCD1LG2,3088.048478305142
ITGAX,248.77572039199435
VIM,281.9496410013286
ICAM1,347.8694769741098
LILRB1,321.8328793995017
CD7,225.76092098332364
FUT4,912.8162228592466
CR2,351.13357697518336
CD38,223.7644175107268
CD4,782.817312729154
ISG20,2961.46177801139
CEACAM1,304.7928741017088
CD40,589.644341543681
CD8A,699.616010755245
PTPRCRA,245.3501216946794
ENTPD1,1381.0497295778573
