target,imp
CD19,1573.3950770495223
PECAM1,1516.5347397647065
HLA.DRA,1492.0345664588206
MKI67,1486.75723240495
CD274,1550.2949305163665
FAP,1354.9554041985143
CTLA4,1578.5658795912582
CD69,1587.0431149340186
CD2,1407.0526298190755
B3GAT1,1482.1711531716264
PDPN,1612.3795571137543
HIF1A,1578.3535853455166
COL4A2,1561.4408512657894
CD40LG,1446.877010813008
NCAM1,1563.410304459362
IGHM,1922.384274093261
MMP12,1451.4947610427078
CD36,1725.0282899588146
CD9,1435.2183058169614
CD1C,1645.4572034998625
ITGA6,1344.1392133423265
PTPRC,1625.976405023257
FCGR3A,1459.8105789340507
FOXP3,1381.252485858432
IL3RA,1375.417067185905
KRT19,2190.702321868184
HLA.B,1631.7405951898588
THY1,1837.838248812473
IL7R,1331.9312646928022
ICOS,1492.3890960438955
CXCR5,1442.7467888752667
PDCD1,1421.269835473505
CD5,1563.2718850346916
PDCD1LG2,1355.8054313768507
ITGAX,1533.1107774711706
VIM,1583.7819342177481
ICAM1,1695.2373040335574
LILRB1,1401.7872737589298
CD7,1624.6444497378252
FUT4,1499.1036820013628
CR2,1427.4409470356552
CD38,1899.1464356796193
CD4,1340.8782306539622
ISG20,1342.9325382832653
CEACAM1,1694.669646261161
CD40,1671.935491196831
CD8A,1452.8896896976314
PTPRCRA,1637.4353457806178
ENTPD1,1462.8718910959788
