target,imp
IL18,0.013333333333333334
SEMA3F,0
CSF1,0.0367645202020202
RARRES2,0
CXCL11,0.009946524064171123
WNT2,0.03970777692017662
NRG4,0
NGF,0
INHBB,0
WNT4,0.009166666666666667
EDA,0.010380444455739914
BMP4,0.015275892659126194
WNT5A,0.013901098901098901
PTN,0.012465838509316771
CXCL12,3.0608556552769e-5
TAC1,5.474803099186783e-5
TNFSF11,0
GDF11,0.013317214066276908
TNFSF12,0.01617481203007519
CXCL1,0.009951456310679611
TSLP,0.051114916967172096
ANGPT1,0.017142857142857144
CX3CL1,0.003271221532091097
FGF13,0.04635254666782578
ANGPTL3,0.017990196078431372
ADCYAP1,0.030769230769230767
BMP5,0
PDGFA,0
TGFB3,0.0013440860215053762
FGF9,0.030831230869311957
CCL26,0.019141494435612083
IL15,0
CD40LG,0.009166666666666667
PTHLH,0.04643434343434343
TNFSF14,0.019555555555555555
CXCL2,0.0025749480648918667
CCL11,0.026963504000141355
OSTN,0.009615384615384616
CD70,0.027059049428966874
IL7,0.028749843565676766
WNT11,3.394672152113527e-5
CLCF1,0.011372650631751604
OXT,0.02320171763541514
NRG1,0.005415359599855123
DHH,9.386973180076627e-4
CXCL10,0.009375
TGFB2,0.028443051201671895
IL23A,0.0095
EDN2,0
CXCL13,0.025579348965886525
CCL19,4.676781808825206e-4
PDGFB,0.029510869565217392
PGF,0.006711969863055996
VEGFC,0.00962962962962963
NRTN,0.024
IL27,0.04675269276648989
IL16,0.0046
WNT3,0
INHBA,0.0018734177215189874
GHRL,0.018288672225157867
SHH,0.015
PDGFD,0
CCL28,0.0284031007751938
EGF,0.009615384615384616
CCL16,0.019172174369345627
IL34,0
CGA,0
MDK,9.611256300168006e-4
BMP2,0.024355867178672663
BTC,0.005308064129670682
IGF1,0.009899999999999999
CXCL6,0.013528099315276931
GAS6,0.008333333333333333
CCL20,0.024442724458204338
MST1,0.009545454545454546
CCL5,0.009957122796592298
AMH,0.05369772898961642
CCL21,0.03652777777777778
IL11,0.008946428571428572
GDF5,0
TNFSF8,0.009285714285714286
PDGFC,0.012944444444444446
ADM,0.05734841151795791
UCN,0.02677777777777778
FGF2,0.0467550505050505
NTF3,0
TGFA,0.00989247311827957
CCL15,0
TGFB1,0.00989795918367347
INHBC,0
CXCL9,0.038030866895617355
EDN1,0.019744245524296676
LTA,0.006709677419354839
AGT,0.04056399397935124
FGF18,3.278346722266512e-4
FGF7,0.014354577007857536
FASLG,0.01714285714285714
CCL3,0.03953322164105917
NRG3,0.015
FGF10,0.025110768988101433
NRG2,0.010037652315145694
KITLG,0.017775018118130207
VEGFA,0.023537709783428114
TNFSF10,0.017142857142857144
IL1B,0
CALCB,0.015555555555555555
IGF2,0
HGF,0
EBI3,0.028588198007741393
ANXA1,0.008356162296869954
UCN2,0
WNT7B,0.02920955356289336
TNFSF13B,0.0027273869991278027
PYY,0.05360424766921694
PSPN,0
TNFSF15,0
FGF1,0.04008233928274677
CCL2,0
TNF,0.002463235294117647
VEGFB,0.00876188586593477
POMC,0.017708333333333336
ARTN,0.026449275362318843
LIF,3.403992983669428e-4
