target,imp
A2M,0.03617247281165646
ADAM17,2.807349544769342
ADCYAP1,3.931666403936806
ADM,0.9727002224257727
ADM2,1.3014381412089864
AGT,1.2417523415910587
ALB,2.614425536688551
AMH,1.6930597555979063
ANGPT1,2.6296716010879506
ANGPT2,0
ANGPTL1,1.4679083944109999
ANGPTL2,0.7418018406627575
ANGPTL3,0.49005929837655204
ANGPTL4,0.6525948633085871
ANXA1,2.479053573811191
APOB,1.525807475583733
APOD,4.901541947284696
APOE,2.5550402515080233
APP,3.1743340281676975
ARTN,2.1111961951046694
AZGP1,2.892856303224662
B2M,3.871414388511698
BGN,0.38979031155996985
BMP1,6.00896514058337
BMP2,3.0556297177710645
BMP4,1.242612371267449
BMP5,4.640545458300998
BMP8A,2.3012986755135687
BMP8B,5.772379026230983
BTC,3.334796559507498
C1QTNF1,2.0216066899763754
C1QTNF5,2.5984211402819706
C3,0.9414960156790272
C4BPA,2.906222704812968
C5,1.9769785969311033
CALCB,4.343827050165816
CALR,2.079500467856861
CAMP,0.03854226535918081
CCL11,0.6179881715721384
CCL15,2.2558605273894203
CCL16,4.274505421720415
CCL18,2.5579700919380457
CCL19,1.8675602533614144
CCL2,1.2562170733099902
CCL20,3.3943248150852416
CCL21,3.380763950781098
CCL26,0.3617806318941128
CCL28,3.7999087879607383
CCL3,3.618306414597977
CCL4,5.197218732186818
CCL5,2.001392457837559
CCL8,2.482364936597462
CD40LG,0.9390929582511817
CD55,3.312545551145384
CD5L,0.7747799440792005
CD70,3.5305280863107282
CD86,3.001424144101638
CFH,2.3982803503932253
CGA,1.3291498950381706
CGN,3.4333762789447544
CKLF,4.960528120489149
CLCF1,0.5452872728208211
CLEC11A,0.6608989484084593
CNTN4,4.143258851970222
COL11A1,1.2876069482123103
COL14A1,2.9400516214476737
COL18A1,1.927923204880776
COL1A1,4.16291909613341
COL1A2,2.5372711742834833
COL3A1,1.2332826226258349
COL4A1,0.3272646271191734
COL4A2,0.09399359289865444
COL4A3,2.990832968216497
COL4A4,3.3978071433500627
COL4A5,3.5541006948158484
COL4A6,0.3495659726667405
COL5A1,1.7316397765420612
COL5A2,1.5761418668932299
COL5A3,2.2082652504205114
COL6A1,2.2333281041613406
COL6A2,1.1753811317690457
COL7A1,3.874369940342518
COL8A1,1.481652461841703
COL9A1,2.2363199435175534
COL9A2,5.391929246790767
COL9A3,0.6112166675136173
COPA,4.390226186662714
CP,3.412579032435266
CRLF1,1.2709380378464674
CRP,4.596279181695139
CSF1,0.6650802641459621
CTGF,0.5488956449318207
CX3CL1,2.082218319473788
CXCL1,3.4059844408933846
CXCL10,3.8462614758437574
CXCL11,1.4825144569019013
CXCL12,2.921145824710546
CXCL13,3.6038872302627585
CXCL14,0.5244395416461198
CXCL17,2.4535111400147334
CXCL2,1.0685444422634003
CXCL3,2.1504794795980975
CXCL5,3.7621658411995447
CXCL6,1.452620492662939
CXCL9,3.463296433431121
CYR61,0.27693501619134003
DCN,4.568775221998162
DEFB1,0.378139171320887
DHH,3.072809067649288
DKK2,0.564588759604236
EBI3,1.7743535005747626
EDA,2.0237791489418515
EDIL3,3.051425203751654
EDN1,0.9330979111568182
EDN2,2.1967321115076914
EFEMP1,0.7917490216499151
EFEMP2,1.5511851891235873
EFNA1,1.462502088993886
EFNA4,2.0273831368148336
EGF,2.949916223972738
ENHO,3.9523481959772147
F10,1.1407105225676142
F11,1.7713569307356893
F12,0.6184895857532744
F13A1,1.9710164890614248
F2,2.984291177068597
F7,1.3490613941134821
F8,2.4298450935827622
F9,0.3646515486045526
FAM3C,2.068741472524631
FASLG,1.6535667088994666
FBLN1,5.178098282621908
FBLN2,6.756177180621734
FBN1,2.1833451314790477
FCN2,1.5298356422755768
FGA,2.6347466811776723
FGB,2.9484665900410785
FGF1,2.0611325764495945
FGF10,2.0518088303752946
FGF12,1.5988836442146834
FGF13,1.804718881289821
FGF14,1.7249300664714822
FGF18,3.61517655756389
FGF2,1.983258726321226
FGF21,3.013527774759167
FGF7,5.851681213164398
FGF9,1.6257063444879802
FGG,2.110013833191538
FGL1,0.9464986771030242
FN1,0.917469864779269
FST,1.7462219186499555
GAS6,4.54424679963602
GDF10,3.9842214074258737
GDF11,1.572839329907136
GDF15,1.32994356158916
GDF5,2.080183060611993
GDF6,0.914038003624778
GDF7,6.906824502939571
GHRL,3.4738360499924243
GNRH1,1.9345554439673394
GPI,1.7416411717195859
GREM1,2.9702562779273993
GRN,2.0162348571189033
GZMB,2.0531451396329103
HBEGF,1.6114967366308792
HGF,1.1207825177349537
HLA.E,1.2305625821089257
HP,2.2321464646776916
HSP90AA1,2.3374066363178883
