target,imp
A2M,3.346768847619812
ADAM17,0.029119252027002877
ADCYAP1,0.023036240667659424
ADM,0
ADM2,0
AGT,2.075667772628194
ALB,3.373832230758677
AMH,0
ANGPT1,0.27818600214341266
ANGPT2,0
ANGPTL1,0
ANGPTL2,0
ANGPTL3,4.380219732283553
ANGPTL4,0
ANXA1,2.7870400783172653
APOB,5.788412224530042
APOD,4.674854428823203
APOE,7.779735309185779
APP,0.8314172676602846
ARTN,0
AZGP1,0.9887331819066797
B2M,10.506373597307913
BGN,0.5658234515496899
BMP1,0
BMP2,0
BMP4,0
BMP5,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,4.20940051276148
C3,3.823834045691032
C4BPA,0.9558954139301545
C5,0.25140604765546315
CALCB,0
CALR,4.0827275936690235
CAMP,9.04158350660329e-4
CCL11,0
CCL15,0
CCL16,0
CCL18,0
CCL19,0
CCL2,0
CCL20,0
CCL21,3.078681588517219
CCL26,0
CCL28,0
CCL3,0
CCL4,0
CCL5,1.3184835463895539e-5
CCL8,0
CD40LG,0
CD55,0
CD5L,0
CD70,0
CD86,1.4876861996701565
CFH,0.7068685521461997
CGA,0
CGN,0.007572598045353906
CKLF,0.4429975939974378
CLCF1,0
CLEC11A,2.107994462106084
CNTN4,0
COL11A1,0
COL14A1,0.26145489314987563
COL18A1,2.49664562682502
COL1A1,2.537324603426399
COL1A2,2.0773545223350496
COL3A1,1.88309873631056
COL4A1,0.1723440439274272
COL4A2,2.8673266793134204
COL4A3,0
COL4A4,0.004817976380176585
COL4A5,0
COL4A6,0
COL5A1,1.0569765149302182
COL5A2,0.48013991180898796
COL5A3,0
COL6A1,0
COL6A2,1.5138026776155797
COL7A1,0.946591172435288
COL8A1,1.9095302473314228
COL9A1,0
COL9A2,0
COL9A3,0
COPA,1.11503498583181
CP,2.173598281502794
CRLF1,3.6467839710136793
CRP,4.8139390499211006
CSF1,0
CTGF,0
CX3CL1,0
CXCL1,0.6347190489767424
CXCL10,0
CXCL11,0
CXCL12,0
CXCL13,0
CXCL14,0
CXCL17,0
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,2.7286856056724105
CXCL9,0
CYR61,1.4705836550551823
DCN,4.465172021258452
DEFB1,3.751190539341905
DHH,0
DKK2,0
EBI3,0
EDA,1.482023960312001
EDIL3,0
EDN1,0
EDN2,0
EFEMP1,1.0856972652028454
EFEMP2,0.41627832400637793
EFNA1,0
EFNA4,0
EGF,0
ENHO,0
F10,1.3857012253205934
F11,1.1946499903374963
F12,0.0023963181522198805
F13A1,1.7040383288667937
F2,1.1962727219089353
F7,0.2521936010765792
F8,0.054458958277745814
F9,0.047410242994083085
FAM3C,0.6857472411817747
FASLG,0
FBLN1,0.4992481695219424
FBLN2,0
FBN1,0
FCN2,0
FGA,6.055915746656411
FGB,6.430292521274307
FGF1,1.3966637235580839
FGF10,0
FGF12,0.7114561780553977
FGF13,0
FGF14,0
FGF18,0
FGF2,0
FGF21,0
FGF7,0.003986708428945027
FGF9,0
FGG,5.20664825000296
FGL1,4.34898244841301
FN1,4.11410555299654
FST,0
GAS6,0.46067914833941875
GDF10,0
GDF11,0.015660147837707618
GDF15,0
GDF5,0
GDF6,0
GDF7,0
GHRL,0.8144527590642341
GNRH1,0
GPI,2.710346362639532
GREM1,0
GRN,0.11274878117366796
GZMB,0
HBEGF,0
HGF,0
HLA.E,6.2435227382327
HP,4.311168731139282
HSP90AA1,2.5370441765305687
IAPP,0
IGF1,0
IGF2,1.1390829486713923
IGFBP4,3.1782757752648627
IL11,0
IL12A,0
IL15,0
IL16,1.6387869296730733
IL18,0.6364653839860968
IL1B,0
IL1RN,0
IL23A,3.8978696845842986e-4
IL27,0
IL33,0.06910872200297828
IL34,0
IL7,0
INHBA,0.9414002378551137
INHBB,0
INHBC,1.7161282860209197
INHBE,0
KITLG,0
KNG1,4.196044682456355
L1CAM,0
LAMA1,0
LAMA2,2.418288633536929
LAMA3,2.3416750904613974
LAMA5,0.4983986922755379
LAMB1,7.244838032407927
LAMB2,0.15439435194526488
LAMC2,6.902799080323543
LCN2,0
LEFTY1,0
LGALS1,8.432366740444907
LGALS3BP,3.8559033518530823
LGALS9,2.5822606056547412
LIF,0
LPA,2.9471798984793107
LTA,2.5967045794533283
LTB,1.6266097799214574
LTBP3,0
LTF,0
MDK,1.6561592659846667
MEPE,0
MFGE8,1.0443909642822917
MIF,0
MLN,0.00993085822434529
MMP2,0
MMP7,0
MMP9,0
MST1,0.008376814788239794
"NAMPT",9.32294914945147
NCAM1,0
NGF,4.498993015217438
NID1,0.08905154595126082
NID2,4.131079556059114e-4
NLGN1,1.4201047767816903
NPNT,0.4107947086564656
NPW,0
NRG1,0.5918987088205497
NRG2,0
NRG3,0.06509940124754374
NRG4,0
NRTN,0
NTF3,0
NTN1,1.4120468220484301
NTN4,3.719662918802172
NTNG2,0
NTS,0.7406418325773427
NXPH1,1.2808769587259876
NXPH2,0
NXPH3,0
OLFM2,0
ORM1,3.7295756987256947
OSTN,0
OXT,0
PCSK9,0
PDCD1LG2,0
PDGFA,7.493675679174316e-4
PDGFB,0
PDGFC,0.2906146219081121
PDGFD,0.3856832917362881
PGF,0
PLA2G10,0
PLAT,1.8356575660127517
PLAU,0
PLG,6.406564035777991
POMC,0
PRND,0
PROC,0.7793957882835322
PSAP,2.7025130383957956
PSPN,0
PTHLH,0.014559626013501435
PTN,0
PYY,0
RARRES2,1.1020970409309476
RBP4,3.3232951924989593
RELN,0
RETN,0
RGMB,0
RPH3A,0
RSPO2,0
RSPO3,0.004412007882879225
RSPO4,0
S100A8,0.25772129012913103
S100A9,0
SAA1,4.221829266953028
SEMA3A,0
SEMA3B,1.8828080505836402
SEMA3C,0.017806685842205
SEMA3D,0
SEMA3E,0
SEMA3F,0
SEMA3G,1.9492760941284235
SERPINA1,4.629254924982154
SERPINA7,0
SERPINC1,2.2890420421373814
SERPINE1,0
SERPINE2,2.740549616834211
SERPING1,4.326237609654799
SFTPD,0
SHH,0.5864496416913457
SLIT2,0
SLIT3,0
SPINT1,0.7744130098259325
SPON2,0.029119252027002877
SPP1,2.947507563768511
TAC1,0.010782074643574883
TF,3.320081547155313
TFF1,0
TFPI,0.9675648741901688
TG,0
TGFA,0
TGFB1,0
TGFB2,1.9606721514097212
TGFB3,0.4888389352105799
TGM2,0
THBS1,2.0801208978228165
THBS2,4.760191244250681
THPO,0
TIMP1,9.117646557884447
