target,imp
A2M,8.266317806021487
ADAM17,0
ADCYAP1,0
ADM,0
ADM2,0
AGT,3.946313546347345
ALB,12.363897779389195
AMH,0
ANGPT1,1.8368459399700652
ANGPT2,3.1176853307477916
ANGPTL1,0
ANGPTL2,5.542059345277054
ANGPTL3,0.6775288945419256
ANGPTL4,2.245171901419845
ANXA1,9.663690738349542
APOB,4.507949964106166
APOD,2.627873242924724
APOE,12.94418036035526
APP,3.0736492210056583
ARTN,0
AZGP1,5.942605082695151
B2M,12.04158247721329
BGN,3.022211957655829
BMP1,0
BMP2,1.8491040525135662
BMP4,0.3985695302245537
BMP5,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,8.355401287841998
C3,2.913206591111897
C4BPA,1.0924028154703607
C5,7.704808765683717
CALCB,0
CALR,6.002886938188045
CAMP,0
CCL11,0
CCL15,0
CCL16,0
CCL18,0
CCL19,1.2880550331654523
CCL2,0
CCL20,0
CCL21,4.511142619949167
CCL26,0
CCL28,0
CCL3,0
CCL4,2.1529818884692897
CCL5,3.7269217099232526
CCL8,0
CD40LG,0
CD55,0.532243703373758
CD5L,0
CD70,0
CD86,0
CFH,8.770851058848423
CGA,4.221834112702656
CGN,2.620028048432973
CKLF,1.1793604460916993
CLCF1,2.2111888928817502
CLEC11A,4.472657005227382
CNTN4,0.9073343733195232
COL11A1,0
COL14A1,2.7467247886872155
COL18A1,3.3488291685994995
COL1A1,9.54613105256173
COL1A2,6.608473561816177
COL3A1,8.414349145383383
COL4A1,7.74622457773505
COL4A2,5.043260050432381
COL4A3,0
COL4A4,0
COL4A5,1.837840344576361
COL4A6,0
COL5A1,0.2714924906082931
COL5A2,7.265044938877762
COL5A3,1.5222026807135136
COL6A1,1.1138129094842215
COL6A2,2.922515981935282
COL7A1,0
COL8A1,0.44860570885658563
COL9A1,0.03298907926029765
COL9A2,0
COL9A3,0
COPA,2.8400995133329716
CP,2.997892299951124
CRLF1,0.018514883029608686
CRP,4.640095480642489
CSF1,0.7586289623880463
CTGF,7.376238901687065
CX3CL1,1.7111298733506106
CXCL1,0.5056828738339026
CXCL10,0.7781349524286141
CXCL11,0
CXCL12,0.37918049771985307
CXCL13,0
CXCL14,0
CXCL17,0.019448499524135663
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,0.06848803176343367
CXCL9,1.978681320836747
CYR61,5.575906748114806
DCN,8.473788439364265
DEFB1,4.112600442439435
DHH,0
DKK2,0
EBI3,0
EDA,0
EDIL3,1.388763701145163
EDN1,2.306271149544285
EDN2,0
EFEMP1,2.2693329584132127
EFEMP2,3.332029713164671
EFNA1,0.14822610579084464
EFNA4,0
EGF,0
ENHO,0.3140977958270941
F10,0.1395463070742663
F11,1.6364912773801257
F12,2.6583123465053857
F13A1,0.06809889521932325
F2,5.272123942901304
F7,4.189788019570384e-4
F8,0
F9,0.053932675394379966
FAM3C,1.4375223142868268
FASLG,0
FBLN1,6.6737316399919235
FBLN2,4.65045009602886
FBN1,7.296971672281313
FCN2,0
FGA,9.723433421302817
FGB,12.630722187061908
FGF1,0.09504451602738431
FGF10,0
FGF12,3.2802560079312473
FGF13,3.033820424974162
FGF14,3.0875898443718337
FGF18,0
FGF2,0
FGF21,0
FGF7,0.07377540220259082
FGF9,0
FGG,12.328311573241672
FGL1,6.136363380380431
FN1,7.638077689527339
FST,1.273171984406553
GAS6,8.632444047644222
GDF10,0
