target,imp
A2M,2.265955581828731
ADAM17,0
ADCYAP1,0
ADM,0
ADM2,0
AGT,1.0133055234245025
ALB,5.8987920345622396
AMH,0
ANGPT1,0.03060372537623393
ANGPT2,0
ANGPTL1,0
ANGPTL2,0
ANGPTL3,0.6420294402930046
ANGPTL4,0
ANXA1,1.3693186878909387
APOB,0.009141335792606002
APOD,1.0020868929886866
APOE,4.072686069963964
APP,2.2760811883097096
ARTN,0
AZGP1,0.13493427707430197
B2M,6.166390983830465
BGN,0.7785526453771134
BMP1,0
BMP2,0
BMP4,0
BMP5,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,1.1835567245365142
C1QTNF5,0.002752965104631141
C3,1.597645441916366
C4BPA,0.002599700700601044
C5,0.001012655468553173
CALCB,0
CALR,1.9391536942281002
CAMP,0
CCL11,0
CCL15,0
CCL16,0
CCL18,0
CCL19,0
CCL2,0
CCL20,0
CCL21,1.671302372264031
CCL26,0
CCL28,0
CCL3,0
CCL4,0
CCL5,0.20728778858406088
CCL8,0
CD40LG,0
CD55,0
CD5L,0
CD70,0
CD86,0.0013298816953936832
CFH,1.563588256217061
CGA,0.3358207569160173
CGN,0.6142207203309704
CKLF,0.8884756963931112
CLCF1,0
CLEC11A,0.9872021848984448
CNTN4,0
COL11A1,0
COL14A1,1.1537213386518972
COL18A1,3.903822973976777
COL1A1,2.332574363826186
COL1A2,5.100028647664512
COL3A1,2.83476528106905
COL4A1,1.2245204559097969
COL4A2,0.45542036467688035
COL4A3,0
COL4A4,0.03080262067070621
COL4A5,0
COL4A6,0
COL5A1,0.6261561448010797
COL5A2,0.9115859345340743
COL5A3,0
COL6A1,0.6174047998337793
COL6A2,3.608347180703725
COL7A1,0
COL8A1,0
COL9A1,0
COL9A2,0
COL9A3,0
COPA,2.036878691702728
CP,1.3452016731757446
CRLF1,0
CRP,0.5638562802999695
CSF1,0
CTGF,2.043614694947135
CX3CL1,0
CXCL1,0
CXCL10,0
CXCL11,0
CXCL12,3.5473948203177845
CXCL13,0.04588210275825659
CXCL14,0
CXCL17,0
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,1.5899566463969774
CXCL9,0
CYR61,0.3468368422356537
DCN,3.8380660370487654
DEFB1,0.9955915419582538
DHH,0
DKK2,0.024409623927729447
EBI3,0.11500643618580217
EDA,1.712672864639791
EDIL3,2.8142338733959025
EDN1,1.3822404523381744
EDN2,0
EFEMP1,0.1322417085971999
EFEMP2,0.40654649331536363
EFNA1,0
EFNA4,0
EGF,0
ENHO,0
F10,0.11058554417793573
F11,2.29559919599512e-5
F12,0.6587752642694916
F13A1,0
F2,1.2206294072156287
F7,0
F8,0
F9,0
FAM3C,0
FASLG,0
FBLN1,1.2868232745396568
FBLN2,0
FBN1,1.9048525236212257
FCN2,0
FGA,5.361027815748974
FGB,4.428700099765411
FGF1,0.004033591451275305
FGF10,0
FGF12,0.0028618207977989963
FGF13,0.4171147740673922
FGF14,0
FGF18,0
FGF2,0
FGF21,0
FGF7,6.519786306027997e-4
FGF9,0
FGG,0.6550668470756145
FGL1,1.8877895619075928
FN1,4.1456603784917325
FST,0
GAS6,0.24709028701761995
GDF10,0
GDF11,3.272710942386959
GDF15,0
GDF5,0
GDF6,0
GDF7,0
GHRL,0
GNRH1,0
GPI,1.0854764135479196
GREM1,0
GRN,1.3604218079399106
GZMB,0
HBEGF,0
HGF,0.9654655036138134
HLA.E,2.8619642918977024
HP,2.91334621975532
HSP90AA1,4.148782632530743
IAPP,0
IGF1,0.005456900298049913
IGF2,4.329057035182907
IGFBP4,3.0045976668309753
IL11,0
IL12A,0
IL15,0
IL16,0
IL18,0.017019240776870562
IL1B,0
IL1RN,0
IL23A,0
IL27,0
IL33,2.277249728388733
IL34,0
IL7,0
INHBA,0.02347860711935311
INHBB,1.8013991107363427
INHBC,0
INHBE,0
KITLG,0.4054030252363327
KNG1,1.8169359016647713
L1CAM,0
LAMA1,0
LAMA2,0.7065068017392305
LAMA3,0
LAMA5,0
LAMB1,1.0950465437535204
LAMB2,6.035537595688013
LAMC2,0
LCN2,0
LEFTY1,0
LGALS1,1.246982111775918
LGALS3BP,0
LGALS9,0
LIF,0
LPA,0
LTA,0
LTB,2.4150054905208487
