target,imp
A2M,1.9132886597685483
ADAM17,0
ADCYAP1,0
ADM,0
ADM2,0
AGT,0.7538182410384411
ALB,5.543209906623324
AMH,0
ANGPT1,0
ANGPT2,0
ANGPTL1,0
ANGPTL2,0
ANGPTL3,0.6541710389015578
ANGPTL4,0.49673201055375527
ANXA1,1.7976575676416786
APOB,1.3942202546037534
APOD,2.642834550881399
APOE,8.352966238964934
APP,1.1210727162408538
ARTN,0
AZGP1,0.5045713490206732
B2M,5.870573738347903
BGN,2.40739851050024
BMP1,0
BMP2,0
BMP4,0
BMP5,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,0
C3,3.1997010064620723
C4BPA,1.7631503688348005
C5,0.08130817270789477
CALCB,2.721140018815077
CALR,1.8710949408104298
CAMP,0
CCL11,0
CCL15,0
CCL16,0
CCL18,0
CCL19,0
CCL2,0
CCL20,0
CCL21,0.1972461433581834
CCL26,1.5781095103101899
CCL28,0
CCL3,0
CCL4,0
CCL5,1.2004489853210112
CCL8,1.519932206973821
CD40LG,0
CD55,0
CD5L,0
CD70,0
CD86,0
CFH,4.523792495401083
CGA,0
CGN,2.330067515031932
CKLF,0.566636197180842
CLCF1,0
CLEC11A,2.1953031614458776
CNTN4,0
COL11A1,0
COL14A1,0.13497147609396365
COL18A1,0.26817349908554805
COL1A1,7.075786617266244
COL1A2,3.442590730536985
COL3A1,4.750024138417957
COL4A1,0.8751013756287678
COL4A2,0
COL4A3,0
COL4A4,0
COL4A5,0
COL4A6,0
COL5A1,0.42222041065639465
COL5A2,1.9939192881305712
COL5A3,0
COL6A1,0
COL6A2,1.1776008780601805
COL7A1,0
COL8A1,1.5849440607419805
COL9A1,0
COL9A2,0
COL9A3,0.4449127302202486
COPA,0.5238131762919263
CP,3.419909398770522
CRLF1,0
CRP,3.008027230811999
CSF1,0
CTGF,0.11632602393535026
CX3CL1,3.875500082781061
CXCL1,0
CXCL10,0
CXCL11,0
CXCL12,1.959574925045654
CXCL13,0
CXCL14,0
CXCL17,0
CXCL2,2.1339446131990214
CXCL3,0
CXCL5,0
CXCL6,2.9739927444492382
CXCL9,0
CYR61,0.19571597551015826
DCN,5.43440937527281
DEFB1,2.276772409880751
DHH,0
DKK2,1.2516796986403802
EBI3,0
EDA,0.0747066181351441
EDIL3,0.433010596659393
EDN1,0.7148671592678064
EDN2,0
EFEMP1,0.6335128123794992
EFEMP2,1.8817466377865188e-4
EFNA1,2.6262418786182873
EFNA4,0
EGF,0
ENHO,0.0014552706515286661
F10,2.19135258798936
F11,0.8342012260948269
F12,1.0173016714831942
F13A1,0.8073304946068006
F2,5.472182425629876
F7,0
F8,0
F9,0.7415546024115733
FAM3C,0
FASLG,0
FBLN1,0.004412371426533903
FBLN2,1.6984411009571045
FBN1,1.683728316276799
FCN2,0
FGA,5.286547727661445
FGB,4.200408920315333
FGF1,0
FGF10,0.9091709063238205
FGF12,5.735765192004415
FGF13,0.8793597037238231
FGF14,1.7296692809945962
FGF18,0
FGF2,0
FGF21,0
FGF7,0
FGF9,0
FGG,4.99426261801142
FGL1,4.558145048976639
FN1,3.1958333714972453
FST,0.359848742923453
GAS6,1.3530926003101806
GDF10,0
GDF11,0.19510434198256685
GDF15,0
GDF5,0
GDF6,0
GDF7,0
GHRL,0
GNRH1,0
GPI,0.2932778551011744
GREM1,0
GRN,1.303480377862485
GZMB,0
HBEGF,0
HGF,1.6551941839522837
HLA.E,4.077067640835398
HP,6.4100835892598855
HSP90AA1,5.684864501040773
IAPP,0
IGF1,0
IGF2,0.1168440058141596
IGFBP4,5.422078387526567
IL11,0
IL12A,0
IL15,0
IL16,0
IL18,1.3284287236214922
IL1B,0
IL1RN,0
IL23A,0
IL27,0.4082089940482268
IL33,0
IL34,0
IL7,0
INHBA,6.498395575956966e-4
INHBB,2.13722730136785
INHBC,0
INHBE,0
KITLG,2.978766172240201
KNG1,1.6245188833568012
L1CAM,0
LAMA1,0
LAMA2,0.01195576504917226
LAMA3,0.09460128357432186
LAMA5,0.15710023177430743
LAMB1,1.1932011172834966
LAMB2,2.033638506601635
LAMC2,0
LCN2,0
LEFTY1,0
LGALS1,1.0837941351977602
LGALS3BP,3.129512789031976
LGALS9,0
LIF,0
LPA,0
LTA,0
LTB,1.6118021170181445
LTBP3,0.47955831097637364
LTF,0
MDK,6.646345851740507
MEPE,0
MFGE8,0.8403654252388499
MIF,1.1372554147209235
MLN,0.004810477986997546
MMP2,0.02082013068880901
MMP7,2.692864876460176
MMP9,1.272850295786959
MST1,1.1900231956485625
"NAMPT",1.7636972830339612
NCAM1,0
NGF,0
NID1,1.5216420077819919
NID2,0
NLGN1,0
NPNT,2.212560850775033
NPW,0
NRG1,6.256686080626806
NRG2,0
NRG3,0
NRG4,0
NRTN,6.651331832076695
NTF3,0
NTN1,0
NTN4,0
NTNG2,0
NTS,0
NXPH1,0.8963104815034916
NXPH2,0
NXPH3,0
OLFM2,0
ORM1,4.257622954803262
OSTN,0
OXT,0
PCSK9,0
PDCD1LG2,0
PDGFA,0.8180766856976552
PDGFB,0
PDGFC,0
PDGFD,0
PGF,0.06303993527736867
PLA2G10,0
PLAT,0
PLAU,0
PLG,7.977584411106462e-4
POMC,0
PRND,0
PROC,0.26030773576064176
PSAP,4.528118967685108
PSPN,0.30555658116032947
PTHLH,1.264073458615591
PTN,0
PYY,0
RARRES2,0.5056314483741255
RBP4,3.97055406032827
RELN,0
RETN,3.0454306004599903
RGMB,0
RPH3A,0
RSPO2,0
RSPO3,1.8866706098004142
RSPO4,0
S100A8,0.8521262615027999
S100A9,0.9664890400471008
SAA1,5.801135757270987
SEMA3A,7.7876987405047
SEMA3B,0.31013818384674297
SEMA3C,0.002469908554205687
SEMA3D,1.1617859234585524
SEMA3E,1.5838739065789016
SEMA3F,0
SEMA3G,4.241293203397177
SERPINA1,5.3823110877223534
SERPINA7,0.4046775709108843
SERPINC1,1.3990909651114762
SERPINE1,0
SERPINE2,0
SERPING1,3.3662655539967146
SFTPD,0
SHH,0
SLIT2,0
SLIT3,0
SPINT1,0
