target,imp
IL18,14.996922082746226
SEMA3G,8.140725844543246
SEMA3A,4.386994532846932
PLG,5.268471789134991
CXCL11,2.488833346893909
NXPH1,6.241628360556855
NGF,3.965960795664612
L1CAM,7.570486437675164
INHBB,18.499910979255155
NTN1,13.040867499248636
BMP4,26.769433598258082
KNG1,3.531397544105402
FCN2,9.294434496004715
CXCL1,7.884955088938699
LTBP3,1.7118684537842106
CD5L,4.192018711854993
CX3CL1,5.113933113704495
FGF13,8.745260344477868
CYR61,7.555062355027746
ANGPTL3,6.235983516940807
BMP5,13.18582678511078
LAMC2,1.936246561650622
FGL1,5.493777437424874
SLIT3,7.6662656805350515
IL15,10.689753172058477
PTHLH,5.6937287692031235
GDF7,6.259470776244473
RSPO2,2.2656219680577077
SAA1,4.322582224636159
CCL11,2.524008607884817
CD70,5.68671264614675
TF,4.297384086129259
LAMB1,4.3938398922414335
NTN4,1.7501346217730431
IL7,3.5189293792388945
WNT11,21.290820179050183
SPP1,22.63772140896895
NXPH3,7.894551940991801
SLIT2,6.416966724426508
CXCL10,5.8521616203408415
TGFB2,7.174533311257707
IL23A,3.1004472051758394
DKK2,4.126371481668649
CXCL13,12.154547950177875
NTS,6.154729056434687
CCL19,1.833671422272959
LAMA2,6.470914825673232
VEGFC,4.994286948442852
IL27,8.632158310009554
CCL18,6.297550086222213
SHH,7.080510872762095
APOD,5.401602390452305
CCL8,3.674440828353221
ANGPT2,4.7957874260433275
BMP2,3.348451934041542
IGF1,4.443260990210413
CP,12.742836913758824
CXCL6,11.771257919580329
RSPO3,12.127730721497002
HP,6.135397195810366
THBS2,6.210809315107765
ORM1,1.6951365263354308
MFGE8,1.8969476472367774
CCL21,9.071973118459457
ADM,6.4106283102094315
CXCL5,6.7016888816830456
NTF3,13.93732114827739
SEMA3D,16.950894528597185
INHBC,5.6075138288350415
CXCL9,5.333094604213641
EDN1,10.214868662965602
CGN,18.951251016780578
CCL3,10.855467338006328
NRG3,10.120485219276388
SEMA3C,10.739854946740518
APOB,6.79798263078818
EBI3,9.07050440286796
LPA,7.6532234960296845
ANXA1,8.310292629448123
TNFSF13B,10.438684098619314
PYY,10.90522827657358
LAMA3,4.203234540724315
FGF1,3.0502700881646505
TNC,10.527262653768211
LAMA1,11.63983426356501
TNF,7.134507867879298
ARTN,9.494989260410193
LTB,7.3601755455999545
ENHO,2.021640100929425
CXCL14,11.298109217517045
WNT5B,3.4357560397796965
WNT9A,5.7248556813235085
WNT2B,7.4603167513429165
FST,2.4670960354953078
BMP8B,5.729891778151781
FGF12,4.646962708473583
LEFTY1,7.114277476662786
C3,9.306474557905373
CFH,3.86499299653107
PLAT,10.929498904000402
SERPINE1,13.879641141491689
RBP4,16.143278072555432
F7,4.00396857002642
CAMP,7.882340495936752
SERPINC1,10.251206514296053
COL4A5,9.003460257239842
COL4A6,6.948869331835028
COL8A1,17.173675654288644
LCN2,6.8274547078689976
ALB,6.0445362999271515
MMP7,7.809768978870498
F10,13.82089819711854
COL11A1,2.9868182458026853
F2,4.745378657646194
FGA,6.13063705419946
FGB,3.658122184956336
FGG,12.691539360726111
GZMB,7.332278448946587
SERPINA1,6.520985855557908
COL3A1,5.607608745427748
COL1A1,5.536856464827795
COL4A3,2.48053623165089
COL18A1,12.268041942737502
COL5A3,4.585167921306795
MMP9,14.881493915177943
CRP,5.327393604182202
F13A1,10.02825743760826
COL9A1,7.3606491801447715
COL9A3,14.140023973772538
SPINT1,1.8417762162217306
NCAM1,4.924522877563518
COL7A1,8.144738846995338
COL4A4,7.985757657802953
