target,imp
A2M,1.9750879881797614
ADAM17,1.8728925109875896
ADCYAP1,0.9847776651994867
ADM,1.0615605691358225
ADM2,3.0086633266762495
AGT,0.2684318235928899
ALB,1.285060910134814
AMH,1.6734087827877873
ANGPT1,1.207158136341506
ANGPT2,1.930170680860856
ANGPTL1,1.2505280306843078
ANGPTL2,1.4716109884104567
ANGPTL3,1.0847793895975983
ANGPTL4,1.0229400877348
ANXA1,0.6145259739514604
APOB,1.8099594236543441
APOD,2.220679546216567
APOE,1.065391231054667
APP,0.17171069236999095
ARTN,0.4377423839244078
AZGP1,0
B2M,1.0667692048464297
BGN,0.36914883982696617
BMP1,3.2621117439096174
BMP2,1.1994599768361862
BMP4,1.8547885158117092
BMP5,1.217137075229884
BMP8A,2.6576694528139537
BMP8B,2.2367132152319043
BTC,3.197145407258642
C1QTNF1,0.831762881801944
C1QTNF5,0.959851422218924
C3,0.7847312868467365
C4BPA,0.8443485268715495
C5,2.1612783012024885
CALCB,0.522618854419445
CALR,1.238774487818747
CAMP,0.030494236437173115
CCL11,1.961997170483818
CCL15,1.2405204061906208
CCL16,1.2573944639984593
CCL18,3.009632134459009
CCL19,1.4912964958559842
CCL2,0.2770683057921303
CCL20,1.8127844565567672
CCL21,1.505147157095268
CCL26,1.1006846765931637
CCL28,1.2058978771503772
CCL3,4.062641803981737
CCL4,1.6668917049599579
CCL5,2.893829639806378
CCL8,1.4449020776760972
CD40LG,1.9706799574573308
CD55,1.3875550225182784
CD5L,1.2302248266559324
CD70,1.6966477754797875
CD86,2.075669899626854
CFH,0.8115250604532781
CGA,0.9160096318876682
CGN,2.5975389001941154
CKLF,1.0668118610882562
CLCF1,0.6487210411506088
CLEC11A,1.80517679496708
CNTN4,1.3370271841625572
COL11A1,2.4632953964281956
COL14A1,1.2251384771365597
COL18A1,0.7280131163348003
COL1A1,2.437538874424563
COL1A2,0.8702467164034772
COL3A1,0.6968060899591069
COL4A1,0.3382967417604909
COL4A2,0.6896637308546135
COL4A3,2.304891886981361
COL4A4,0.8224912885420873
COL4A5,0.8663635702438403
COL4A6,2.3972594684531288
COL5A1,1.2507040550588997
COL5A2,0.37698353874998874
COL5A3,0.6761499663840709
COL6A1,0.8861388678005494
COL6A2,3.203112395678518
COL7A1,0.184629177487864
COL8A1,1.5250939489533721
COL9A1,1.3551142490020596
COL9A2,0.7848670677036597
COL9A3,2.160872087697088
COPA,2.1712026264243307
CP,1.0596878734893345
