target,imp
EDNRA,4.188186899655281
PTGIR,5.859753963099653
ACVRL1,14.092959750303894
TYRO3,0.9747446893443065
BOC,1.6996229024697485
CHRM3,6.886357827713437
ACVR2B,4.7417518896329724
GPIHBP1,5.281348734272415
SELL,7.756414078196391
ACVR1,11.110026274719257
KIT,4.260177830443822
RHBDL2,4.515274745946709
LPAR2,3.5494735145354017
CSPG4,8.228421039297626
CMKLR1,4.351219313845198
GIPR,4.908730103701475
CDH5,8.284222589641496
ROBO1,2.2376151682327943
MCAM,1.8336208913153689
CX3CR1,6.927437820924361
ROBO2,7.256020149314744
IGF1R,5.450969567642319
NPR3,3.2757115351867903
IL1RAPL1,8.977497004146956
SCARB1,3.8732012526922195
FLT3,2.261266882262146
SMO,6.112685643621443
ITGA6,5.622991056128163
ITGA3,8.421011715677988
ITGA8,0.5203493146001924
OSMR,1.8843985015507578
ITGA4,1.2313421882004665
RTN4RL1,7.556565297488341
MC1R,7.432401379144527
DDR2,2.9167781471077223
FPR3,8.65379681121659
TNFRSF4,4.484822196016721
CD53,10.722994673433512
ERBB4,12.674389064244572
OPRL1,5.446540250496071
FZD2,8.457444918771024
ITGB7,3.422868246496665
ITGB6,7.674703622329371
PLXNA3,3.4677045685875587
GRIN2C,10.66011086174574
TMEM67,6.209880822215777
NOTCH4,1.5375462374789126
AXL,4.3487042432022145
CCR7,6.793773566846142
TIE1,13.986018731603888
INSR,4.613174450915747
FPR1,4.768067958071024
ITGA5,7.082177796849331
ITGB4,9.555495013964663
NRXN3,16.561627236452555
CELSR1,8.14393038508146
ITGA11,2.8532986117835595
PTPRB,5.172674238158668
DCC,4.992294054045567
PTPRM,6.996873395497576
LRP11,2.4640900238729824
MARCO,3.7679270833939533
BAMBI,4.169532866971971
P2RY12,5.821604245839288
CALCR,4.8002868850795934
ROR1,6.495964437515807
ITGA2,5.691163960764992
UNC5C,8.646085757036843
PLXNC1,7.251914128679255
CCR5,3.510179997096752
CD5,5.716337385734932
ROBO3,4.965332239194383
TNFRSF10D,2.7579304601640318
ACVR1B,5.916425626415563
KREMEN1,1.4428264427474398
NTRK3,4.339705111506966
ROBO4,7.119892515528667
THBD,6.520973059365286
IL10RB,2.012234637155522
IL12RB1,8.049355400453942
P2RY14,2.58066972623773
MERTK,4.561504830876534
TLR2,7.290194532293978
CSF1R,4.531220811966693
GPR39,2.5555210144606155
NMUR1,2.8301943649164127
GPR135,2.511029844762919
GPR37,2.7702461290702125
NPR1,5.172577968736125
PLXNA4,3.465494307183836
CNTNAP2,2.0103933347437377
NRXN1,3.5660846660371606
PTH1R,1.84288041271929
HMMR,3.8256059446155155
BMPR1A,4.498850334371561
CR1,3.894194276929217
NPR2,3.1275594715822628
TNFRSF10C,7.696119179006986
PTPRG,3.8556652676825185
SDC3,9.932721908333042
GPR182,5.766317584923835
CD96,8.827373496177609
RAMP3,1.8794218969674374
PTPRK,7.019592850458514
SPN,5.045397203955938
CLEC2D,15.53936685753081
PTPRD,6.603746981570224
KLRG1,5.516783908139152
SIRPA,4.841812328589295
NCR1,1.5432602021719526
CD3G,6.098158445887724
GABBR2,5.4706391399719685
LYVE1,9.49334041947158
HTR7,1.7950639708117289
GRM4,2.148637144308805
CD247,8.181655732852034
CDH2,4.869228595699203
RRH,8.515507755296177
P2RY8,6.757724154151524
P2RY2,3.0144938792319467
PTPRT,5.763346052071988
LY75,8.736768088565876
IL1RAPL2,6.826781342027407
SUCNR1,4.555524973157507
GPR183,2.196951551069535
FFAR4,6.33990569515078
GPR146,8.73830167313722
GPR85,11.052087846185735
PTGER1,5.350222953869023
GPR156,5.497260295018988
GPR153,2.124437973932408
GPR132,12.985277795635666
PAQR9,2.8152505438371485
OR9Q1,7.018696037153022
GPR158,3.976300942775047
PTGER2,4.113728528736467
GPR173,6.756593615057364
P2RY6,8.113783831087796
ADORA3,1.8385774760622553
CD300LF,5.336433401568148
GPRC5A,3.290682746117968
PTPRH,2.591151378011411
CHRNB2,4.796267560275296
ESR1,15.991705264214309
GRM8,2.538277837333009
P2RY11,7.237903142254111
CHRNA1,5.235830256299481
PTGER3,2.73717430816638
TSPAN15,6.3524253484035205
ANTXR1,2.1124831791117535
LILRB4,2.120743960777402
GRM6,11.430035410005953
ADRA1A,5.653822799244766
LPAR5,8.682097691610991
CAV1,8.202024625180307
CSF2RA,7.697843700400629
TREM2,1.5923617953379938
TNFRSF1B,7.212561616605467
LIFR,2.531134969872113
DYSF,4.353836808998932
CFTR,3.9632957331008596
IL1RAP,4.0143012086029115
NT5E,6.211486557448575
KDR,2.1036733110869523
MET,6.797023676251018
ICAM3,0.7249923830602769
IL1RL1,6.513069894218331
ERBB3,3.160787111108891
PVR,8.036851200357336
HFE,9.097167405938627
PTPRA,0.574969126994612
EPHA3,4.991382579295988
